,Start,End,Date,Duration,Precipitation
17,01/15/2000 10:25:00,01/15/2000 18:45:00,01/15/2000,500.0,8.5275
31,01/24/2000 15:40:00,01/25/2000 06:50:00,01/24/2000,910.0,8.8625
35,01/26/2000 21:20:00,01/27/2000 16:15:00,01/26/2000,1135.0,9.105
67,02/15/2000 01:40:00,02/15/2000 15:35:00,02/15/2000,835.0,9.7
93,03/01/2000 16:00:00,03/02/2000 08:35:00,03/01/2000,995.0,8.092500000000001
98,03/13/2000 14:25:00,03/13/2000 23:20:00,03/13/2000,535.0,6.0175
101,03/19/2000 09:15:00,03/19/2000 15:30:00,03/19/2000,375.0,6.1850000000000005
120,04/10/2000 03:10:00,04/10/2000 10:35:00,04/10/2000,445.0,6.215
129,04/17/2000 07:35:00,04/17/2000 12:00:00,04/17/2000,265.0,6.2700000000000005
131,04/17/2000 22:35:00,04/18/2000 06:15:00,04/17/2000,460.0,6.135
139,04/20/2000 10:10:00,04/20/2000 13:55:00,04/20/2000,225.0,7.210000000000001
142,04/22/2000 08:40:00,04/23/2000 06:40:00,04/22/2000,1320.0,7.497500000000001
160,05/10/2000 11:05:00,05/11/2000 03:50:00,05/10/2000,1005.0,9.1275
177,05/30/2000 03:55:00,05/30/2000 08:05:00,05/30/2000,250.0,6.0825000000000005
178,05/30/2000 19:30:00,05/30/2000 23:50:00,05/30/2000,260.0,12.6175
194,06/13/2000 20:25:00,06/14/2000 06:35:00,06/13/2000,610.0,6.945000000000001
207,06/29/2000 12:05:00,06/30/2000 02:40:00,06/29/2000,875.0,5.1875
208,06/30/2000 09:45:00,06/30/2000 19:40:00,06/30/2000,595.0,6.725
219,07/16/2000 22:30:00,07/17/2000 04:50:00,07/16/2000,380.0,5.1575
221,07/17/2000 22:50:00,07/18/2000 11:20:00,07/17/2000,750.0,11.1275
225,07/20/2000 07:45:00,07/20/2000 17:30:00,07/20/2000,585.0,10.1875
229,07/22/2000 05:55:00,07/22/2000 08:30:00,07/22/2000,155.0,6.3825
235,07/25/2000 01:40:00,07/25/2000 11:10:00,07/25/2000,570.0,8.207500000000001
238,07/27/2000 14:40:00,07/28/2000 02:55:00,07/27/2000,735.0,9.8275
239,07/29/2000 08:30:00,07/29/2000 17:45:00,07/29/2000,555.0,6.4775
258,09/04/2000 14:05:00,09/04/2000 17:05:00,09/04/2000,180.0,5.835
