"id","Start","End","Date","Duration","Precipitation"
"1","2023-09-07 15:40:00","2023-09-08 21:44:00","2023-09-07","30.067","282.05"
"2","2024-08-18 22:35:00","2024-08-19 20:01:00","2024-08-18","21.433","16.1"
"3","2024-08-16 18:33:00","2024-08-17 19:38:00","2024-08-16","25.083","97.925"
"4","2023-06-13 17:12:00","2023-06-14 11:50:00","2023-06-13","18.633","85.9"
"5","2023-07-30 17:42:00","2023-07-31 15:14:00","2023-07-30","21.533","29.75"
"6","2023-06-06 03:49:00","2023-06-06 20:56:00","2023-06-06","17.117","36.55"
"7","2024-05-04 02:10:00","2024-05-05 00:41:00","2024-05-04","22.517","70.35"
"8","2023-03-25 07:21:00","2023-03-25 23:34:00","2023-03-25","16.217","32.1"
"9","2023-06-16 05:52:00","2023-06-16 20:20:00","2023-06-16","14.467","33.825"
"10","2023-06-18 01:54:00","2023-06-18 17:30:00","2023-06-18","15.6","23.075"
