,Start,End,Date,Duration,Precipitation
0,2009-12-31 23:00:00,2010-01-01 04:00:00,2009-12-31,240.0,0.1905
1,2010-01-01 21:30:00,2010-01-02 00:45:00,2010-01-01,135.0,0.508
2,2010-01-04 12:30:00,2010-01-04 15:15:00,2010-01-04,105.0,0.635
3,2010-01-08 02:15:00,2010-01-08 06:00:00,2010-01-08,165.0,0.1905
4,2010-01-14 10:30:00,2010-01-14 13:15:00,2010-01-14,105.0,0.7619999999999999
5,2010-01-17 04:30:00,2010-01-17 13:30:00,2010-01-17,480.0,6.6675
6,2010-01-17 17:15:00,2010-01-18 00:00:00,2010-01-17,345.0,3.6195
7,2010-01-20 18:45:00,2010-01-21 03:45:00,2010-01-20,480.0,1.2065
8,2010-01-21 15:15:00,2010-01-22 05:30:00,2010-01-21,795.0,5.6515
9,2010-01-25 03:45:00,2010-01-25 12:15:00,2010-01-25,450.0,17.0815
10,2010-01-30 02:30:00,2010-01-31 00:45:00,2010-01-30,1275.0,4.5085
11,2010-01-31 01:45:00,2010-01-31 04:30:00,2010-01-31,105.0,0.0635
12,2010-01-31 05:30:00,2010-01-31 08:15:00,2010-01-31,105.0,0.0635
13,2010-01-31 11:00:00,2010-01-31 16:15:00,2010-01-31,255.0,0.1905
14,2010-01-31 17:45:00,2010-01-31 20:30:00,2010-01-31,105.0,0.0635
15,2010-02-01 09:15:00,2010-02-01 18:45:00,2010-02-01,510.0,1.778
16,2010-02-01 19:15:00,2010-02-01 22:00:00,2010-02-01,105.0,0.0635
17,2010-02-02 08:30:00,2010-02-02 17:30:00,2010-02-02,480.0,0.8255
18,2010-02-02 22:45:00,2010-02-03 06:45:00,2010-02-02,420.0,3.048
19,2010-02-05 13:15:00,2010-02-06 05:45:00,2010-02-05,930.0,28.2575
20,2010-02-06 05:15:00,2010-02-06 15:45:00,2010-02-06,570.0,2.4765
21,2010-02-06 17:00:00,2010-02-06 19:45:00,2010-02-06,105.0,0.127
22,2010-02-07 11:00:00,2010-02-07 13:45:00,2010-02-07,105.0,0.0635
23,2010-02-08 12:15:00,2010-02-08 15:00:00,2010-02-08,105.0,0.0635
24,2010-02-09 15:30:00,2010-02-10 00:00:00,2010-02-09,450.0,7.1755
25,2010-02-10 05:00:00,2010-02-10 07:45:00,2010-02-10,105.0,0.0635
26,2010-02-10 07:15:00,2010-02-10 10:00:00,2010-02-10,105.0,0.0635
27,2010-02-13 12:00:00,2010-02-13 14:45:00,2010-02-13,105.0,0.0635
28,2010-02-22 06:45:00,2010-02-22 09:30:00,2010-02-22,105.0,0.508
29,2010-02-22 13:15:00,2010-02-22 18:30:00,2010-02-22,255.0,3.3655
30,2010-02-22 19:00:00,2010-02-22 22:15:00,2010-02-22,135.0,0.127
31,2010-02-23 11:30:00,2010-02-23 14:15:00,2010-02-23,105.0,0.0635
32,2010-02-24 11:00:00,2010-02-24 17:00:00,2010-02-24,300.0,0.508
33,2010-02-24 16:30:00,2010-02-24 19:15:00,2010-02-24,105.0,0.0635
34,2010-02-24 18:45:00,2010-02-25 03:15:00,2010-02-24,450.0,2.6035000000000004
35,2010-02-25 10:45:00,2010-02-25 13:30:00,2010-02-25,105.0,0.0635
36,2010-03-02 16:15:00,2010-03-03 12:00:00,2010-03-02,1125.0,20.256500000000003
37,2010-03-03 18:15:00,2010-03-03 23:15:00,2010-03-03,240.0,0.4445
38,2010-03-03 22:45:00,2010-03-04 01:30:00,2010-03-03,105.0,0.0635
39,2010-03-11 00:00:00,2010-03-11 09:30:00,2010-03-11,510.0,1.397
40,2010-03-11 20:15:00,2010-03-12 08:30:00,2010-03-11,675.0,3.4925
41,2010-03-12 08:15:00,2010-03-12 14:30:00,2010-03-12,315.0,0.635
42,2010-03-12 15:30:00,2010-03-13 05:15:00,2010-03-12,765.0,6.096
43,2010-03-13 08:45:00,2010-03-13 11:30:00,2010-03-13,105.0,0.0635
44,2010-03-13 15:30:00,2010-03-13 18:30:00,2010-03-13,120.0,0.127
45,2010-03-13 19:15:00,2010-03-13 23:15:00,2010-03-13,180.0,0.3175
46,2010-03-14 13:15:00,2010-03-14 16:15:00,2010-03-14,120.0,0.127
47,2010-03-15 09:15:00,2010-03-15 16:00:00,2010-03-15,345.0,0.889
48,2010-03-15 19:15:00,2010-03-15 22:00:00,2010-03-15,105.0,0.0635
49,2010-03-22 09:45:00,2010-03-22 16:15:00,2010-03-22,330.0,0.889
50,2010-03-26 03:00:00,2010-03-26 08:30:00,2010-03-26,270.0,2.286
51,2010-03-26 11:15:00,2010-03-26 21:45:00,2010-03-26,570.0,5.0165
52,2010-03-29 02:15:00,2010-03-29 15:00:00,2010-03-29,705.0,35.750499999999995
53,2010-03-29 15:30:00,2010-03-29 18:15:00,2010-03-29,105.0,0.0635
54,2010-03-29 21:30:00,2010-03-30 00:15:00,2010-03-29,105.0,0.0635
55,2010-03-30 04:15:00,2010-03-30 09:15:00,2010-03-30,240.0,0.1905
56,2010-04-06 09:15:00,2010-04-06 12:30:00,2010-04-06,135.0,5.143499999999999
57,2010-04-09 00:15:00,2010-04-09 07:15:00,2010-04-09,360.0,3.048
58,2010-04-09 06:45:00,2010-04-09 09:30:00,2010-04-09,105.0,0.0635
59,2010-04-09 11:45:00,2010-04-09 15:15:00,2010-04-09,150.0,0.127
60,2010-04-13 20:30:00,2010-04-13 23:15:00,2010-04-13,105.0,0.0635
61,2010-04-21 11:30:00,2010-04-21 17:30:00,2010-04-21,300.0,1.27
62,2010-04-25 00:15:00,2010-04-25 05:30:00,2010-04-25,255.0,2.667
63,2010-04-26 08:30:00,2010-04-26 11:15:00,2010-04-26,105.0,0.127
64,2010-04-26 14:30:00,2010-04-26 17:45:00,2010-04-26,135.0,0.127
65,2010-04-26 18:15:00,2010-04-26 21:30:00,2010-04-26,135.0,2.54
66,2010-04-27 15:00:00,2010-04-27 18:45:00,2010-04-27,165.0,2.794
67,2010-04-27 21:00:00,2010-04-28 00:45:00,2010-04-27,165.0,0.508
68,2010-04-28 14:15:00,2010-04-28 17:00:00,2010-04-28,105.0,0.0635
69,2010-05-12 17:45:00,2010-05-13 04:45:00,2010-05-12,600.0,9.2075
70,2010-05-15 00:30:00,2010-05-15 04:15:00,2010-05-15,165.0,1.2699999999999998
71,2010-05-15 04:45:00,2010-05-15 07:30:00,2010-05-15,105.0,0.0635
72,2010-05-16 03:15:00,2010-05-16 07:45:00,2010-05-16,210.0,4.7625
73,2010-05-16 09:00:00,2010-05-16 11:45:00,2010-05-16,105.0,0.0635
74,2010-05-17 03:15:00,2010-05-17 06:15:00,2010-05-17,120.0,0.3175
75,2010-05-17 10:30:00,2010-05-18 12:30:00,2010-05-17,1500.0,31.559500000000003
76,2010-05-19 07:00:00,2010-05-19 09:45:00,2010-05-19,105.0,0.0635
77,2010-05-23 04:15:00,2010-05-23 09:00:00,2010-05-23,225.0,1.4605
78,2010-05-23 11:15:00,2010-05-23 15:30:00,2010-05-23,195.0,6.6675
79,2010-05-23 16:45:00,2010-05-23 19:30:00,2010-05-23,105.0,0.0635
80,2010-05-28 03:45:00,2010-05-28 08:00:00,2010-05-28,195.0,2.159
81,2010-05-28 22:30:00,2010-05-29 04:15:00,2010-05-28,285.0,1.5874999999999997
82,2010-05-30 17:30:00,2010-05-30 21:15:00,2010-05-30,165.0,0.5714999999999999
83,2010-06-01 20:30:00,2010-06-02 00:15:00,2010-06-01,165.0,0.508
84,2010-06-02 16:00:00,2010-06-02 20:00:00,2010-06-02,180.0,18.669
85,2010-06-06 20:00:00,2010-06-07 00:15:00,2010-06-06,195.0,4.952999999999999
86,2010-06-09 20:15:00,2010-06-10 00:45:00,2010-06-09,210.0,1.0795
87,2010-06-13 02:15:00,2010-06-13 07:00:00,2010-06-13,225.0,3.7465
88,2010-06-14 10:15:00,2010-06-14 13:00:00,2010-06-14,105.0,0.0635
89,2010-06-14 13:15:00,2010-06-14 16:00:00,2010-06-14,105.0,0.0635
90,2010-06-14 21:45:00,2010-06-15 01:00:00,2010-06-14,135.0,8.89
91,2010-06-16 06:15:00,2010-06-16 11:15:00,2010-06-16,240.0,2.0955
92,2010-06-16 16:30:00,2010-06-16 19:45:00,2010-06-16,135.0,5.6515
93,2010-06-20 20:45:00,2010-06-21 01:00:00,2010-06-20,195.0,8.4455
94,2010-06-23 18:30:00,2010-06-23 22:15:00,2010-06-23,165.0,6.730999999999999
95,2010-06-24 05:45:00,2010-06-24 08:30:00,2010-06-24,105.0,0.0635
96,2010-06-25 00:00:00,2010-06-25 03:30:00,2010-06-25,150.0,2.032
97,2010-06-29 18:45:00,2010-06-29 22:30:00,2010-06-29,165.0,2.0955
98,2010-07-07 12:45:00,2010-07-07 15:30:00,2010-07-07,105.0,0.6985
99,2010-07-10 12:15:00,2010-07-10 17:15:00,2010-07-10,240.0,3.2385
100,2010-07-12 23:30:00,2010-07-13 03:45:00,2010-07-12,195.0,1.3969999999999998
101,2010-07-18 14:30:00,2010-07-18 17:30:00,2010-07-18,120.0,0.3809999999999999
102,2010-07-19 13:30:00,2010-07-19 17:30:00,2010-07-19,180.0,2.0955000000000004
103,2010-07-19 17:00:00,2010-07-19 21:15:00,2010-07-19,195.0,1.9685
104,2010-07-20 14:30:00,2010-07-20 17:30:00,2010-07-20,120.0,0.127
105,2010-07-25 22:00:00,2010-07-26 01:15:00,2010-07-25,135.0,3.6195
106,2010-07-27 08:30:00,2010-07-27 11:15:00,2010-07-27,105.0,0.635
107,2010-07-29 14:00:00,2010-07-29 16:45:00,2010-07-29,105.0,0.0635
108,2010-07-29 16:45:00,2010-07-29 22:30:00,2010-07-29,285.0,50.8635
109,2010-07-30 05:45:00,2010-07-30 08:30:00,2010-07-30,105.0,0.0635
110,2010-07-30 10:30:00,2010-07-30 13:15:00,2010-07-30,105.0,0.0635
111,2010-08-01 00:30:00,2010-08-01 06:30:00,2010-08-01,300.0,1.9685
112,2010-08-01 11:15:00,2010-08-01 17:30:00,2010-08-01,315.0,0.381
113,2010-08-01 18:00:00,2010-08-02 00:15:00,2010-08-01,315.0,1.778
114,2010-08-02 00:30:00,2010-08-02 03:15:00,2010-08-02,105.0,0.0635
115,2010-08-04 23:15:00,2010-08-05 04:15:00,2010-08-04,240.0,1.27
116,2010-08-05 19:00:00,2010-08-06 01:00:00,2010-08-05,300.0,12.7
117,2010-08-12 12:30:00,2010-08-12 17:15:00,2010-08-12,225.0,1.016
118,2010-08-18 12:15:00,2010-08-18 18:30:00,2010-08-18,315.0,14.732
119,2010-08-18 19:45:00,2010-08-18 22:45:00,2010-08-18,120.0,0.1905
120,2010-08-19 08:30:00,2010-08-19 11:15:00,2010-08-19,105.0,0.0635
121,2010-08-19 10:45:00,2010-08-19 14:30:00,2010-08-19,165.0,1.8415
122,2010-08-22 03:30:00,2010-08-22 12:30:00,2010-08-22,480.0,4.826
123,2010-08-22 15:30:00,2010-08-22 18:45:00,2010-08-22,135.0,2.794
124,2010-08-24 05:15:00,2010-08-24 08:00:00,2010-08-24,105.0,0.0635
125,2010-08-24 15:45:00,2010-08-24 18:30:00,2010-08-24,105.0,0.0635
126,2010-08-25 03:45:00,2010-08-25 06:30:00,2010-08-25,105.0,0.0635
127,2010-08-27 02:45:00,2010-08-27 05:45:00,2010-08-27,120.0,0.3175
128,2010-09-03 04:30:00,2010-09-03 14:30:00,2010-09-03,540.0,2.9845
129,2010-09-04 10:45:00,2010-09-04 13:30:00,2010-09-04,105.0,0.127
130,2010-09-12 01:15:00,2010-09-12 13:45:00,2010-09-12,690.0,2.8575
131,2010-09-12 14:15:00,2010-09-12 17:00:00,2010-09-12,105.0,0.0635
132,2010-09-12 17:45:00,2010-09-12 20:30:00,2010-09-12,105.0,0.0635
133,2010-09-13 05:30:00,2010-09-13 08:15:00,2010-09-13,105.0,0.0635
134,2010-09-26 03:45:00,2010-09-26 06:30:00,2010-09-26,105.0,0.0635
135,2010-09-26 16:45:00,2010-09-27 05:30:00,2010-09-26,705.0,4.8895
136,2010-09-27 07:00:00,2010-09-27 09:45:00,2010-09-27,105.0,0.0635
137,2010-09-27 09:15:00,2010-09-27 17:00:00,2010-09-27,405.0,13.716
138,2010-09-27 17:00:00,2010-09-27 23:15:00,2010-09-27,315.0,9.906
139,2010-09-28 00:15:00,2010-09-28 03:00:00,2010-09-28,105.0,0.0635
140,2010-09-28 06:15:00,2010-09-28 14:00:00,2010-09-28,405.0,6.1595
141,2010-09-29 08:45:00,2010-09-29 22:00:00,2010-09-29,735.0,11.7475
142,2010-09-29 22:30:00,2010-10-01 07:00:00,2010-09-29,1890.0,141.09699999999998
143,2010-10-03 05:30:00,2010-10-04 11:15:00,2010-10-03,1725.0,12.573
144,2010-10-14 09:30:00,2010-10-14 15:00:00,2010-10-14,270.0,5.715000000000001
145,2010-10-15 14:45:00,2010-10-15 17:45:00,2010-10-15,120.0,0.127
146,2010-10-25 13:15:00,2010-10-25 16:00:00,2010-10-25,105.0,0.127
147,2010-10-25 16:15:00,2010-10-25 21:00:00,2010-10-25,225.0,0.762
148,2010-10-26 00:15:00,2010-10-26 06:00:00,2010-10-26,285.0,1.9685
149,2010-10-26 07:00:00,2010-10-26 09:45:00,2010-10-26,105.0,0.0635
150,2010-10-26 09:45:00,2010-10-26 13:30:00,2010-10-26,165.0,0.1905
151,2010-10-27 23:45:00,2010-10-28 05:00:00,2010-10-27,255.0,13.207999999999998
152,2010-10-28 17:00:00,2010-10-28 20:00:00,2010-10-28,120.0,0.127
153,2010-11-03 09:30:00,2010-11-03 12:45:00,2010-11-03,135.0,0.1905
154,2010-11-03 15:30:00,2010-11-03 19:15:00,2010-11-03,165.0,0.1905
155,2010-11-03 20:00:00,2010-11-03 22:45:00,2010-11-03,105.0,0.0635
156,2010-11-04 00:15:00,2010-11-04 04:45:00,2010-11-04,210.0,0.127
157,2010-11-04 13:15:00,2010-11-04 19:30:00,2010-11-04,315.0,2.413
158,2010-11-04 21:45:00,2010-11-05 06:00:00,2010-11-04,435.0,1.524
159,2010-11-16 15:15:00,2010-11-16 18:00:00,2010-11-16,105.0,0.127
160,2010-11-16 22:15:00,2010-11-17 01:45:00,2010-11-16,150.0,0.3175
161,2010-11-17 01:15:00,2010-11-17 04:15:00,2010-11-17,120.0,0.6985
162,2010-12-01 00:30:00,2010-12-01 05:30:00,2010-12-01,240.0,0.508
163,2010-12-01 05:30:00,2010-12-01 11:45:00,2010-12-01,315.0,1.8415
164,2010-12-02 13:00:00,2010-12-02 15:45:00,2010-12-02,105.0,0.5714999999999999
165,2010-12-04 22:45:00,2010-12-05 02:30:00,2010-12-04,165.0,0.1905
166,2010-12-05 05:45:00,2010-12-05 08:30:00,2010-12-05,105.0,0.0635
167,2010-12-11 12:45:00,2010-12-12 04:00:00,2010-12-11,855.0,6.731
168,2010-12-12 14:30:00,2010-12-12 20:15:00,2010-12-12,285.0,3.302
169,2010-12-12 19:45:00,2010-12-12 22:30:00,2010-12-12,105.0,0.3809999999999999
170,2010-12-13 07:00:00,2010-12-13 15:30:00,2010-12-13,450.0,0.762
171,2010-12-16 10:00:00,2010-12-17 02:15:00,2010-12-16,915.0,4.6355
172,2010-12-17 10:15:00,2010-12-17 17:45:00,2010-12-17,390.0,0.381
173,2010-12-18 09:45:00,2010-12-18 15:30:00,2010-12-18,285.0,0.4445
174,2010-12-18 15:00:00,2010-12-18 17:45:00,2010-12-18,105.0,0.0635
175,2010-12-18 19:45:00,2010-12-19 01:00:00,2010-12-18,255.0,0.5715
176,2010-12-19 02:15:00,2010-12-19 05:00:00,2010-12-19,105.0,0.0635
177,2010-12-19 08:30:00,2010-12-19 11:15:00,2010-12-19,105.0,0.0635
178,2010-12-25 20:45:00,2010-12-26 23:45:00,2010-12-25,1560.0,4.000500000000001
179,2010-12-27 11:15:00,2010-12-27 15:45:00,2010-12-27,210.0,0.127
180,2010-12-29 11:00:00,2010-12-29 17:00:00,2010-12-29,300.0,0.6985
181,2010-12-30 09:45:00,2010-12-30 12:30:00,2010-12-30,105.0,0.0635
182,2011-01-01 22:30:00,2011-01-02 02:15:00,2011-01-01,165.0,0.3175
183,2011-01-02 09:45:00,2011-01-02 15:15:00,2011-01-02,270.0,2.159
184,2011-01-02 14:45:00,2011-01-02 19:30:00,2011-01-02,225.0,0.5715
185,2011-01-02 23:30:00,2011-01-03 02:15:00,2011-01-02,105.0,0.0635
186,2011-01-08 04:00:00,2011-01-08 07:30:00,2011-01-08,150.0,0.1905
187,2011-01-11 01:30:00,2011-01-11 05:15:00,2011-01-11,165.0,0.127
188,2011-01-11 08:15:00,2011-01-11 11:00:00,2011-01-11,105.0,0.0635
189,2011-01-11 10:45:00,2011-01-11 18:00:00,2011-01-11,375.0,1.4605
190,2011-01-11 18:30:00,2011-01-11 21:30:00,2011-01-11,120.0,0.127
191,2011-01-12 11:00:00,2011-01-12 13:45:00,2011-01-12,105.0,0.0635
192,2011-01-17 15:15:00,2011-01-18 05:30:00,2011-01-17,795.0,21.6535
193,2011-01-19 00:15:00,2011-01-19 03:00:00,2011-01-19,105.0,0.0635
