,Start,End,Date,Duration,Precipitation
300,2011-07-31 13:15:00,2011-07-31 19:00:00,2011-07-31,345.0,16.0655
949,2014-11-25 19:15:00,2014-11-26 18:15:00,2014-11-25,1380.0,24.892
448,2012-05-09 08:45:00,2012-05-10 03:30:00,2012-05-09,1125.0,15.747999999999998
304,2011-08-13 16:00:00,2011-08-13 21:30:00,2011-08-13,330.0,26.7335
884,2014-07-24 19:00:00,2014-07-25 00:45:00,2014-07-24,345.0,20.2565
659,2013-05-18 04:30:00,2013-05-18 11:45:00,2013-05-18,435.0,20.5105
467,2012-06-01 21:30:00,2012-06-02 00:45:00,2012-06-01,195.0,10.223499999999998
912,2014-09-08 22:15:00,2014-09-09 13:45:00,2014-09-08,930.0,33.4645
1328,2016-09-02 19:15:00,2016-09-03 16:15:00,2016-09-02,1260.0,45.0215
775,2013-12-10 03:30:00,2013-12-10 15:15:00,2013-12-10,705.0,12.636499999999998
559,2012-10-28 04:00:00,2012-10-30 02:00:00,2012-10-28,2760.0,47.3075
192,2011-01-17 16:15:00,2011-01-18 05:30:00,2011-01-17,795.0,21.6535
621,2013-02-26 12:15:00,2013-02-26 22:00:00,2013-02-26,585.0,14.4145
911,2014-09-08 07:15:00,2014-09-08 20:45:00,2014-09-08,810.0,37.084
726,2013-08-17 17:30:00,2013-08-18 12:00:00,2013-08-17,1110.0,12.5095
717,2013-08-10 16:00:00,2013-08-10 18:45:00,2013-08-10,165.0,14.097
9,2010-01-25 04:45:00,2010-01-25 12:15:00,2010-01-25,450.0,17.0815
583,2012-12-26 05:45:00,2012-12-26 21:30:00,2012-12-26,945.0,26.3525
1058,2015-06-26 00:00:00,2015-06-26 08:00:00,2015-06-26,480.0,15.621
1020,2015-04-14 17:00:00,2015-04-15 02:00:00,2015-04-14,540.0,22.733
857,2014-05-16 04:00:00,2014-05-16 13:15:00,2014-05-16,555.0,48.4505
327,2011-09-23 11:45:00,2011-09-23 20:30:00,2011-09-23,525.0,26.3525
708,2013-07-25 01:00:00,2013-07-25 03:45:00,2013-07-25,165.0,15.1765
318,2011-09-17 05:15:00,2011-09-17 20:45:00,2011-09-17,930.0,15.113
464,2012-05-30 08:30:00,2012-05-30 19:30:00,2012-05-30,660.0,29.718
962,2014-12-22 05:30:00,2014-12-22 15:45:00,2014-12-22,615.0,10.0965
1311,2016-07-30 13:30:00,2016-07-30 21:00:00,2016-07-30,450.0,21.2725
478,2012-06-22 16:00:00,2012-06-23 00:45:00,2012-06-22,525.0,34.671
1039,2015-06-02 12:15:00,2015-06-02 18:30:00,2015-06-02,375.0,16.383
137,2010-09-27 10:15:00,2010-09-27 17:00:00,2010-09-27,405.0,13.716
291,2011-07-07 17:15:00,2011-07-07 20:15:00,2011-07-07,180.0,16.891
399,2012-02-19 10:00:00,2012-02-20 05:00:00,2012-02-19,1140.0,10.287
323,2011-09-21 02:30:00,2011-09-21 11:00:00,2011-09-21,510.0,15.684499999999998
1101,2015-09-10 19:00:00,2015-09-10 22:00:00,2015-09-10,180.0,11.810999999999998
487,2012-07-11 01:00:00,2012-07-11 07:15:00,2012-07-11,375.0,25.908
889,2014-08-01 20:30:00,2014-08-02 05:15:00,2014-08-01,525.0,14.1605
141,2010-09-29 09:45:00,2010-09-29 22:00:00,2010-09-29,735.0,11.7475
639,2013-04-04 18:30:00,2013-04-05 08:15:00,2013-04-04,825.0,11.175999999999998
1134,2015-11-01 22:15:00,2015-11-02 19:45:00,2015-11-01,1290.0,10.223499999999998
1194,2016-01-22 19:30:00,2016-01-23 04:15:00,2016-01-22,525.0,30.2895
433,2012-04-22 01:15:00,2012-04-22 21:30:00,2012-04-22,1215.0,27.432
84,2010-06-02 17:00:00,2010-06-02 20:00:00,2010-06-02,180.0,18.669
1336,2016-09-20 14:00:00,2016-09-21 13:15:00,2016-09-20,1395.0,61.1505
1314,2016-07-31 17:45:00,2016-07-31 22:00:00,2016-07-31,255.0,19.3675
740,2013-09-03 15:45:00,2013-09-03 19:00:00,2013-09-03,195.0,11.810999999999998
706,2013-07-22 15:45:00,2013-07-22 22:00:00,2013-07-22,375.0,12.636499999999998
878,2014-07-10 14:15:00,2014-07-10 20:45:00,2014-07-10,390.0,31.8135
108,2010-07-29 17:45:00,2010-07-29 22:30:00,2010-07-29,285.0,50.8635
1334,2016-09-19 14:00:00,2016-09-20 05:00:00,2016-09-19,900.0,47.498
1201,2016-02-03 17:30:00,2016-02-04 04:15:00,2016-02-03,645.0,22.606
