,Start,End,Date,Duration,Precipitation
866,2014-06-12 10:15:00,2014-06-12 13:30:00,2014-06-12,195.0,12.636500000000002
907,2014-09-04 01:15:00,2014-09-04 04:30:00,2014-09-04,195.0,7.366
642,2013-04-19 22:30:00,2013-04-20 08:15:00,2013-04-19,585.0,9.779
116,2010-08-05 20:00:00,2010-08-06 01:00:00,2010-08-05,300.0,12.7
5,2010-01-17 05:30:00,2010-01-17 13:30:00,2010-01-17,480.0,6.6675
761,2013-11-01 16:15:00,2013-11-02 03:00:00,2013-11-01,645.0,5.6515
1241,2016-04-22 12:30:00,2016-04-22 20:30:00,2016-04-22,480.0,5.842
1169,2015-12-17 16:15:00,2015-12-17 19:30:00,2015-12-17,195.0,7.0485
296,2011-07-24 22:15:00,2011-07-25 04:15:00,2011-07-24,360.0,6.858
588,2013-01-01 20:00:00,2013-01-02 07:00:00,2013-01-01,660.0,5.08
289,2011-07-06 14:45:00,2011-07-06 21:30:00,2011-07-06,405.0,14.224
693,2013-07-02 14:45:00,2013-07-02 20:00:00,2013-07-02,315.0,9.017
516,2012-08-15 16:00:00,2012-08-15 20:15:00,2012-08-15,255.0,14.224
837,2014-04-07 07:00:00,2014-04-07 16:00:00,2014-04-07,540.0,7.9375
824,2014-03-16 16:45:00,2014-03-17 09:00:00,2014-03-16,975.0,6.223
1183,2015-12-30 12:45:00,2015-12-31 01:15:00,2015-12-30,750.0,9.9695
1004,2015-03-05 05:30:00,2015-03-05 20:15:00,2015-03-05,885.0,8.128
776,2013-12-14 13:30:00,2013-12-15 00:45:00,2013-12-14,675.0,10.9855
748,2013-10-10 06:30:00,2013-10-10 16:45:00,2013-10-10,615.0,9.0805
334,2011-09-28 16:30:00,2011-09-28 21:15:00,2011-09-28,285.0,5.016499999999999
714,2013-08-03 14:45:00,2013-08-03 18:30:00,2013-08-03,225.0,10.8585
268,2011-06-05 07:45:00,2011-06-05 13:45:00,2011-06-05,360.0,5.397499999999999
769,2013-11-27 06:15:00,2013-11-27 15:15:00,2013-11-27,540.0,11.049
245,2011-04-16 19:15:00,2011-04-16 23:45:00,2011-04-16,270.0,5.715
506,2012-08-06 14:15:00,2012-08-06 20:30:00,2012-08-06,375.0,12.6365
982,2015-01-18 09:45:00,2015-01-18 14:45:00,2015-01-18,300.0,13.017499999999998
532,2012-09-02 17:15:00,2012-09-03 00:45:00,2012-09-02,450.0,7.366
349,2011-10-31 20:45:00,2011-11-01 04:15:00,2011-10-31,450.0,9.271
1283,2016-06-07 00:30:00,2016-06-07 10:45:00,2016-06-07,615.0,5.08
639,2013-04-04 18:30:00,2013-04-05 08:15:00,2013-04-04,825.0,11.175999999999998
1289,2016-06-17 13:45:00,2016-06-17 18:15:00,2016-06-17,270.0,5.905499999999999
894,2014-08-05 07:30:00,2014-08-05 12:45:00,2014-08-05,315.0,5.334
1236,2016-04-02 08:45:00,2016-04-02 17:00:00,2016-04-02,495.0,8.8265
1301,2016-07-07 23:15:00,2016-07-08 03:00:00,2016-07-07,225.0,5.968999999999999
582,2012-12-20 21:45:00,2012-12-21 05:30:00,2012-12-20,465.0,7.0485
493,2012-07-20 21:30:00,2012-07-21 02:45:00,2012-07-20,315.0,5.270499999999999
842,2014-04-15 19:45:00,2014-04-16 03:00:00,2014-04-15,435.0,6.8580000000000005
202,2011-02-05 06:30:00,2011-02-05 15:45:00,2011-02-05,555.0,9.525
1216,2016-02-24 13:30:00,2016-02-24 18:00:00,2016-02-24,270.0,9.3345
285,2011-07-04 18:45:00,2011-07-04 23:45:00,2011-07-04,300.0,7.810499999999999
419,2012-03-24 13:45:00,2012-03-25 01:45:00,2012-03-24,720.0,6.223
217,2011-03-06 09:45:00,2011-03-06 19:45:00,2011-03-06,600.0,10.795
143,2010-10-03 06:30:00,2010-10-04 11:15:00,2010-10-03,1725.0,12.573
801,2014-02-01 08:15:00,2014-02-02 01:30:00,2014-02-01,1035.0,7.6835
1298,2016-07-03 07:00:00,2016-07-03 13:30:00,2016-07-03,390.0,11.049
407,2012-03-03 23:30:00,2012-03-04 13:00:00,2012-03-03,810.0,9.271
215,2011-02-28 19:15:00,2011-03-01 01:45:00,2011-02-28,390.0,8.3185
964,2014-12-23 23:30:00,2014-12-24 05:15:00,2014-12-23,345.0,5.270499999999999
195,2011-01-25 23:15:00,2011-01-26 10:45:00,2011-01-25,690.0,9.334499999999998
1170,2015-12-18 02:15:00,2015-12-18 10:30:00,2015-12-18,495.0,5.9055
