,Start,End,Date,Duration,Precipitation,Gage
239,03/30/2017 11:15:00,03/31/2017 04:25:00,03/30/2017,1030.0,16.6,qb
2641,06/10/2017 03:15:00,06/10/2017 11:50:00,06/10/2017,515.0,39.400000000000006,hq4
1695,11/20/2018 22:15:00,11/21/2018 16:50:00,11/20/2018,1115.0,23.800000000000004,hq2
3100,11/30/2019 14:05:00,12/01/2019 07:40:00,11/30/2019,1055.0,21.60000000000001,hq4
359,11/17/2017 14:05:00,11/18/2017 05:30:00,11/17/2017,925.0,21.700000000000006,qb
2440,06/28/2016 03:50:00,06/28/2016 09:20:00,06/28/2016,330.0,20.7,hq4
1292,10/25/2016 23:55:00,10/26/2016 10:10:00,10/25/2016,615.0,30.700000000000003,hq2
1501,11/17/2017 16:10:00,11/18/2017 05:25:00,11/17/2017,795.0,15.4,hq2
1635,08/02/2018 22:20:00,08/03/2018 12:55:00,08/02/2018,875.0,41.6,hq2
170,10/21/2016 00:35:00,10/21/2016 20:55:00,10/21/2016,1220.0,36.4,qb
1386,05/12/2017 00:45:00,05/12/2017 14:15:00,05/12/2017,810.0,18.200000000000003,hq2
680,07/09/2019 07:50:00,07/09/2019 13:55:00,07/09/2019,365.0,22.300000000000004,qb
555,12/05/2018 22:20:00,12/06/2018 09:15:00,12/05/2018,655.0,17.800000000000004,qb
3083,09/06/2019 07:20:00,09/06/2019 13:20:00,09/06/2019,360.0,20.0,hq4
177,10/26/2016 15:25:00,10/27/2016 05:25:00,10/26/2016,840.0,23.000000000000004,qb
1256,09/07/2016 02:10:00,09/07/2016 10:15:00,09/07/2016,485.0,28.8,hq2
385,01/27/2018 11:30:00,01/28/2018 09:20:00,01/27/2018,1310.0,16.099999999999998,qb
657,05/26/2019 02:05:00,05/26/2019 17:05:00,05/26/2019,900.0,31.80000000000001,qb
2370,04/20/2016 14:15:00,04/21/2016 07:45:00,04/20/2016,1050.0,37.400000000000006,hq4
1395,06/10/2017 16:40:00,06/11/2017 00:35:00,06/10/2017,475.0,20.4,hq2
67,05/09/2016 15:15:00,05/10/2016 07:05:00,05/09/2016,950.0,20.50000000000001,qb
1183,05/28/2016 07:55:00,05/29/2016 03:15:00,05/28/2016,1160.0,20.000000000000004,hq2
1906,11/30/2019 14:10:00,12/01/2019 07:05:00,11/30/2019,1015.0,18.9,hq2
1478,09/30/2017 13:25:00,09/30/2017 20:00:00,09/30/2017,395.0,21.000000000000004,hq2
2625,04/25/2017 18:25:00,04/26/2017 06:35:00,04/25/2017,730.0,16.099999999999998,hq4
2372,04/23/2016 06:50:00,04/23/2016 18:05:00,04/23/2016,675.0,23.9,hq4
1288,10/22/2016 02:15:00,10/22/2016 12:45:00,10/22/2016,630.0,37.600000000000016,hq2
2917,11/08/2018 00:35:00,11/08/2018 07:20:00,11/08/2018,405.0,23.500000000000007,hq4
48,04/20/2016 14:00:00,04/21/2016 07:45:00,04/20/2016,1065.0,27.6,qb
2530,10/26/2016 13:55:00,10/27/2016 05:15:00,10/26/2016,920.0,19.500000000000007,hq4
1460,09/20/2017 11:55:00,09/21/2017 00:10:00,09/20/2017,735.0,23.60000000000001,hq2
1388,05/23/2017 11:25:00,05/23/2017 21:55:00,05/23/2017,630.0,19.00000000000001,hq2
556,12/06/2018 11:40:00,12/07/2018 03:45:00,12/06/2018,965.0,18.1,qb
1671,10/15/2018 18:45:00,10/16/2018 05:10:00,10/15/2018,625.0,15.300000000000002,hq2
1203,06/20/2016 01:05:00,06/20/2016 07:25:00,06/20/2016,380.0,41.49999999999999,hq2
2488,09/14/2016 02:05:00,09/14/2016 12:40:00,09/14/2016,635.0,27.30000000000001,hq4
2418,06/03/2016 05:50:00,06/03/2016 23:55:00,06/03/2016,1085.0,21.500000000000007,hq4
138,09/14/2016 02:15:00,09/14/2016 12:40:00,09/14/2016,625.0,28.3,qb
670,06/20/2019 22:30:00,06/21/2019 03:50:00,06/20/2019,320.0,29.800000000000008,qb
1289,10/22/2016 15:10:00,10/22/2016 22:55:00,10/22/2016,465.0,33.20000000000001,hq2
515,09/16/2018 22:25:00,09/17/2018 12:35:00,09/16/2018,850.0,26.4,qb
2636,05/23/2017 11:25:00,05/23/2017 23:00:00,05/23/2017,695.0,20.100000000000005,hq4
534,11/07/2018 06:20:00,11/07/2018 13:20:00,11/07/2018,420.0,16.100000000000005,qb
2864,07/05/2018 11:05:00,07/05/2018 19:40:00,07/05/2018,515.0,18.9,hq4
134,09/07/2016 02:35:00,09/07/2016 10:50:00,09/07/2016,495.0,35.5,qb
1362,03/30/2017 13:35:00,03/31/2017 04:10:00,03/30/2017,875.0,18.300000000000004,hq2
448,05/25/2018 03:15:00,05/25/2018 12:40:00,05/25/2018,565.0,27.600000000000005,qb
2608,03/30/2017 13:35:00,03/31/2017 05:45:00,03/30/2017,970.0,19.300000000000008,hq4
94,06/22/2016 09:30:00,06/22/2016 15:00:00,06/22/2016,330.0,20.4,qb
2930,11/20/2018 22:10:00,11/21/2018 16:35:00,11/20/2018,1105.0,25.8,hq4
