,Start,End,Date,Duration,Precipitation,Gage
29,02/22/2016 03:40:00,02/22/2016 16:35:00,02/22/2016,775.0,16.40000000000001,qb
41,04/06/2016 03:55:00,04/06/2016 10:05:00,04/06/2016,370.0,29.0,qb
43,04/06/2016 19:00:00,04/07/2016 08:10:00,04/06/2016,790.0,21.300000000000004,qb
48,04/20/2016 14:00:00,04/21/2016 07:45:00,04/20/2016,1065.0,27.6,qb
49,04/23/2016 00:05:00,04/23/2016 18:20:00,04/23/2016,1095.0,27.1,qb
61,05/02/2016 19:55:00,05/03/2016 01:10:00,05/02/2016,315.0,22.9,qb
67,05/09/2016 15:15:00,05/10/2016 07:05:00,05/09/2016,950.0,20.50000000000001,qb
81,06/03/2016 07:05:00,06/04/2016 00:00:00,06/03/2016,1015.0,30.4,qb
94,06/22/2016 09:30:00,06/22/2016 15:00:00,06/22/2016,330.0,20.4,qb
105,07/02/2016 16:15:00,07/02/2016 23:30:00,07/02/2016,435.0,21.90000000000001,qb
134,09/07/2016 02:35:00,09/07/2016 10:50:00,09/07/2016,495.0,35.5,qb
138,09/14/2016 02:15:00,09/14/2016 12:40:00,09/14/2016,625.0,28.3,qb
162,10/07/2016 22:20:00,10/08/2016 08:45:00,10/07/2016,625.0,24.500000000000007,qb
170,10/21/2016 00:35:00,10/21/2016 20:55:00,10/21/2016,1220.0,36.4,qb
172,10/22/2016 03:05:00,10/22/2016 11:50:00,10/22/2016,525.0,47.2,qb
173,10/22/2016 15:20:00,10/22/2016 23:15:00,10/22/2016,475.0,41.5,qb
176,10/26/2016 00:20:00,10/26/2016 10:10:00,10/26/2016,590.0,26.5,qb
177,10/26/2016 15:25:00,10/27/2016 05:25:00,10/26/2016,840.0,23.000000000000004,qb
198,11/26/2016 03:25:00,11/26/2016 13:30:00,11/26/2016,605.0,15.1,qb
239,03/30/2017 11:15:00,03/31/2017 04:25:00,03/30/2017,1030.0,16.6,qb
243,04/07/2017 02:25:00,04/07/2017 10:40:00,04/07/2017,495.0,18.30000000000001,qb
247,04/09/2017 23:35:00,04/10/2017 11:15:00,04/09/2017,700.0,15.400000000000002,qb
262,05/12/2017 03:40:00,05/12/2017 14:25:00,05/12/2017,645.0,21.9,qb
263,05/23/2017 11:25:00,05/23/2017 22:35:00,05/23/2017,670.0,21.500000000000007,qb
266,06/05/2017 09:15:00,06/06/2017 00:05:00,06/05/2017,890.0,34.70000000000001,qb
268,06/10/2017 03:05:00,06/10/2017 11:50:00,06/10/2017,525.0,38.9,qb
269,06/10/2017 16:40:00,06/10/2017 22:45:00,06/10/2017,365.0,20.700000000000003,qb
275,06/19/2017 10:25:00,06/20/2017 05:20:00,06/19/2017,1135.0,28.8,qb
325,09/20/2017 11:50:00,09/21/2017 00:50:00,09/20/2017,780.0,22.90000000000001,qb
341,09/30/2017 13:10:00,09/30/2017 20:50:00,09/30/2017,460.0,26.700000000000003,qb
347,10/11/2017 00:35:00,10/11/2017 06:00:00,10/11/2017,325.0,20.60000000000001,qb
359,11/17/2017 14:05:00,11/18/2017 05:30:00,11/17/2017,925.0,21.700000000000006,qb
362,11/21/2017 19:50:00,11/22/2017 09:25:00,11/21/2017,815.0,17.70000000000001,qb
385,01/27/2018 11:30:00,01/28/2018 09:20:00,01/27/2018,1310.0,16.099999999999998,qb
398,02/24/2018 19:45:00,02/25/2018 03:15:00,02/24/2018,450.0,17.0,qb
448,05/25/2018 03:15:00,05/25/2018 12:40:00,05/25/2018,565.0,27.600000000000005,qb
450,05/25/2018 19:40:00,05/26/2018 04:25:00,05/25/2018,525.0,42.6,qb
462,06/20/2018 06:15:00,06/20/2018 16:40:00,06/20/2018,625.0,23.500000000000007,qb
474,07/04/2018 14:25:00,07/04/2018 21:55:00,07/04/2018,450.0,29.300000000000004,qb
480,07/22/2018 04:10:00,07/22/2018 16:40:00,07/22/2018,750.0,15.4,qb
484,08/02/2018 22:10:00,08/03/2018 13:15:00,08/02/2018,905.0,38.6,qb
489,08/12/2018 15:40:00,08/12/2018 23:00:00,08/12/2018,440.0,19.9,qb
515,09/16/2018 22:25:00,09/17/2018 12:35:00,09/16/2018,850.0,26.4,qb
525,10/15/2018 19:40:00,10/16/2018 05:25:00,10/15/2018,585.0,15.1,qb
