,river,creek,wwtp,setting
01_25_2007_13,177.19925179991404,230.8527195991269,15156.881345324673,826.0073938594193
02_04_2007_10,8.619037397670315,94.9739029195984,10757.112264388381,550.0674740726099
02_08_2007_07,4751.262344215538,89.44779080928329,11885.612234124188,637.7818063685538
02_10_2007_02,441.57515903581293,364.62259732480766,13564.76361000427,833.7049075548989
02_21_2007_13,29.19725199298071,190.2421528319931,14622.785338345404,824.7459015002999
02_24_2007_17,13.719596259950043,80.02328167035412,11534.889714050727,539.0894316242156
02_28_2007_12,1205.1770986223128,86.63553021242585,14074.707726877354,641.0944968129755
03_19_2007_14,0.0,172.95711244004252,17394.166536785604,659.3170462074228
04_04_2007_12,4815.749648462389,2264.938522552903,5438.7509394141025,338.70392864956455
04_05_2007_09,123.97797938795351,168.14063956559002,10745.812635586248,627.565941626023
04_10_2007_02,48.93500294236697,73.53266620391797,9396.624791238992,547.1620531318996
04_27_2007_11,0.0,200.34778649235645,17671.570411062206,694.0115139994716
04_29_2007_02,59.26008199201483,61.76246533171426,10696.87067183058,606.8448102530874
05_10_2007_22,242.58900304877181,82.74886575961382,10984.976379207457,575.7746085844353
05_22_2007_05,6133.455521467666,1256.7382048120833,11480.36752228167,537.6260012350792
06_12_2007_23,28.38650650861342,86.7022839449575,6589.942498697037,389.95204179960496
07_18_2007_12,6242.456660247993,2199.096849501613,4687.447967365424,284.67998737760377
07_23_2007_19,442.14693689403134,478.57831450177576,11453.60317587547,614.233881124739
07_25_2007_01,5190.557672420878,1016.1907181447075,9337.722911635134,648.1484578130817
07_27_2007_22,0.0,56.775729554066636,6582.936444038627,333.95317997990264
07_31_2007_00,5538.744791824995,611.3450854624068,18455.121258588544,913.1865189365457
08_15_2007_13,534.0984562677654,129.72191499680645,4867.206202176071,231.09513863408876
08_22_2007_08,5.1034993253756324,351.87815043324144,3979.9675531139574,213.429731853423
08_22_2007_21,539.2597897671835,2020.80281939733,3804.4594139162664,262.86656395157496
08_30_2007_03,126.8330287566452,93.98603531929399,10721.783527233752,443.2952019319911
08_30_2007_21,962.8791599913935,1001.4919428046254,10036.492767800366,516.6981886592607
09_26_2007_12,8903.17495571242,342.19002884041504,2602.5183597656955,273.19240336509847
11_12_2007_20,10.646201530993645,65.8369062374398,9108.203752057334,368.5209928172927
11_13_2007_14,3108.7287549418074,665.8723496913542,3902.9184081735143,273.77410142459075
11_16_2007_03,599.2541907138827,310.7942119590997,6656.334192120807,344.40217300005673
11_17_2007_20,551.5553531898764,831.4694766253242,13056.678626935218,610.1331060880325
11_19_2007_15,0.0,45.30787913951252,11466.196168893595,334.27064208393847
12_11_2007_21,34.51881647879096,42.73779871010106,5158.0829185290595,285.82766345727214
12_13_2007_10,0.0,97.03596933961347,8869.769606209167,451.41812858202013
12_17_2007_20,272.05320699357344,450.2889941960795,3901.4586943043455,241.20550726225525
12_24_2007_21,521.9174602195778,60.40650136979259,6817.099522217377,353.23292400682266
12_27_2007_17,5199.2591616682075,1290.4984575083554,7955.392216309065,432.7047746259585
