,river,creek,wwtp,setting,controlled
01_25_2007_13,802.0342662942415,16.52240102745582,14478.150833541433,56.9337,381.3501090015882
02_04_2007_10,0.0,0.0,10261.09677788757,43.6603,218.3607616957442
02_08_2007_07,4733.577080709752,335.66290194279924,11657.641841690836,60.674099999999996,373.4978352203833
02_10_2007_02,573.4964592985273,0.005850169492476187,13300.477397355438,50.714299999999994,252.97193193914967
02_21_2007_13,0.0,0.0,13886.012834919808,37.969899999999996,184.38075211384978
02_24_2007_17,0.0,0.0,11428.02617187168,39.979899999999994,164.28617114012627
02_28_2007_12,1148.1059415086208,23.758243503856523,13957.114620759356,46.1081,327.3621169618716
03_19_2007_14,0.0,0.0,17295.735528268957,41.351099999999995,181.28697548339852
04_04_2007_12,4988.183206159393,2068.158483745733,5344.165146464968,37.0396,231.74321188923827
04_05_2007_09,0.0,0.0,10212.170761294354,35.206599999999995,184.3145066612716
04_10_2007_02,0.0,0.0,9123.158523656319,34.2241,138.44810739232537
04_27_2007_11,0.0,0.0,17955.322016392434,39.0237,149.58928740457742
04_29_2007_02,0.0,0.0,10281.583646799501,28.374599999999994,123.18888093556711
05_10_2007_22,280.73248535030206,0.0,10922.322286235414,38.821,208.62683333995847
05_22_2007_05,6533.834549012652,895.9376514865859,11467.316658116502,49.2547,336.1120401079828
06_12_2007_23,0.0,0.0,6233.354775650301,24.6999,117.80713641339696
07_18_2007_12,6250.363332694452,2273.8774086127146,4669.246862765959,40.9014,304.32149624747507
07_23_2007_19,571.4625799243687,196.74821603669602,10979.184730327732,36.289699999999996,225.8501164976327
07_25_2007_01,5310.776775710633,1042.2775127465936,9207.185204280886,71.1778,516.4316636825228
07_27_2007_22,0.0,0.0,6649.106409638467,28.2845,114.77831741908011
07_31_2007_00,5637.141800312374,341.39806131918243,18433.14843174998,96.72489999999999,578.580509768764
08_15_2007_13,697.1651441310039,33.8438526711289,4884.294948206867,25.4007,148.750919745214
08_22_2007_08,0.0,154.2875645077469,4000.3953184597526,25.1179,152.29771956320684
08_22_2007_21,766.7422823183869,2055.712334166331,3738.8583708042493,28.7239,159.1758363968807
08_30_2007_03,0.0,0.0,10363.226547131293,44.3139,180.62331154162393
08_30_2007_21,1378.4207682840565,754.3044779429034,9688.634188251344,44.024699999999996,263.236323190806
09_26_2007_12,9122.859987230142,281.8222249712119,2585.256067328356,27.0443,175.52173230294497
11_12_2007_20,0.0,0.0,8793.36878900913,42.9535,178.88011985398694
11_13_2007_14,3114.446803740722,803.6386089141687,3881.0677425393897,34.7436,185.10570480390285
11_16_2007_03,725.2179349702566,1.3364631822347746,6463.901946309486,39.5805,198.74076221101575
11_17_2007_20,666.6493771050813,230.1636302233942,12839.656377462652,54.3524,292.41156601978764
11_19_2007_15,0.0,0.0,11609.069681042865,39.0295,154.93759548307787
12_11_2007_21,0.0,0.0,4842.208896112807,32.0129,145.50715486817893
12_13_2007_10,0.0,0.0,8819.448467605489,30.3999,140.96663538025268
12_17_2007_20,252.73965050842995,491.5101134565268,3852.131107689365,22.2763,134.85203624459015
12_24_2007_21,574.9185560828194,2.80544163248407,6497.068994127785,33.9477,192.5692192442357
12_27_2007_17,5513.0588923790765,1301.545313787948,7776.868782019443,44.8521,317.9590506873297
