,river,creek,wwtp,setting,controlled
01_25_2007_13,551.8875967250799,34.25837981264886,15250.612288768183,97.75003552992791,688.1883521622024
02_04_2007_10,48.1774789205388,0.0,11367.749134895084,42.97189641082804,286.00678337740896
02_08_2007_07,4816.4639864877,73.03596963474979,11907.721319946673,90.60230340372699,655.7607401704865
02_10_2007_02,583.3059355923629,0.00585016948769004,14435.082486039399,55.61045147159244,271.6814901815495
02_21_2007_13,27.11553939903899,0.0,15280.390206605567,30.897151988995702,198.87854776191497
02_24_2007_17,40.99261312861671,0.0,11969.957742572544,48.881039263784544,247.08722893216037
02_28_2007_12,1306.1010336223435,0.0,14321.982534141847,84.64948517824526,592.9543545155684
03_19_2007_14,0.0,0.0,18586.37826958055,11.224223419260333,103.69231005625288
04_04_2007_12,5102.198449579137,2035.9834225896889,5552.5670844163415,44.66109930697549,305.35642619592056
04_05_2007_09,226.7923849767102,0.0,10883.140443936922,76.11174818533974,497.91773829520093
04_10_2007_02,66.71302952040237,0.0,9646.03798812559,40.04260525466282,197.8802326715083
04_27_2007_11,0.0,47.03117342760296,18070.667185477407,34.48389914393944,145.5550465059926
04_29_2007_02,119.42854463787145,0.0,10875.53645609224,75.83938697352627,423.619512812489
05_10_2007_22,334.79382098266984,0.0,11097.39953974705,68.01145671564143,358.3850210883716
05_22_2007_05,6899.803202629345,622.7711885039902,11610.83773663162,57.663928611236905,442.9367691495073
06_12_2007_23,25.832815341357527,0.0,6703.001917278551,49.13563220532333,207.73887426235902
07_18_2007_12,6336.60453974763,2051.867795976735,4740.409386798828,43.822907286679445,374.42307384789467
07_23_2007_19,582.0244515350104,67.74638102568984,11549.06019096264,63.780391362452846,456.52306564972685
07_25_2007_01,5687.681498310963,493.15763166152846,9392.827980429029,89.3659750365956,646.8710518268715
07_27_2007_22,0.0,0.0,6936.004053412769,35.97146410735703,130.116736175712
07_31_2007_00,5714.765318987655,103.71634626986442,18791.155304816806,133.74791954747405,756.473820628504
08_15_2007_13,535.2677703193864,0.0,4942.522145498457,29.733998155606727,183.00045680431055
08_22_2007_08,112.28686067035645,157.41715595058278,4173.065259269457,27.389411752843305,181.29085837021375
08_22_2007_21,1026.624618841901,1744.100632462642,3835.433033502109,39.804177038279036,228.21572629870133
08_30_2007_03,186.22324465785584,0.0,10984.059242885249,84.78840034170565,422.6477364663962
08_30_2007_21,1593.8682527996257,670.9525631864361,10131.791512690346,71.8349608006362,443.19359456096333
09_26_2007_12,9168.193634020397,246.92742379701392,2611.302697911989,44.31706596338145,323.2384854901901
11_12_2007_20,31.86641762850284,0.0,9540.832788505708,51.935516125169976,234.60691798294607
11_13_2007_14,3274.7085988176746,666.0013647316578,3924.128054864575,45.562253505052794,280.76761306759795
11_16_2007_03,829.2223066228893,0.0,6880.656651503983,36.98534634996392,205.66176444252602
11_17_2007_20,971.0224510019939,0.0,13370.350471935873,116.35318219805086,621.0582035492739
11_19_2007_15,7.311841114832109,0.0,12169.263117004726,19.444671184171696,137.52341040721507
12_11_2007_21,67.96667754224984,0.0,5241.629619663611,55.530769640579514,251.4858996558385
12_13_2007_10,18.83083295667451,0.0,9329.35041494055,24.075427565222355,149.77307945035633
12_17_2007_20,360.5141110324862,394.33529505244286,4010.4185500746157,38.57091955681355,256.7063384145215
12_24_2007_21,755.2210452876941,2.8054533602246714,6843.812771515478,57.31504205469874,338.0538201366241
12_27_2007_17,5588.522541988584,1116.067624806072,8021.648220739058,56.968308903058634,441.7045110660108
