,river,creek,wwtp,setting,controlled
01_25_2007_13,278.86745776166805,9.966277231976523,15364.466527490005,106.00564656546422,735.8357463903894
02_04_2007_10,16.776944678465828,0.0,11484.606729527983,42.65688353236844,224.5887269039433
02_08_2007_07,4745.708498498178,64.75132444559891,11918.622461315252,97.00812431496172,667.2603511995273
02_10_2007_02,537.4251991162951,0.005850169487480048,14567.23017708246,64.97577439908946,262.3360074463974
02_21_2007_13,1.8088365200267904,0.0,15537.489138561637,69.02021807659415,318.6922812198028
02_24_2007_17,0.08944235938990382,0.0,12307.581173333876,50.856795938733185,240.79462080290654
02_28_2007_12,1242.3066413571582,0.11375170694971479,14406.818637367462,84.4854477977509,572.7857989154527
03_19_2007_14,0.0,0.0,18808.53419760093,44.24851986689744,139.5334413848218
04_04_2007_12,5183.580392638198,1719.4299551211839,5604.590168815458,38.575177188730905,266.57128243482776
04_05_2007_09,6.923587914433412,0.0,10965.365935959098,70.11201562396882,435.20338203697645
04_10_2007_02,0.0,0.0,9784.037552900205,65.06347330604372,254.20891418101675
04_27_2007_11,0.0,0.0,18994.917077690236,57.465195568693105,166.41553307893358
04_29_2007_02,0.2910908195050877,0.0,11197.06448150234,75.31433167491215,364.68745106281574
05_10_2007_22,255.97311778825582,3.313668900837653,11383.06559171811,77.25727884039443,386.39009738641585
05_22_2007_05,6609.799276406239,476.9608234313206,11711.119845289462,92.82350721592859,604.7882137749807
06_12_2007_23,0.1937143698605003,0.0,6773.81815502346,52.05726855252779,249.6346017167139
07_18_2007_12,6590.2895011918645,1788.54903275628,4742.074813805689,40.79519320889936,328.53876525005893
07_23_2007_19,637.1352728294972,41.448878842080916,11597.52043912048,73.94146110034892,509.94938045906366
07_25_2007_01,5552.528716223211,541.2837001086098,9393.563244600426,87.14350673686329,646.5816283004306
07_27_2007_22,0.0,0.0,7197.182348106407,28.098733853311135,107.6539666095108
07_31_2007_00,5642.386772133061,78.14161044423508,19029.180339353123,156.66335783607704,728.5109521719246
08_15_2007_13,548.0790064668054,0.0,5014.882126781692,27.33981271761698,175.985306027042
08_22_2007_08,75.37729771570483,0.050205832661708166,4226.691333813331,25.313116047316846,193.12457974069156
08_22_2007_21,916.4126042298553,1815.8394294849627,3853.214734737665,34.880486011964884,235.57717371096516
08_30_2007_03,83.47104858031148,0.0,11090.170824424144,66.6812571931331,304.62257633014264
08_30_2007_21,1594.9497645026331,456.2169515989268,10161.14262835173,74.0623252090073,516.4360546497649
09_26_2007_12,8749.614205420203,246.927417893034,2615.7686822641635,23.754322906961903,188.68620905446716
11_12_2007_20,0.5943284624775849,0.0,9689.95161724219,47.06676702486703,226.1072504348926
11_13_2007_14,3112.8180995496245,591.8856452712133,3923.6672205296554,33.488473215953654,234.61985335550503
11_16_2007_03,813.5198104928742,0.0,7002.554800311584,32.50356089639947,159.5138343478951
11_17_2007_20,723.7865348637432,192.52885129578712,13430.892414244589,90.5542565367591,507.12095611463616
11_19_2007_15,0.09585572974527289,0.0,12437.239835241653,43.019678158098394,169.12889888344804
12_11_2007_21,0.10682606518139201,0.0,5294.674696732395,40.20318133529074,222.58776628964353
12_13_2007_10,1.1610017966633437,0.0,9502.910462261303,46.126803128510254,230.51630009515935
12_17_2007_20,344.21008889157747,340.3304932442006,4024.4360128376065,37.72300381313073,255.42566601590295
12_24_2007_21,381.20660005280286,2.805401580458907,6845.116331240608,55.57522619733959,381.5484690785704
12_27_2007_17,5462.959127360297,1103.1646773748632,8027.931517720666,64.69261039886601,454.1118406541907
