,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,1214.8037289606077,0.0,14441.804711893124,8.513896383380889,0.0,-229.37674222870487
02_04_2007_10,0.0,0.0,9638.455338605097,6.745846010780334,0.0,-963.8455338605098
02_08_2007_07,5411.765292588016,0.0,11598.716432170906,4.750791348552704,0.0,4251.893649370925
02_10_2007_02,499.32942758393943,0.005850169494058041,12511.164384868329,10.366830654478072,0.0,-751.7753105639054
02_21_2007_13,0.0,0.0,13430.062821751655,4.505104400253296,0.0,-1343.0062821751656
02_24_2007_17,0.0,0.0,10621.39115981887,4.545698113775253,0.0,-1062.139115981887
02_28_2007_12,1273.2627467693248,0.0,13188.512773502374,6.252887494897842,0.0,-45.588530580912675
03_19_2007_14,0.0,0.0,16020.4432386618,2.1730753854274747,0.0,-1602.04432386618
04_04_2007_12,4741.681396766376,2000.5677626714523,5048.347769680171,3.3932571485996244,0.0,8237.982145141263
04_05_2007_09,29.107145958518075,0.0,9933.838321993748,6.0107902661323545,0.0,-964.2766862408567
04_10_2007_02,0.0,0.0,8234.717290617404,3.9966342524051663,0.0,-823.4717290617405
04_27_2007_11,0.0,0.0,16320.802621547158,5.260399080848694,0.0,-1632.080262154716
04_29_2007_02,0.0,0.0,9879.15590612962,3.7870678380489347,0.0,-987.915590612962
05_10_2007_22,479.8753775699657,0.0,10492.242430819795,4.872724004125595,0.0,-569.3488655120138
05_22_2007_05,7765.121797381066,206.29267615292008,11199.456863259164,4.402360804414749,0.0,7057.76146336099
06_12_2007_23,0.0,0.0,5809.1216709005585,4.499168254470825,0.0,-580.9121670900558
07_18_2007_12,6884.325676333607,1870.5112723397187,4617.028129002615,3.820595599746704,0.0,10163.645408112783
07_23_2007_19,766.6689117838417,0.0,11188.761779705274,4.837627507781982,0.0,-352.2072661866856
07_25_2007_01,6099.3989552119065,432.23789352071174,9257.657608635674,5.390950031614303,0.0,6038.108981389762
07_27_2007_22,0.0,0.0,5953.743294866133,2.74863023314476,0.0,-595.3743294866133
07_31_2007_00,7153.911478286906,141.81740176197872,17714.24195652421,15.03360725197792,0.0,5666.122086158442
08_15_2007_13,454.7395872308615,0.0,4598.4969543687685,3.018810190296173,0.0,-5.110108206015354
08_22_2007_08,0.0,58.928661362458875,3651.5221220307485,2.815795756912231,0.0,-247.29488947815713
08_22_2007_21,514.2129879074351,1885.3477103653545,3755.677374362445,3.6482773498058316,0.0,3909.3406712019
08_30_2007_03,13.164300993360541,0.0,9940.509429318656,4.322847701644897,0.0,-980.8866419385051
08_30_2007_21,1882.8606551867763,518.0893741050174,9709.340470611412,6.350687421894073,0.0,1948.10535633567
09_26_2007_12,8877.276516324277,246.92725230804447,2585.819098230054,2.7125832513332364,0.0,9112.54911111736
11_12_2007_20,0.0,0.0,8241.748292822074,4.149093665218353,0.0,-824.1748292822075
11_13_2007_14,3210.817998678795,555.6431992239585,3774.9787376169097,3.4059889093399045,0.0,3944.6065233650206
11_16_2007_03,608.2984861618888,0.0,6038.894774702569,5.4329649880886075,0.0,4.409008691631925
11_17_2007_20,851.2601933073831,126.98652415977465,12377.712457639645,7.832638062572479,0.0,-132.5380041370322
11_19_2007_15,0.0,0.0,10592.831708446709,3.4216788486003873,0.0,-1059.2831708446708
12_11_2007_21,0.0,0.0,4582.013477345964,4.38093186173439,0.0,-458.2013477345964
12_13_2007_10,0.0,0.0,7874.604956330928,4.170348979568481,0.0,-787.4604956330928
12_17_2007_20,252.74172992389336,415.3917813210714,3662.6495004440812,3.2786565199851987,0.0,717.260342521628
12_24_2007_21,426.6872979673695,2.8054532900519766,6478.876083433208,3.9591055587291715,0.0,-215.58940379584737
12_27_2007_17,6042.418435729567,1111.6609421296473,7827.0723348626725,5.920258022880554,0.0,7483.0330865025935
