,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,1490.7163137521106,0.0,14018.382317042277,1.3972000408411027,57.04353366357873,89.44851738451858
02_04_2007_10,0.0,0.0,9902.674388809928,12.530200027251244,134.00442205952132,-988.9273946603976
02_08_2007_07,5544.134602769124,0.0,11757.15129104085,0.6988000202417374,50.16890627229128,4368.921162727762
02_10_2007_02,586.471280363959,0.0,12892.911631253794,28.815999739193916,210.07317770503994,-700.71915098437
02_21_2007_13,0.0,0.0,14022.512733525164,34.01320033552646,190.79696747457564,-1400.3433036777706
02_24_2007_17,0.0,0.0,11161.573089900807,39.36220028283596,206.78029945593505,-1114.0895059955214
02_28_2007_12,1521.2115388950276,0.0,12766.85702294427,3.4924001026391984,66.96894946537276,245.19552609525428
03_19_2007_14,0.0,0.0,16609.20479948257,20.989599936032295,167.45607370554046,-1659.2459192112017
04_04_2007_12,4925.7036548243395,1937.5054120359516,5304.010915437655,10.08100008251667,85.43398825880331,8271.167727235066
04_05_2007_09,0.805068011088708,0.0,9987.882900822944,2.794000082039833,66.78207166413614,-997.3154013545644
04_10_2007_02,0.0,0.0,8861.788484231818,19.055800132775307,129.21946219240345,-884.8866538012578
04_27_2007_11,0.0,0.0,17867.04797987759,63.77920033814907,302.7451789511001,-1783.677346198248
04_29_2007_02,0.0,0.0,9691.33689568796,15.365200452828407,114.74416857212009,-967.9862478830748
05_10_2007_22,378.07476454319175,0.0,10434.385390594633,8.381200246834755,78.6630529862234,-664.5771439864092
05_22_2007_05,8343.310698065356,0.0,11091.397738276437,4.889200143837929,68.65204823725276,7234.8574447200845
06_12_2007_23,0.0,0.0,5951.678033752481,10.41159992697239,102.13606493582256,-594.1464427258899
07_18_2007_12,7274.657876980586,1627.7926244205535,4597.026206262612,0.6988000202417374,48.43916666098133,10071.024896862042
07_23_2007_19,803.629624194195,0.0,10946.943159974622,0.6988000202417374,51.94192778278381,-290.5452725254395
07_25_2007_01,6880.639684661479,43.850885008210696,9185.990548395812,0.6988000202417374,53.48189921959528,6050.277218830515
07_27_2007_22,0.0,0.0,6421.80067328171,27.45640023829937,159.08804151963403,-640.5891869129747
07_31_2007_00,6496.554159039697,0.0,18182.46672506186,12.86920010330677,103.89146623445528,4679.346401195856
08_15_2007_13,593.8053892957441,0.0,4628.829184830569,9.708400033736229,70.17610954798413,131.62423190816705
08_22_2007_08,60.712786235932484,0.0,4004.264709205524,18.13660009982586,104.01332943523369,-338.6735513902676
08_22_2007_21,791.2636064655894,1739.5382614669577,3766.7270922886646,1.04800003054142,53.75593181291444,3894.2049794887675
08_30_2007_03,0.0,0.0,9885.452119437696,17.857000135207176,113.70437001245382,-987.408168243645
08_30_2007_21,2235.210563069654,277.6128632910112,9577.490700768238,4.456600092673302,71.76766354908534,1833.4048962103436
09_26_2007_12,9078.729213121305,246.87715080532013,2581.270336911892,0.6988000202417374,45.87301703166541,9314.815211211073
11_12_2007_20,0.0,0.0,8331.97531029169,26.829400144839287,207.31683445039806,-831.124362684665
11_13_2007_14,3345.5497380717024,411.74619421833347,3839.7054617323383,0.6988000202417374,60.16875273099431,3785.6732678624458
11_16_2007_03,672.3417417572283,0.0,6089.6323748630675,5.806600056910515,75.85560888706468,64.1370603597922
11_17_2007_20,1041.842645448387,0.0,12129.066435986508,9.835600160384178,105.92045210966434,-170.0047936291672
11_19_2007_15,0.0,0.0,11092.771313500822,52.36719995024204,268.8820968474602,-1106.5883103816077
12_11_2007_21,0.0,0.0,4823.991972270816,16.095999919199944,106.04269229045818,-481.3387703041771
12_13_2007_10,0.0,0.0,8510.35962817639,11.72199978711605,100.97265146642384,-850.0262363029747
12_17_2007_20,252.6945758640404,299.4945926437045,3855.330676312354,3.002799861454964,70.66505809421957,466.8573441011562
12_24_2007_21,518.2219687227631,2.8685351060654978,6512.6162961142345,2.794000082039833,70.48066827393495,-126.59778399379
12_27_2007_17,6538.680385786323,957.0635181950568,7772.177755608283,0.6988000202417374,55.62080010427542,7676.145854616651
