,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,1365.3130949502315,0.0,13350.238986118089,150.96210029008387,990.65394509319,40.19573578935437
02_04_2007_10,0.0,0.0,9701.384454261737,110.32240027966499,555.2534915332578,-964.5859105108412
02_08_2007_07,5598.260818606314,0.0,11530.845783336199,72.08310013296604,540.6931232863194,4450.583171505557
02_10_2007_02,401.87921303798646,0.005850169492585415,13249.725865238246,228.51790020647047,903.3708901465899,-914.0479642453872
02_21_2007_13,0.0,0.0,14115.75763268938,280.9903006780386,1431.9844409010188,-1397.255918859928
02_24_2007_17,0.0,0.0,11322.178292900384,97.44140026750564,526.6149315547284,-1126.9516799744913
02_28_2007_12,1042.7844342838364,0.0,11809.059240635768,106.97430031778812,695.1442451916298,-131.17004732782408
03_19_2007_14,0.0,0.0,17001.417332553956,184.00130061092375,873.6400719801791,-1691.4053325355937
04_04_2007_12,5236.712384768944,1854.4675923347338,5421.959587988824,47.029800065183636,206.33504613870784,8405.514961100916
04_05_2007_09,0.0,0.0,9325.364753676567,106.65750031950473,575.902720946606,-926.7774481581907
04_10_2007_02,0.0,0.0,8729.430955116111,99.05600013616085,475.40087107556695,-868.1890868008555
04_27_2007_11,0.0,0.0,17787.721020374556,172.53620065035818,832.6576900820149,-1770.4455251366355
04_29_2007_02,0.0,0.0,9580.15890850831,157.29430054905413,675.2807402858926,-951.2630834479721
05_10_2007_22,237.43927622466532,0.0,10490.131667471791,172.97390041532515,696.6878783247005,-804.6070117392669
05_22_2007_05,7681.656554493027,0.0,11508.679738082046,114.20410025897026,543.5906140186729,6536.224486825009
06_12_2007_23,0.0,0.0,5696.736106650544,105.23270020666122,433.664438521357,-565.3369662798408
07_18_2007_12,7020.335917850396,1588.8887226013733,4674.526282787975,62.296300120973584,296.20313682569025,9733.622766142602
07_23_2007_19,537.8621151496657,0.0,10638.346563426268,106.85730017008781,588.3410098292716,-520.0891310946685
07_25_2007_01,6097.316800520266,485.5584107716541,9202.74401470459,107.97590027036667,651.4165209103205,6154.673385802218
07_27_2007_22,0.0,0.0,6843.559286396051,120.30870022656917,405.7412082402328,-680.2985165572028
07_31_2007_00,7424.1127680265345,6.033153763792727,17160.30573683577,243.05590028347967,748.900305289598,5727.637504923438
08_15_2007_13,509.53140860244963,0.0,4814.0906130694175,72.8217001486063,262.63813506760323,30.74872864618387
08_22_2007_08,0.0,131.86806910091371,4054.470413951646,44.65660011055469,184.872075169941,-139.86218244163783
08_22_2007_21,762.9080445371334,1734.1865031327682,3722.839214007933,28.6648999679327,172.4270853759009,3860.721400255635
08_30_2007_03,0.0,0.0,9223.772753447669,101.24360015275478,601.9106460193408,-916.3581688845736
08_30_2007_21,1562.5520280503283,584.3963390180768,9644.13248981544,83.67710018935203,548.7312202001511,1772.4187693069393
09_26_2007_12,8982.042714454801,246.9274822589584,2602.4989563810122,30.54170004310608,220.38450082333392,9217.85162834285
11_12_2007_20,0.0,0.0,8363.660638384052,114.67590018393993,580.9341327636906,-830.5567225107683
11_13_2007_14,3104.2771173155425,425.7106253778309,3871.101622349326,48.78759998860359,163.44800820659032,3570.222685918337
11_16_2007_03,658.9321604892655,0.0,6627.343547500717,78.69810015740394,308.32505864607526,-0.7189436743455926
11_17_2007_20,562.4885218133629,701.9105792394779,11464.279940097946,80.05540020051002,392.2348402516393,823.8040346850404
11_19_2007_15,0.0,0.0,11778.682507880909,177.2545002627611,515.8033852094743,-1172.7102169359962
12_11_2007_21,0.0,0.0,4785.402224393443,80.73800013246536,353.7320273784705,-475.00290216555965
12_13_2007_10,0.0,0.0,8063.615358932987,105.81760019841194,399.4901660161388,-802.3666342331373
12_17_2007_20,252.73638057407874,361.2158380909626,3563.194892742674,27.594100006246567,150.1767300371829,620.3503347821085
12_24_2007_21,387.5437020750227,2.8054030055558905,5738.761242599291,25.59560007634163,240.46933200091922,-178.3169228537855
12_27_2007_17,5873.123771406408,993.9990608418749,7835.355208151135,111.18660020115375,640.263945230774,7083.989011727352
