,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,559.9221801435301,0.0,14088.000161023789,47.725599877214435,454.90626588365126,-844.3287733000124
02_04_2007_10,0.0,0.0,9772.413779431947,43.039200000143055,233.76675436864406,-974.9037103995083
02_08_2007_07,6052.813791227352,0.0,11467.290133561939,34.89700030503273,207.78469043835634,4908.162624775542
02_10_2007_02,405.08146064811655,0.005850169489898895,13508.39797472231,41.279800094342235,286.14249126115726,-942.8852115725232
02_21_2007_13,0.0,0.0,13304.316579774195,22.758700214004516,139.1299415867395,-1329.040358561552
02_24_2007_17,0.0,0.0,11121.676270139727,29.04290015218258,151.81770981637717,-1110.649449915809
02_28_2007_12,1253.0957594998192,0.0,11635.089154859335,23.17129992661476,202.26547224780552,91.60949873636369
03_19_2007_14,0.0,0.0,18119.563169773417,25.077500424957275,92.06273772223335,-1811.0356896001194
04_04_2007_12,4962.394667587926,1889.6724429878657,5418.642602780336,17.159599966979027,119.25029557546107,8201.06779624138
04_05_2007_09,0.0,0.0,9755.036017087401,28.167899958467483,279.94966103870047,-972.7041050983531
04_10_2007_02,0.0,0.0,8578.949973879699,19.83750002799034,163.31556095031834,-856.2618417784666
04_27_2007_11,0.0,0.0,18512.555910432227,49.88090049443245,300.7184214035399,-1848.2484068291876
04_29_2007_02,0.0,0.0,10213.117351549394,29.683800093507767,222.24081434615834,-1019.0893270114778
05_10_2007_22,216.1238288289283,0.0,10756.781729922106,26.55760013279915,224.09579071231434,-857.3133862561592
05_22_2007_05,7920.47237939069,0.0,11457.187277724843,33.95750019667149,215.78271847351,6776.91147880294
06_12_2007_23,0.0,0.0,5972.92196551058,16.37490007994175,126.26302928659786,-596.0295662581921
07_18_2007_12,7231.523303181743,1665.2164169333664,4671.528004781122,19.456099994158745,152.8911323660717,10096.332247894026
07_23_2007_19,350.59824403712145,0.0,11138.253287144515,51.29840000686646,460.79306488930627,-758.6191540284368
07_25_2007_01,6688.57112201729,333.5393422755528,9201.963769890517,29.517600111341476,224.2771149696188,6437.69620072904
07_27_2007_22,0.0,0.0,6757.334190770214,20.989000074243545,129.81816877441008,-674.4352373892774
07_31_2007_00,6312.466692042695,0.0,18540.35794577481,77.67789959130288,490.95403585195345,4463.340437823734
08_15_2007_13,406.8216707649333,0.0,4831.220069613842,15.905100039815903,123.46551017054819,-75.06568109474539
08_22_2007_08,0.0,0.004601147400935827,4013.4937098771948,13.161999992704391,105.08125386321568,-400.2893561542855
08_22_2007_21,650.9036946151124,1861.265053155363,3801.1796500138466,9.905299983596802,86.27721330357508,3994.1786080574893
08_30_2007_03,0.0,0.0,8973.10696561923,20.146500087952614,120.97661815020865,-896.100930380421
08_30_2007_21,1601.1141898987091,349.27666365677356,10025.642883016873,24.67600009558201,249.39343211243633,1299.5971632316935
09_26_2007_12,9051.549263865205,246.9272751841121,2609.32772840243,16.777700103497505,97.47332158143982,9285.445774609001
11_12_2007_20,0.0,0.0,7635.728966815785,26.065500206923485,136.9533582422431,-762.2033630991561
11_13_2007_14,3266.2525323580994,545.1411185813583,3842.162980394147,22.246699995970726,142.5432986634329,3973.7439044680364
11_16_2007_03,687.4443020290698,0.0,6719.510201806037,26.72640006957054,232.07837288588019,17.814065577324843
11_17_2007_20,1121.1846221321316,179.16178350523717,11434.57816942939,60.25160019812584,375.0568990423807,339.8009411900908
11_19_2007_15,0.0,0.0,11768.46263596754,22.29070015964508,139.516037129293,-1175.4511032254613
12_11_2007_21,0.0,0.0,5030.470930304341,34.339000068283084,181.19424305812942,-501.23515059985283
12_13_2007_10,0.0,0.0,7825.12065189175,27.402299962615967,197.52779888678236,-780.5367872003072
12_17_2007_20,252.73612476913723,297.5944192013806,3742.1419288782427,11.575099990558623,115.15877512068772,474.8623580352811
12_24_2007_21,332.87890629707647,2.805478075244209,5857.546229376226,29.278799973106384,261.0134679302779,-244.65462581075494
12_27_2007_17,6238.360081524286,1074.6299381515457,7805.556916815122,37.535800002193454,259.18225256292146,7609.656088671494
