,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,1156.0944737904804,0.0,13915.845082207361,53.74200031275749,0.0,-235.49003443025572
02_04_2007_10,0.0,0.0,9096.276309397994,47.94390015418529,0.0,-909.6276309397995
02_08_2007_07,6520.534722808795,0.0,10764.430855564317,19.929699809503553,0.0,5444.091637252363
02_10_2007_02,630.3398826056658,0.005850169491346939,11616.195947205728,83.7194002133131,0.0,-531.2680117759244
02_21_2007_13,0.0,0.0,12270.64594916375,58.027300269556044,0.0,-1227.0645949163752
02_24_2007_17,0.0,0.0,10176.980437857503,57.85889999682903,0.0,-1017.6980437857503
02_28_2007_12,980.1136078054561,0.0,12079.646092267933,35.32670003290176,0.0,-227.85100142133717
03_19_2007_14,0.0,0.0,15479.561052403124,61.668900341939924,0.0,-1547.9561052403124
04_04_2007_12,4871.108154549568,1840.7162042893842,5096.458914102781,13.543699891519546,0.0,8042.894671718058
04_05_2007_09,0.0,0.0,9832.464662975235,56.29850030059814,0.0,-983.2464662975235
04_10_2007_02,0.0,0.0,8080.110050100384,34.88490012402534,0.0,-808.0110050100384
04_27_2007_11,0.0,0.0,17788.31417770577,80.54310055191516,0.0,-1778.8314177705772
04_29_2007_02,0.0,0.0,10078.042797670965,61.93950048203468,0.0,-1007.8042797670965
05_10_2007_22,76.35184273202864,0.0,10766.39165047551,41.55670017118454,0.0,-1000.2873223155225
05_22_2007_05,7875.966125425249,0.0,11347.847229131692,33.92889994497299,0.0,6741.181402512079
06_12_2007_23,0.0,0.0,5559.825548840021,29.45750011618137,0.0,-555.9825548840021
07_18_2007_12,7083.359945696829,1602.9784666997434,4653.718100884302,8.412699938964844,0.0,9823.945069007885
07_23_2007_19,832.6410316164385,0.0,10726.016171696621,42.35450030977726,0.0,-239.96058555322372
07_25_2007_01,6637.575259390759,42.36809970392642,9255.805947923478,15.911599994850159,0.0,5796.730864006264
07_27_2007_22,0.0,0.0,6054.166927613846,33.39480011279583,0.0,-605.4166927613846
07_31_2007_00,6534.328037730447,0.0,17932.984867549047,72.62860036010741,0.0,4741.029550975542
08_15_2007_13,282.5676608028294,0.0,4649.199855274424,27.835700036239622,0.0,-182.35232472461308
08_22_2007_08,0.0,0.004598783176930631,3823.4318466260793,17.843700007748602,0.0,-382.3339870962541
08_22_2007_21,895.6942352317108,1734.1865031327682,3792.3145918008036,7.674799964976311,0.0,3984.8357823171664
08_30_2007_03,0.0,0.0,8825.385914376882,57.56250017995834,0.0,-882.5385914376883
08_30_2007_21,1793.3983499191067,291.54036055283103,9749.287795914026,27.057000086855886,0.0,1401.5502914333663
09_26_2007_12,8937.452245653507,246.92755382847082,2590.2115993874554,6.834499896717071,0.0,9172.286193371703
11_12_2007_20,0.0,0.0,7319.356010178793,40.835299910259245,0.0,-731.9356010178794
11_13_2007_14,3229.6935272907212,421.22199553853426,3783.3784975571216,9.458000020337105,0.0,3693.7996686120773
11_16_2007_03,546.3436570228072,0.0,6338.635188776312,42.59450027461052,0.0,-87.51986185482406
11_17_2007_20,1259.9046708352093,158.53521942965864,11460.68834350785,43.27860008294582,0.0,430.9062753437413
11_19_2007_15,0.0,0.0,9298.15590823453,44.89550019915104,0.0,-929.815590823453
12_11_2007_21,0.0,0.0,4527.066021714048,28.39810004944801,0.0,-452.70660217140477
12_13_2007_10,0.0,0.0,7677.8103488354545,29.01510018224716,0.0,-767.7810348835455
12_17_2007_20,275.34122601581254,297.5944081242647,3808.321049027398,7.348999993157387,0.0,489.69793736160216
12_24_2007_21,338.58372560208926,2.8054750814174,5934.271633036906,20.196100027513502,0.0,-249.23248753876652
12_27_2007_17,6154.882579183365,961.3250808368698,7850.052829957505,29.371099860620497,0.0,7292.527457861354
