,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,2255.069502363868,0.0,13452.77795015247,86.3211000784874,0.0,909.7917073486212
02_04_2007_10,31.859473894870256,0.0,10434.885226885492,39.70810010280609,0.0,-1011.629048793679
02_08_2007_07,6140.126907448619,0.0,11467.760416808193,70.97750001397134,0.0,4993.350865767799
02_10_2007_02,525.5772851250115,0.005850169489999463,13290.78260236925,52.226400189065934,0.0,-803.4892747729338
02_21_2007_13,0.0,0.0,13391.90896695306,76.081699959898,0.0,-1339.190896695306
02_24_2007_17,0.0,0.0,10868.688284655223,64.2352002039194,0.0,-1086.8688284655225
02_28_2007_12,1455.296544433153,0.0,12918.915203142602,104.88710016753674,0.0,163.4050241188927
03_19_2007_14,0.0,0.0,17566.83549102494,21.49530006196499,0.0,-1756.683549102494
04_04_2007_12,5078.153517266968,1837.046846140984,5253.382638127707,39.117399878764154,0.0,8226.908945736164
04_05_2007_09,0.0,0.0,9597.499063834604,65.00340024378299,0.0,-959.7499063834605
04_10_2007_02,0.0,0.0,8303.265010167372,59.646800227427484,0.0,-830.3265010167372
04_27_2007_11,0.0,0.0,18199.525908207135,33.69390020515919,0.0,-1819.9525908207136
04_29_2007_02,0.0,0.0,9654.85607986638,60.14480026807785,0.0,-965.4856079866381
05_10_2007_22,259.7952159240402,0.0,10477.172164361125,44.39340006556511,0.0,-787.9220005120724
05_22_2007_05,8168.156078194654,0.0,11317.377509716782,72.66219993677139,0.0,7036.418327222976
06_12_2007_23,0.0,0.0,5686.006307321248,52.91239988055229,0.0,-568.6006307321248
07_18_2007_12,7078.393600906524,1612.0979509140816,4661.500079307819,19.013099960947038,0.0,9836.439494803904
07_23_2007_19,997.169461324816,0.0,10692.967127873893,100.67790015249253,0.0,-72.12725146257344
07_25_2007_01,6879.564985564595,2.207209334223366,9258.377089976117,45.910800017380716,0.0,5958.14169523543
07_27_2007_22,0.0,0.0,6261.619812197807,16.401100017094613,0.0,-626.1619812197807
07_31_2007_00,6665.432320198779,0.0,18080.66131873799,95.95740021016599,0.0,4857.36618832498
08_15_2007_13,405.03621158035656,0.0,4620.306176448517,22.62399997558594,0.0,-56.994406064495195
08_22_2007_08,0.0,0.004598534543939024,3888.958460245718,10.680699996614456,0.0,-388.88664895548396
08_22_2007_21,654.5707468997607,1831.2410310363457,3799.7213507612623,5.620799966120719,0.0,3937.0806738963256
08_30_2007_03,0.0,0.0,9225.14070132918,40.522800020837785,0.0,-922.5140701329179
08_30_2007_21,2046.314778716479,310.9249214398506,9729.413142491436,51.64310001578331,0.0,1695.2233073470366
09_26_2007_12,8858.250288880634,246.92755410107878,2590.063096737934,24.373999960684777,0.0,9093.099087408997
11_12_2007_20,0.0,0.0,7555.7016756872945,17.45950000729561,0.0,-755.5701675687295
11_13_2007_14,3250.507185984702,621.8587534790054,3832.2998734854386,33.747699983382226,0.0,4110.994705594169
11_16_2007_03,640.9807870427295,0.0,6494.465625814754,28.30860012021065,0.0,-8.465775538746016
11_17_2007_20,1195.589982016975,0.0,11551.287702605425,79.93510030951501,0.0,40.461211756432476
11_19_2007_15,0.0,0.0,11470.949415350022,32.69610010828972,0.0,-1147.0949415350021
12_11_2007_21,0.0,0.0,4796.490767871096,14.333299942278863,0.0,-479.6490767871096
12_13_2007_10,0.0,0.0,7979.607936416478,45.091899819636346,0.0,-797.9607936416478
12_17_2007_20,277.9975905377041,401.9529973073747,3905.2280158492554,6.858199926304817,0.0,691.380783567528
12_24_2007_21,316.78932338771625,2.8054842952686143,6046.817339947095,64.73960026350022,0.0,-282.2814420164561
12_27_2007_17,6708.418694419953,994.0757141979556,7751.853400426947,48.48820008544922,0.0,7921.384782773169
