,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,938.5195542847821,0.0,13851.911506459954,22.296099840807916,170.16933584881383,-444.96990300272535
02_04_2007_10,0.0,0.0,9759.705155742226,26.027399866986276,168.3870927207857,-974.2866446470148
02_08_2007_07,5452.15322785093,0.0,11437.798556233178,30.933999939966203,273.8997991382999,4311.112370218995
02_10_2007_02,523.018503783924,0.00585015955437816,12506.741998341264,48.7771997592926,299.65208240041665,-724.6474749070896
02_21_2007_13,0.0,0.0,13487.186613220081,58.35949978153705,282.1576700561742,-1345.8970846214465
02_24_2007_17,0.0,0.0,10601.285306341293,48.42019948284626,188.23382559123402,-1058.246192378217
02_28_2007_12,1129.2904636757444,0.0,12985.876155956525,32.23070005993843,297.6078153052963,-166.32107376685522
03_19_2007_14,0.0,0.0,16506.112944571003,80.38239958803653,336.8827571075488,-1647.2424668860249
04_04_2007_12,4914.887144723242,1651.0785727345897,4912.950150355576,13.444399803090096,85.4586056684796,7726.603861213549
04_05_2007_09,0.0,0.0,9432.598323893679,18.17979985396862,135.10534831744982,-941.9087789061934
04_10_2007_02,0.0,0.0,7691.345126901492,18.041799782919885,82.3827669541823,-768.3106850206074
04_27_2007_11,0.0,0.0,16581.93508168677,75.1157998434782,343.66478733451305,-1654.7568602953318
04_29_2007_02,0.0,0.0,9440.929180697953,43.29029947440624,204.92371395779256,-942.0436809302174
05_10_2007_22,189.21957671010713,0.0,9834.380916020937,26.132099731969834,193.5902854962012,-792.2826120370245
05_22_2007_05,7733.372604924442,0.0,11106.106438952,33.584399863290784,209.02335090248252,6624.852194538267
06_12_2007_23,0.0,0.0,5717.573784758384,34.88389979224205,175.58894456957836,-570.0014890301427
07_18_2007_12,6324.127807277181,2354.6288288577775,4571.686541852818,14.048599927830697,130.01682206574253,10577.516979028112
07_23_2007_19,462.84967816348063,0.0,10754.998521074569,24.132699846434594,207.35168447711473,-610.5766570992052
07_25_2007_01,5740.208022497134,858.9227981101626,9094.0414537135,38.93059997181892,386.3982684585697,6552.513456030695
07_27_2007_22,0.0,0.0,6068.9104752392295,31.260699718403817,137.74918067869163,-605.5135557171361
07_31_2007_00,6438.717288452486,0.0,17644.29818739895,61.476699917721746,415.48590643339185,4678.442328776926
08_15_2007_13,246.37183689174927,0.0,4553.449534892104,12.461599826025964,86.90439532246108,-208.10407264423654
08_22_2007_08,0.0,0.0045987923414338,3592.1143293883347,10.772699802327157,66.72569549158803,-358.5349783992347
08_22_2007_21,487.3182267508033,1800.7851167514307,3705.4945215805383,17.0684999219656,154.3949930963334,3719.8829580265738
08_30_2007_03,0.0,0.0,9337.910954173969,31.08899986665249,175.73115207358003,-932.0337838966611
08_30_2007_21,1899.2149939731787,311.1629564563852,9514.625119320515,36.54119980256557,283.8718283439798,1572.9171132373372
09_26_2007_12,8999.598411874966,246.92755356502553,2578.072082502866,21.02849991540909,171.97013450682903,9237.3660120998
11_12_2007_20,0.0,0.0,7952.772516911861,15.051699726986886,91.00537926238064,-794.3671978985624
11_13_2007_14,3265.7736106867605,478.5425181202783,3739.5278243881558,14.248299851226808,81.22139219561056,3849.7180784104576
11_16_2007_03,593.313390670615,0.0,6151.356393715172,28.3692998729229,156.929039835676,-20.252958302545505
11_17_2007_20,790.3557312394549,0.0,11917.486155749242,39.044999866890905,274.5180171882017,-398.6477041635874
11_19_2007_15,0.0,0.0,10362.923149851871,37.97159975688457,160.875741359757,-1034.6835575715897
12_11_2007_21,0.0,0.0,4607.0179947373645,13.803699745941163,88.80366851073953,-459.81376278862905
12_13_2007_10,0.0,0.0,7134.51548536747,14.157099827337266,98.98352362627867,-712.4617133004842
12_17_2007_20,252.73640907624176,297.5944261089172,3522.6212588337303,11.028299935483933,98.46970952327771,496.6478325059359
12_24_2007_21,326.72103573456997,2.8054843932686833,6353.144745221958,9.970999955344201,88.78688415405466,-302.094601159548
12_27_2007_17,5835.490754328498,1037.969954500629,7731.767569195892,23.92069987874031,221.77467095723645,7140.47165311974
