,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,1490.7659711032597,0.0,13571.750940330257,77.85760065734387,602.1003575507505,139.6118806457415
02_04_2007_10,0.0,0.0,8698.24131140462,65.93919989287853,478.07021764351845,-865.0434289640268
02_08_2007_07,5357.9337154962395,0.0,11695.929980016756,18.621200112700464,181.87207623921842,4190.1594382569565
02_10_2007_02,949.6757890943834,0.005850169497913852,11220.940035341771,83.88860001981259,648.1125260133118,-165.9253888406647
02_21_2007_13,0.0,0.0,12137.971361990127,122.99280014455319,839.3584424797488,-1205.4035517742154
02_24_2007_17,0.0,0.0,9404.94061434833,75.06939986169338,505.4945585316845,-935.4391158495162
02_28_2007_12,1239.233004888393,0.0,12706.256997758654,34.60640013039112,295.3061779197807,-28.439633108274737
03_19_2007_14,0.0,0.0,14594.189319011595,103.47799962580204,752.1463463106511,-1451.897468438053
04_04_2007_12,4956.429453449842,2004.4702150267956,4883.138095397745,24.561000077128412,151.6336902942382,8478.5724108666
04_05_2007_09,0.0,0.0,9068.720004853309,70.13380041539669,475.52606159857316,-902.1167398693451
04_10_2007_02,0.0,0.0,7325.65225770148,73.39060020267964,482.9108205961758,-727.7361175641863
04_27_2007_11,0.0,0.0,15911.647747259594,207.49830184698106,1000.1810715955794,-1581.1629640100036
04_29_2007_02,0.0,0.0,8758.24353770704,92.9314002674818,592.3912118999283,-869.9004416517047
05_10_2007_22,440.8131558060919,0.0,9855.672065031455,71.3246001881361,410.4285511981276,-540.6497651850723
05_22_2007_05,8414.583603169893,0.0,10833.281783274537,55.18720018684864,285.4871198052321,7334.1102960404905
06_12_2007_23,0.0,0.0,5190.502436273736,45.29439988553524,297.1296577448324,-516.0789470499252
07_18_2007_12,7106.551197293389,1629.0649068190462,4594.072641384383,13.857800034880638,102.27951053449897,9906.296541898388
07_23_2007_19,560.7691403782405,0.0,10882.882331481174,37.295400468707086,362.8325477006289,-523.8907672928707
07_25_2007_01,6074.287791696068,592.7480380101065,9294.645448143372,23.765700025558473,248.41676138301315,6332.803490515774
07_27_2007_22,0.0,0.0,5215.6662948723715,69.84930004000664,355.9564960921698,-518.0070645263155
07_31_2007_00,7264.050084477882,0.0,17198.330228936327,100.63800042688847,559.1612371968945,5549.808673956218
08_15_2007_13,309.8458260242828,0.0,4379.16049047132,34.43740013062954,206.3430435652072,-126.00679258719717
08_22_2007_08,0.0,5.611949295784677,3538.094874627773,30.111999897360803,190.751438934459,-340.67807448186335
08_22_2007_21,618.637457646394,1761.0454146728755,3724.8484081497973,15.932000039219856,129.49915676445664,3769.5384377448095
08_30_2007_03,0.0,0.0,9093.002699244335,52.309400109648706,397.60874186940066,-905.3241825057395
08_30_2007_21,1971.0647647662722,383.15622316541925,9381.308836182074,45.63640019118786,321.9543904006081,1802.4658713829094
09_26_2007_12,9312.520356910238,246.92745413024892,2597.922331456273,12.90640002310276,92.71791294736977,9547.510211154584
11_12_2007_20,0.0,0.0,7529.26750207116,45.813699765205385,321.64407252993794,-749.7103094818167
11_13_2007_14,3380.664805697312,599.0160044973196,3768.982144555335,17.667100025415422,103.4138843804173,4202.832739080222
11_16_2007_03,502.46915777058257,0.0,5620.976736068643,54.69970013022423,348.87979718747124,-56.139717864407025
11_17_2007_20,1279.096390502882,329.1393839889534,11363.95349892714,57.27739977657795,434.0029048226183,805.3198376363009
11_19_2007_15,0.0,0.0,9329.423451421346,50.688599912524225,359.77276556507377,-929.3446174864839
12_11_2007_21,0.0,0.0,4407.774323076533,27.927899999618532,198.75926381741326,-438.78983966947914
12_13_2007_10,0.0,0.0,6964.460928153867,60.88340002119541,358.7384204595422,-692.8587086107913
12_17_2007_20,252.73657169307347,312.37765032673246,3615.380664834266,14.804600052857399,153.8200311240575,517.4920061743524
12_24_2007_21,481.11778356632817,2.805405772933833,6047.0560250470535,22.79139992415905,181.8846454111785,-116.15816093839773
12_27_2007_17,6011.365542905127,1052.9331004852247,7783.1326860560275,29.932600377202036,279.49230978690053,7341.713398367842
