,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,1012.9346926710273,0.0,14550.874589045648,53.96549986417293,415.8384865103054,-437.99438136843463
02_04_2007_10,0.0,0.0,9775.424556650225,59.244700164747236,408.49353781480283,-973.4575202868746
02_08_2007_07,5415.006559165135,0.0,11552.075324117184,31.428800032687185,279.3938430475729,4262.5929651838915
02_10_2007_02,585.1353343960823,0.0,12508.473759652878,31.56050008649826,231.53705077434637,-663.3966710614623
02_21_2007_13,0.0,0.0,13141.508490775883,49.768400133800505,491.9551273954579,-1309.2312978036339
02_24_2007_17,0.0,0.0,10372.141263669411,42.124500067186354,280.56262304229665,-1034.4085001365181
02_28_2007_12,814.3753771007166,0.0,13195.746973918951,34.495899991345404,287.1372312452468,-502.32794797872606
03_19_2007_14,0.0,0.0,16253.794515703177,73.2797001015663,476.5905194961811,-1620.613546375356
04_04_2007_12,4694.165780257841,1680.279936561632,5066.842232987972,15.322299928617477,106.07361460011833,7549.102166228309
04_05_2007_09,73.10466546673423,0.0,9926.521498230513,58.951200069141386,499.6072808726457,-914.5514115475906
04_10_2007_02,0.0,0.0,8306.546185607389,33.261700005483625,241.10039583454062,-828.2436146023936
04_27_2007_11,0.0,0.0,16608.794594282343,77.34080001826287,431.24455016230064,-1656.5670139266115
04_29_2007_02,46.06779889303589,0.0,9692.671467387268,63.151500107002256,507.85675217480247,-918.120780323943
05_10_2007_22,325.2982914036136,0.0,10160.257599101109,22.053199933123587,186.64581352502213,-688.8610103712472
05_22_2007_05,8093.0675024798875,0.0,11130.026097372669,11.561899856877327,136.13965433661969,6981.426289285987
06_12_2007_23,0.0,0.0,5991.298352543949,14.014400021386146,92.46276672698193,-598.205207587125
07_18_2007_12,7029.02889349859,1636.4336278105993,4691.585089057175,21.497600035023687,161.030157319309,9834.347941787264
07_23_2007_19,421.3433017955414,0.0,11305.652404260025,42.17629979665279,372.433958477985,-705.4975990456812
07_25_2007_01,6348.496467758359,180.04946871955303,9314.33711147309,19.401100025725363,209.03043766085494,5779.251998426766
07_27_2007_22,0.0,0.0,5847.845198739009,9.493000016760826,85.64609230335728,-583.9280589508674
07_31_2007_00,7836.1912488439575,0.0,17579.013194430016,51.57270053143501,409.80029535935023,6082.387932354549
08_15_2007_13,362.6946889682957,0.0,4638.215862303353,16.780699999284742,117.72257249146791,-99.94967153712494
08_22_2007_08,0.0,0.0,3795.3931033894214,12.2784999471426,123.28904111968448,-378.30641992774537
08_22_2007_21,778.7936842413654,1770.4060904945131,3786.99367877809,17.291099966716764,118.11723828815963,3942.0876697354643
08_30_2007_03,470.4545526856355,0.0,10619.81441796393,12.971899942708015,84.68316780545453,-590.680057432703
08_30_2007_21,1902.7212508948742,268.9219337348644,9886.664581412364,31.69509998078346,265.64798713824166,1454.555140094749
09_26_2007_12,8848.181929622522,246.87701558684967,2565.5052183416806,14.474399970126152,79.16048641746477,9086.177043826228
11_12_2007_20,0.0,0.0,8316.774629243973,17.280299873304365,113.28281656372758,-830.54463475876
11_13_2007_14,3200.834203540552,411.7459885329305,3800.409989612531,17.365399972748754,111.46247170862368,3645.399806362246
11_16_2007_03,613.9897534393615,0.0,6118.720872751111,20.6740000408411,130.31582498580553,3.420824414108464
11_17_2007_20,1262.7534819975565,217.05400285600567,12279.189192293525,36.03219992036819,247.1498237519566,471.41406671773495
11_19_2007_15,0.0,0.0,10362.078789922249,37.05220008010864,204.62180282894815,-1034.1616609639354
12_11_2007_21,0.0,0.0,4672.342814138201,27.852600054097174,178.11096630285954,-465.4531717507915
12_13_2007_10,0.0,0.0,8153.106615487753,9.867900044870376,85.73138243567469,-814.4533477244186
12_17_2007_20,252.69601174715615,306.8196472048481,3757.2181917333437,15.470000014495849,106.32015077906689,491.6766884913086
12_24_2007_21,370.1280134510905,2.868499051955815,6248.200177863515,20.7030999671936,133.49146032422914,-247.6200916281071
12_27_2007_17,5810.911203097786,963.6851952304611,7872.133403246676,24.20259991402626,166.7606237377939,6952.735859471418
