,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,1061.9496438594078,0.0,14396.442573657825,39.968400480151175,0.0,-377.6946135063747
02_04_2007_10,607.0593827668985,0.0,11241.102577175734,16.086699949502943,0.0,-517.0508749506749
02_08_2007_07,5803.073386420186,0.0,11498.152207311157,20.998999597430227,0.0,4653.25816568907
02_10_2007_02,779.0376529141844,0.005850169488581885,14126.06363584828,23.56739983141422,0.0,-633.5570103316667
02_21_2007_13,672.9125885844089,0.0,15009.297011193303,9.71089993596077,0.0,-828.0171125349214
02_24_2007_17,572.3165015159664,0.0,12113.371735605257,17.97130002260208,0.0,-639.0206720445594
02_28_2007_12,1128.8299727831165,0.0,12981.780389206813,41.172200100421904,0.0,-169.34806613756496
03_19_2007_14,0.0,0.0,18518.391099849796,3.3220998215675355,0.0,-1851.8391099849796
04_04_2007_12,4622.033217057204,1828.5073048344295,5410.035423174272,5.845799954533577,0.0,7738.044284408636
04_05_2007_09,1402.245355229153,0.0,10863.419540666311,29.838899986743925,0.0,315.90340116252173
04_10_2007_02,520.3673281112299,0.0,9653.19738199217,10.813100205659866,0.0,-444.9524100879871
04_27_2007_11,0.0,0.0,18687.275589188204,7.066300051212311,0.0,-1868.7275589188205
04_29_2007_02,1307.6999908195355,0.0,11098.484885077687,6.99169998049736,0.0,197.8515023117668
05_10_2007_22,803.1705519826202,0.0,11077.59874259687,26.016000451445578,0.0,-304.589322277067
05_22_2007_05,7547.640090290623,0.0,11621.664476196813,13.57429975450039,0.0,6385.473642670942
06_12_2007_23,467.7612315735748,0.0,6718.733485852332,20.380900071859358,0.0,-204.11211701165843
07_18_2007_12,6895.961343911423,1726.1745992657538,4662.439556253334,7.9743999111652375,0.0,9882.066586817597
07_23_2007_19,957.71058618301,0.0,11136.23888136665,24.829200284481047,0.0,-155.91330195365504
07_25_2007_01,6218.663568580318,450.0959978713881,9290.512741469749,15.66799995481968,0.0,6189.804290176119
07_27_2007_22,0.0,0.0,7026.413660267493,7.384300010204315,0.0,-702.6413660267493
07_31_2007_00,5533.123306785871,0.0,18922.79908282617,28.974199788570402,0.0,3640.843398503254
08_15_2007_13,383.3424593494341,0.0,4895.109642406715,6.376599954366684,0.0,-106.16850489123738
08_22_2007_08,0.0,14.729529235870089,3966.35124915334,10.736399980187416,0.0,-367.17606644359387
08_22_2007_21,675.498272604947,1836.6254414000405,3777.3357887126213,16.153400154709814,0.0,3971.0155765337663
08_30_2007_03,0.0,0.0,9649.567449117774,28.768100412487982,0.0,-964.9567449117775
08_30_2007_21,1564.4351950436983,427.5095729953919,10069.877815547941,22.063799964189528,0.0,1412.466559479688
09_26_2007_12,8858.164767993982,246.92744220613002,2594.9478031417425,14.804400073289871,0.0,9092.524872092066
11_12_2007_20,0.0,0.0,9078.35367547057,30.570300253033636,0.0,-907.835367547057
11_13_2007_14,3212.9388140014435,670.82937703082,3777.8804829249593,13.055600078701973,0.0,4176.809519770588
11_16_2007_03,1234.6563803957245,0.0,6916.461969988976,9.101199986338615,0.0,543.0101833968267
11_17_2007_20,1561.2052740161485,0.0,13215.137828335868,31.76419998884201,0.0,239.69149118256155
11_19_2007_15,236.79784090230078,0.0,12141.672300588032,5.456299977302551,0.0,-977.3693891565024
12_11_2007_21,472.39002789616166,0.0,5202.09638933571,25.180100010633467,0.0,-47.819611037409345
12_13_2007_10,209.6878815879914,0.0,9329.9206837692,8.225500004291534,0.0,-723.3041867889287
12_17_2007_20,252.74710297111966,328.6199395574466,3713.8013926772087,19.578100161552427,0.0,538.606842818292
12_24_2007_21,440.023803165024,2.8054674548920144,6294.151710105605,37.331800686120985,0.0,-183.78043293575257
12_27_2007_17,6235.754410610629,1026.0521162657503,7981.123478038462,16.946100028157232,0.0,7489.746295338284
