,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,6320.714968759744,0.0,0.0,1.3269170898437501,1219.1184439893702,6332.906153199638
02_04_2007_10,1350.6422871168545,0.0,8964.957815400243,1.3269170898437501,35.46809410209499,454.50118651785107
02_08_2007_07,8763.828626061953,318.54856221579155,0.0,1.3269170898437501,1507.1897462949908,9415.997647956487
02_10_2007_02,3599.9688002291546,0.0058501694529897175,6031.6013185822785,1.3269170898437501,36.84809707373927,2997.18884968057
02_21_2007_13,1936.1435358062115,0.0,0.0,1.3269170898437501,1249.978880781911,1948.6433246140307
02_24_2007_17,1774.9204011988882,0.0,8776.026703543563,1.3269170898437501,38.689931708061195,897.7046301616125
02_28_2007_12,2833.731152874374,0.0,0.0,1.3269170898437501,1604.655651782365,2849.7777093921977
03_19_2007_14,4620.012496128962,0.0,8522.316466949524,1.3269170898437501,38.598332984160606,3768.1668327638513
04_04_2007_12,4941.714436097891,1949.5778343745724,0.0,1.3269170898437501,1170.0226422650553,8852.570331269686
04_05_2007_09,2495.2678460592,0.0,8518.512336808215,1.3269170898437501,28.75680441748102,1643.7041804225532
04_10_2007_02,956.6937522249694,0.0,0.0,1.3269170898437501,1481.9895941518685,971.5136481664881
04_27_2007_11,5039.815666033107,0.0,7191.986700525991,1.3269170898437501,37.675131383608516,4320.993747294344
04_29_2007_02,2727.6206393562475,0.0,0.0,1.3269170898437501,1678.0174704776066,2744.4008140610235
05_10_2007_22,3052.822385148504,0.0,9289.00715803176,1.3269170898437501,52.144852015870796,2124.443117865487
05_22_2007_05,9903.282628915906,0.0,0.0,1.3269170898437501,1002.1564971594535,9913.3041938875
06_12_2007_23,0.0,0.0,9267.733072662779,1.3269170898437501,22.09003098936379,-926.5524069563843
07_18_2007_12,7687.454246264221,2000.9771955971878,0.0,1.3269170898437501,1851.3937937046003,11707.922575395643
07_23_2007_19,3546.335852842784,12.79344187988821,4379.902640509876,1.3269170898437501,38.936577403587066,3134.3218383256085
07_25_2007_01,8128.278198164198,639.512908803553,0.0,1.3269170898437501,1103.9866128504236,9418.343881899807
07_27_2007_22,0.0,0.0,6741.72835558763,1.3269170898437501,34.073112268435246,-673.8321044360787
07_31_2007_00,13377.663328908391,0.0,0.0,1.3269170898437501,1163.7112326922522,13389.300441235313
08_15_2007_13,247.652446874819,0.0,5657.96459813498,1.3269170898437501,28.087502203782478,-317.86313791664116
08_22_2007_08,84.51644289062004,23.239296197772607,0.0,1.3269170898437501,1095.3931222949054,141.9489665091143
08_22_2007_21,1378.4229829484827,1828.1888450903887,8858.03713205913,1.977909814888239,34.14222677633906,4149.338382191109
08_30_2007_03,925.1228565909198,0.0,0.0,1.3269170898437501,992.0593414524648,935.0434500054445
08_30_2007_21,3932.5699110984524,695.1102049308785,6330.569634143512,1.3269170898437501,25.557772554514976,4689.988935271403
09_26_2007_12,8985.569539749014,246.9274079508457,0.0,1.3269170898437501,1167.2657084961256,9491.097012735667
11_12_2007_20,39.52817037830469,0.0,7443.327576861582,1.3269170898437501,36.2589626554131,-704.4419976812994
11_13_2007_14,3371.069442019326,647.157719768825,0.0,1.3269170898437501,1097.613317377497,4676.361014730751
11_16_2007_03,1613.3532671396692,0.0,9825.463936596529,1.3269170898437501,39.17800141681543,631.1986534941844
11_17_2007_20,4923.4749306606745,0.0,0.0,1.3269170898437501,1062.2325333028336,4934.097255993703
11_19_2007_15,408.9306466413478,0.0,4083.0999865521126,1.3269170898437501,28.126047790896685,0.9019084640454424
12_11_2007_21,0.0,0.0,0.0,1.3269170898437501,1531.7430168832366,15.317430168832367
12_13_2007_10,214.58457942513022,0.0,4227.020085720325,1.3269170898437501,35.703796749139336,-207.760391179411
12_17_2007_20,362.18063947987844,496.0770331282472,0.0,1.3269170898437501,1143.9625425728473,1365.7743311621014
12_24_2007_21,413.9640710768017,2.7864520949088862,8269.500186523084,1.3269170898437501,40.79099692900659,-407.0051334163989
12_27_2007_17,8055.689621146032,1185.6219894843093,0.0,1.3269170898437501,1465.0008649335568,10441.583608763987
