,river,creek,wwtp,setting,controlled
01_25_2007_13,35.15303048404985,189.08565829622773,15185.292010241452,120.811,733.4586479916588
02_04_2007_10,0.0,10.130077149659469,10837.965766094976,119.33709999999999,507.46704214629574
02_08_2007_07,4249.405978671923,655.6574752347691,11762.7044483538,99.9704,671.983186846433
02_10_2007_02,311.1631028440281,273.952644841584,13644.834984822071,182.5904,646.7949806155634
02_21_2007_13,0.0,30.80498850476068,14837.240699758138,173.9921,573.926223711623
02_24_2007_17,4.258528648796922,0.0,11765.66340371956,161.1474,566.9002384227208
02_28_2007_12,882.3009246797251,19.316559572188623,14150.477016786994,107.95139999999999,609.305031786148
03_19_2007_14,0.0,11.860236410695705,17705.953446864216,233.92879999999997,584.9235812748666
04_04_2007_12,4661.210658117295,2467.5442030456948,5416.825303653967,65.6249,317.14747832942794
04_05_2007_09,61.0746408773414,6.186309967998963,10759.852260681375,106.04149999999998,524.9500422428837
04_10_2007_02,0.5270981600057341,8.247183450721074,9394.28256137872,139.6696,525.3212988103678
04_27_2007_11,0.0,8.522086058912285,17800.69960208405,288.14019999999994,847.1683576035434
04_29_2007_02,1.3099861150745267,0.0,10850.417908555146,168.7124,606.0724616355214
05_10_2007_22,142.94913378143636,215.3077543329589,11105.878641810266,141.25150000000002,438.57382067429444
05_22_2007_05,6338.981316378204,1052.6957375441307,11493.253546936427,131.51299999999998,648.3187225981292
06_12_2007_23,0.0,22.8297647226101,6555.660443600446,87.3613,355.046299279415
07_18_2007_12,6075.17182378623,2429.4694961849427,4650.390291051061,54.6848,372.77514781492124
07_23_2007_19,340.7783347706958,378.3698224275722,11452.172766732874,80.6156,416.8179865325005
07_25_2007_01,5176.232513510016,1014.7425633318863,9277.131139943705,84.137,540.2855311912629
07_27_2007_22,0.0,1.3596347253964391,6823.8013497574,132.7628,357.6601611537384
07_31_2007_00,5073.75634070587,550.5022312697728,18695.91904996716,177.45780000000002,704.7448832726595
08_15_2007_13,374.9896780358748,136.08658354712986,4835.052299570751,67.9723,286.85355171194664
08_22_2007_08,0.0,116.57510652379304,4065.61871108342,51.7411,237.35968523979116
08_22_2007_21,413.48229644886925,2398.93651904853,3760.5803142476407,33.3625,209.2856205403774
08_30_2007_03,15.118432733181237,1.561244966356021,10710.551892929447,102.66399999999999,364.4111915230707
08_30_2007_21,1087.2841249870953,736.8557577147486,10004.611300481552,98.026,510.98543421188765
09_26_2007_12,8997.021875582785,296.1674800386948,2596.153692324818,27.732699999999998,186.83997424887207
11_12_2007_20,0.0,7.464742929432408,9084.702303092867,104.6593,409.6269506446191
11_13_2007_14,3071.393190300455,822.547066365873,3879.5676974023027,36.8967,270.02876469571163
11_16_2007_03,508.3726335894248,231.28020114352194,6624.2408379658245,90.77680000000001,313.43241566293193
11_17_2007_20,336.4308155677341,824.7764983218642,13026.382486297267,124.07919999999999,649.5308835690303
11_19_2007_15,0.0,0.0,11540.713358114144,160.2361,430.2491486484748
12_11_2007_21,0.0,0.0,5163.697022551908,73.9052,303.304854899769
12_13_2007_10,0.0,1.5124200694509669,9001.45273492788,128.85719999999998,490.0045742236084
12_17_2007_20,252.74277818152444,501.39795465627253,3906.7917765387947,53.873400000000004,332.76540608464745
12_24_2007_21,295.6429683932838,2.8054780945120172,6799.7264684311,41.5411,258.1614403088155
12_27_2007_17,4995.888422760383,1599.16293910372,7922.3077442593285,71.2608,382.4161915645486
