,river,creek,wwtp,setting,controlled
01_03_2008_17,2133.547944445687,663.3831601404202,9629.596067985201,45.3495,290.2672061414577
01_25_2007_13,540.496276626134,149.62460943832733,14051.97544122448,60.249900000000004,463.694870937696
02_04_2007_10,0.0,0.0,10174.432595804496,27.4531,161.41236590139943
02_08_2007_07,3978.0867738319052,1217.2898803044807,11569.839521763626,74.1002,396.73175609015755
02_10_2007_02,368.64477497411406,18.947605769075334,12671.298122921104,47.447500000000005,238.21350038994066
02_21_2007_13,0.0,0.0,14031.300827178184,32.9423,151.5445714734296
02_24_2007_17,0.0,0.0,11022.338901099216,32.011700000000005,131.67205743540163
02_28_2007_12,1241.7064281678834,122.43219553667342,13166.442601097911,53.0291,402.5501694828873
03_19_2007_14,0.0,0.0,16597.295251183317,33.2964,128.542480456941
04_04_2007_12,4940.71794820699,2150.5769783299356,5137.095130755016,47.48610000000001,324.1254196105971
04_05_2007_09,67.43515572727294,12.142754434527703,10339.044424287149,31.1939,182.25072685345197
04_10_2007_02,0.0,0.0,8796.088402748874,24.3616,102.18111882500817
04_27_2007_11,0.0,0.0,17224.59631670868,44.999700000000004,176.9987207112866
04_29_2007_02,0.0,3.3596764958788334,9779.092919434135,27.281099999999995,114.49418911123362
05_10_2007_22,196.3702923140545,58.732471261585594,10508.282934818584,48.742999999999995,221.2535701461446
05_22_2007_05,5912.867503171369,1457.178949110062,11321.459480787013,62.1547,410.8092189075587
06_12_2007_23,0.0,0.0,6340.145244973783,26.455799999999996,105.56348616962296
07_18_2007_12,6075.557451155488,2511.305923575113,4632.800250741717,37.7987,301.97777009461123
07_23_2007_19,495.45098410849755,330.2227330756797,10513.036074965083,50.0175,325.7327261333255
07_25_2007_01,4883.166611722709,1600.601941154811,9167.056715988683,71.82979999999999,555.7547394774233
07_27_2007_22,0.0,0.0,6385.013207253352,26.5441,98.33941688519053
07_31_2007_00,5175.533554182772,1124.2316121226197,18109.576552436778,101.17150000000001,666.9512357338187
08_15_2007_13,648.8855376843453,29.09733522827509,4696.666283001795,30.07,155.91560401307186
08_22_2007_08,33.6748807653693,138.23683673320485,3887.7476363014794,36.53489999999999,191.2269152319127
08_22_2007_21,676.1697010513601,2256.2141092728343,3658.079812153652,29.2964,193.1896677017818
08_30_2007_03,15.49092909724991,0.0,9832.81873027779,34.0236,159.059827827349
08_30_2007_21,1341.8610200092141,873.2376103519885,9593.275824551072,44.457300000000004,305.6057374841699
09_26_2007_12,9068.621718251394,412.87503421156117,2578.924479418249,31.3875,212.9759792267983
11_12_2007_20,0.0,0.0,8880.338209373882,34.5762,165.80546724900938
11_13_2007_14,3217.915994565974,797.36831855654,3877.978667938619,47.8975,274.12016231795127
11_16_2007_03,507.1073234438944,46.27145863600051,6330.359336753823,32.9315,161.43413184293024
11_17_2007_20,552.2196202362474,212.01230130171092,12736.96640947389,61.759100000000004,330.7344263807415
11_19_2007_15,0.0,0.0,11117.182345740392,34.0281,118.56561467820907
12_11_2007_21,0.0,0.0,4798.745213570913,28.3189,115.80894023974662
12_13_2007_10,0.0,0.0,8453.547767026927,24.443399999999997,137.86295308689765
12_17_2007_20,296.3426012413256,528.3931223422792,3848.604612052026,22.710099999999997,149.16949027045962
12_24_2007_21,296.5957503950363,25.20009652223397,6267.458163002005,30.1952,206.91034407618474
12_27_2007_17,5268.367030791062,1495.226713562989,7581.408931353024,68.3861,485.1929185754442
