,river,creek,wwtp,setting
01_25_2007_13,896.2079306735518,0.0,15343.557537943536,973.014269826168
02_04_2007_10,19.628494550756542,0.0,10919.937176742082,307.0843043756165
02_08_2007_07,5717.059771813635,25.244590168902985,11818.999270907747,538.3441259933319
02_10_2007_02,398.9205506133144,0.005850169490160802,14212.054506745684,430.0865220471809
02_21_2007_13,16.68811705230761,80.30688217278365,14884.915210027473,312.74303156739074
02_24_2007_17,34.99732027714398,0.0,11980.959895388633,265.13490743719774
02_28_2007_12,1290.055767795589,0.0,14188.075334597705,730.9696396102936
03_19_2007_14,0.0,0.0,18562.848556979498,163.85209831890324
04_04_2007_12,5337.793203097357,1863.3211046566544,5560.152546847172,416.16097102228076
04_05_2007_09,384.6875855682248,0.0,10947.715377525474,572.8376944934791
04_10_2007_02,23.87217615708777,1.766892227100677,9422.988285205725,221.19411085228123
04_27_2007_11,0.0,67.362828364561,18120.709106885697,279.2889784718952
04_29_2007_02,79.81365342211053,0.0,10892.493569022883,403.80565903070146
05_10_2007_22,368.86192705047466,0.0,11103.315902099715,551.9892227351521
05_22_2007_05,7578.2606220559655,152.39275362990634,11637.314720318875,561.6947986570832
06_12_2007_23,17.13200849458437,0.0,6481.980450059016,252.96606634920005
07_18_2007_12,7172.145972984353,1658.723961024298,4712.532597684453,364.71275479717656
07_23_2007_19,721.4497487027086,0.0,11554.080066263654,757.4649109931058
07_25_2007_01,6293.899015720198,338.4184828682529,9359.886309309657,735.0533147259318
07_27_2007_22,0.0,0.0,6969.286615900426,135.18963346147547
07_31_2007_00,7000.66289554842,12.229314920714046,18723.78434161368,843.5707464085558
08_15_2007_13,485.7227828776227,0.0,4954.053399985837,223.30398911653432
08_22_2007_08,75.07856646466303,0.004609289538003688,4189.886648700062,254.59188793150292
08_22_2007_21,1063.019310381951,1761.8202151792805,3807.8891385705056,279.1071924010002
08_30_2007_03,148.35057020268604,0.0,10792.344811047213,362.0590639748093
08_30_2007_21,2044.9186253229768,405.27215164869307,10117.828215672673,660.9559102126991
09_26_2007_12,9101.087713683952,246.92703113708427,2596.087327594308,318.35218862778413
11_12_2007_20,6.7505813249747675,0.0,9330.44201866981,257.6877299855938
11_13_2007_14,3213.989905198295,590.7911169886651,3903.746006520006,349.18235130503064
11_16_2007_03,709.7878706821093,0.0,6891.344214241422,287.99652730066765
11_17_2007_20,502.7661824014021,0.0,12886.026340074382,548.870259412045
11_19_2007_15,17.7547313662123,0.0,12007.898186162869,183.94093277413845
12_11_2007_21,7.454718966224011,0.0,5187.469904122073,208.37281202054754
12_13_2007_10,3.064818974035674,0.0,9163.338201611557,225.1945401554946
12_17_2007_20,413.3411205874101,325.82767115957034,3945.797864462037,343.67486961522036
12_24_2007_21,763.5422963147194,2.8054827082341065,6819.8282590595945,461.0002619915117
12_27_2007_17,6082.708271859433,1057.835793003248,7966.370368778518,618.4929030046892
