,river,creek,wwtp,setting,controlled
01_25_2007_13,512.8424215816557,19.894773729645397,15257.096161383446,51.9623,386.1154965379169
02_04_2007_10,23.090721190818254,0.0,11163.03637988128,27.9917,171.60103971971733
02_08_2007_07,3929.730723936119,968.3372299792838,11837.885119791199,58.370999999999995,392.29999823996155
02_10_2007_02,393.7052331149924,0.005850169489726268,14125.511054685641,42.8782,188.2050665880657
02_21_2007_13,7.75958715992247,0.0,15190.283767372268,36.4924,164.46561233277328
02_24_2007_17,0.0,0.0,11984.043821482606,26.231799999999996,119.74975748360293
02_28_2007_12,987.8359599802385,0.0,14273.844784867724,50.877300000000005,356.32493269735505
03_19_2007_14,0.0,0.0,18251.286330085448,31.76,98.84458690661313
04_04_2007_12,4898.687573096051,2018.5226860166053,5449.054753573176,29.005499999999998,176.87207743359954
04_05_2007_09,81.78502381094899,0.0,10856.988450678542,41.766099999999994,263.83028360004613
04_10_2007_02,13.870351163394815,0.0,9540.537464576628,30.7744,124.22323154420044
04_27_2007_11,0.0,0.0,18476.13470094904,20.4315,104.24924687450984
04_29_2007_02,19.400596893903,0.0,10954.835737213376,39.5209,175.89204502666993
05_10_2007_22,218.69234637525264,0.0,11178.627791756353,48.682900000000004,224.54219103317368
05_22_2007_05,6256.800299191911,898.6447660298311,11572.051353616007,59.23769999999999,390.61597179030605
06_12_2007_23,0.0,0.0,6664.645322007242,29.973499999999998,117.95264526509105
07_18_2007_12,6320.9746334279835,2136.513793483572,4675.027193892467,39.0101,295.21180141172107
07_23_2007_19,475.35695171391995,107.75783816690712,11513.842153300051,35.823499999999996,222.7904103821591
07_25_2007_01,5371.42873095165,774.9597924663569,9337.695456101646,58.045500000000004,414.79511230460577
07_27_2007_22,0.0,0.0,6903.312980680937,20.0853,86.76629958632883
07_31_2007_00,5589.1162392156575,221.70125205556772,18756.34623990943,96.33519999999999,494.6285130905047
08_15_2007_13,422.9880906806604,0.0,4920.780707524118,18.3861,125.05904814451242
08_22_2007_08,70.73102676203328,0.004604407161435779,4127.90109753099,17.736999999999995,90.93935305480755
08_22_2007_21,437.86009606453655,1987.0030235701622,3786.817902958682,18.711199999999998,105.05934418977017
08_30_2007_03,90.3461279383873,0.0,10945.401229316998,41.9263,188.94706072259982
08_30_2007_21,1300.4167815536812,637.8277109159044,10046.367077801622,42.8501,282.8708367865232
09_26_2007_12,8821.013053356615,246.9273150833515,2599.9099924164716,24.278,152.93709703596397
11_12_2007_20,4.527866593669961,0.0,9442.336713865203,26.2419,134.3546718609479
11_13_2007_14,3065.6977010547516,671.6724327390297,3904.013096546806,41.1387,171.3426216506716
11_16_2007_03,656.4178285324913,0.0,6776.00843767874,30.938499999999998,143.66146766728525
11_17_2007_20,548.2796861842072,125.05792763371801,13280.74096541301,63.7773,351.02449715192085
11_19_2007_15,0.0,0.0,12082.198922809834,32.932599999999994,122.99264076249848
12_11_2007_21,5.401155767308552,0.0,5230.072386014585,27.659299999999995,144.8271292866505
12_13_2007_10,0.0,0.0,9263.315058352031,25.903499999999998,137.74096824518486
12_17_2007_20,290.86996771355916,446.48796510410557,3980.98901130254,26.4691,163.11996008840177
12_24_2007_21,344.91662428017014,2.80546215207544,6827.134538388036,36.815200000000004,225.9562109702557
12_27_2007_17,5392.583709120055,1217.3079156576841,7974.061739912611,47.877,316.6075860385736
