,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,1399.3454906327813,0.0,13996.8027857246,83.98141166529459,1437.6059788942703,14.041271849263913
02_04_2007_10,0.0,4.601322198557105,9371.734960422156,67.97439477008842,860.0212067772454,-919.370639577329
02_08_2007_07,5752.7847183351005,53.03049559653399,11519.737600397048,38.717938174715236,1147.025515761393,4718.342204646077
02_10_2007_02,198.91079335061704,0.0,12148.695106859008,120.2962310961648,1213.825865318807,-1003.8204586820958
02_21_2007_13,0.0,0.0,12977.03911076906,124.17498727944565,852.5893768122594,-1289.1780173087834
02_24_2007_17,0.0,0.0,10739.265180818991,124.62348922147093,1358.5385729057623,-1060.3411323528414
02_28_2007_12,1155.889113593623,0.0,12147.804940661223,54.545648156856416,875.535141327963,-50.13602905921972
03_19_2007_14,0.0,0.0,14993.809889232232,150.8561929313773,1370.3503572644022,-1485.6774853505794
04_04_2007_12,5054.519116534508,2058.1942175277436,5254.680613037894,59.24947679906193,717.2937041638339,8652.612427327844
04_05_2007_09,149.45740510349273,0.0,9460.873697973848,68.13832894160694,1119.0602443157431,-785.4393622507346
04_10_2007_02,0.0,0.0,8553.35907135253,91.89978611593045,1060.0853792632163,-844.7350533426209
04_27_2007_11,0.0,0.0,15915.61197218062,212.55930891499466,1152.4557699732923,-1580.0366395183294
04_29_2007_02,0.0,0.0,9797.210190358614,97.33340167233325,1085.2137815871256,-968.8688812199902
05_10_2007_22,24.206467869991222,91.4353234463423,10454.81670710453,108.52690068701938,705.86269512234,-831.3459289965539
05_22_2007_05,7919.968528333246,146.089921179244,11264.111673435511,68.76334297231611,1021.5068542392196,7095.952271890575
06_12_2007_23,0.0,0.0,5594.329763234383,58.06065478422066,614.1180213806558,-553.2917961096317
07_18_2007_12,6969.5614363188415,1840.8732693895022,4642.609552375506,31.83640750180957,573.8651867646788,10192.785671727943
07_23_2007_19,611.9977933732473,235.754244756159,10925.105312045476,59.36513436532948,653.5208582430985,-2.4690397365515055
07_25_2007_01,6035.513893948136,768.9146637957284,9252.971966285244,51.29185873493888,1141.672183437074,6659.462746745438
07_27_2007_22,0.0,0.0,5871.294165366879,92.05208745432478,671.6173049071474,-580.4132434876165
07_31_2007_00,7325.33527244128,0.0,17753.35941533636,122.68816536218549,2065.7006578354403,5570.656337485998
08_15_2007_13,409.7188021929029,0.0,4707.974095779146,49.22507172449996,527.7489806985707,-55.80111757802606
08_22_2007_08,0.0,0.0,3791.817369970492,38.756603173332984,384.0695378167941,-375.3410416188813
08_22_2007_21,780.5321363815242,2042.204495406372,3739.460632363228,34.35450166949887,436.3017345371809,4495.358081303318
08_30_2007_03,0.0,0.0,9676.0541297293,79.2799779037025,708.4378157905998,-960.521034815024
08_30_2007_21,2188.855859898372,407.4726126465299,9674.646954762802,64.09145827967384,932.0098062716734,2045.6564877778678
09_26_2007_12,8856.22683379673,308.7592773003214,2594.6588996792807,21.5828250712629,339.5196933069785,9217.674695362515
11_12_2007_20,0.0,0.0,7701.150573125428,55.58088902794261,677.8933975216627,-763.3361233373262
11_13_2007_14,3175.7102656441534,897.910393495344,3847.584456699633,44.758496270123786,612.7232943519107,4592.899839908397
11_16_2007_03,623.4776330308617,0.0,6140.413822914832,51.561560275968596,617.8905513271233,15.615156252649697
11_17_2007_20,1010.4354985996099,118.78274162557257,11984.112348899154,99.4554795959681,1178.7516598920681,61.37726355976033
11_19_2007_15,0.0,0.0,9978.547400731335,100.15819941632218,809.8420084317324,-989.7563199888162
12_11_2007_21,0.0,0.0,4404.290779452366,40.837669687847864,427.3497404960493,-436.15558054027616
12_13_2007_10,0.0,0.0,8119.008250908553,69.22987652999032,576.5635469794037,-806.1351896210614
12_17_2007_20,252.7591298475232,494.9588230885912,3600.7845376359533,21.432110454226276,299.1320663282862,885.589642924393
12_24_2007_21,449.5689679981669,2.9059256692234317,6246.863030410815,39.15280373961718,566.477647745852,-163.64070722700922
12_27_2007_17,5923.008417292033,1106.9222663358269,7936.41632342534,55.87164142732347,785.2174401282092,7351.063492022436
