,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,722.7399797923358,57.347895564441004,13709.25342115806,140.50120574155213,742.0645502055127,-526.0689256925333
02_04_2007_10,0.0,151.72993220391632,10686.34227138021,142.39371665346403,692.0684813494879,-758.2536779166936
02_08_2007_07,6107.478048526304,67.1702737910515,10793.759768684273,64.27609428436445,431.64070984824036,5166.759026338461
02_10_2007_02,375.7858145562875,0.005850169490334982,13542.499883483686,160.48872490998284,718.2548169772917,-971.2699252833277
02_21_2007_13,0.0,117.94390996657317,14639.037754282976,158.62182250138346,717.8708912886877,-1220.8372465822645
02_24_2007_17,0.0,87.03118057041289,11696.566761599235,114.55153652725633,448.4148618630892,-991.1101664004669
02_28_2007_12,851.3041781659567,0.0,13445.821195905593,170.21574899539172,916.597356340536,-484.1119678611973
03_19_2007_14,0.0,0.0,17856.613759694235,157.09769517083504,562.2976036452601,-1780.038399932971
04_04_2007_12,4980.383512319235,2130.253006502445,5210.026053362422,118.10686248540563,555.3166942641244,8725.440086930525
04_05_2007_09,0.0,165.7676525358979,10019.86596093401,139.23662201154426,636.8285948149256,-664.0830050734561
04_10_2007_02,0.0,484.33471288403905,9141.775548505597,68.7702598436648,255.57556197403395,57.047626537258665
04_27_2007_11,0.0,0.0,18522.6343565386,356.9845280911742,1142.941572875021,-1840.83401992511
04_29_2007_02,0.0,170.756597808985,10202.66244084615,249.87612808047976,877.0461236132656,-669.9825872305125
05_10_2007_22,75.43407197028972,0.0,10407.475447109178,210.73236051639014,756.0967063511499,-957.7525056771167
05_22_2007_05,7172.8951174043905,540.5863968871652,11135.963311312957,182.49965325202515,688.8270729109486,7147.3598507765355
06_12_2007_23,0.0,182.8278921453009,6212.484718088284,61.97220699134442,209.82222452967622,-253.49446527292997
07_18_2007_12,6595.039917468292,2060.5110437827057,4561.546767392978,57.712534785882234,347.1740371781583,10263.379068666187
07_23_2007_19,330.62635347425953,96.03133400257691,10381.427897994332,117.01363847461215,550.0129509997329,-509.95363881002265
07_25_2007_01,6044.292252829982,623.9052072364182,9005.077338999305,74.61764363598554,419.2164815993644,6395.7870982188815
07_27_2007_22,0.0,0.0,6686.984114365348,150.7972241285068,475.2398165349975,-663.9460132711849
07_31_2007_00,5059.870959696773,590.6330962879456,18409.866131191106,262.2662499746048,1019.1077411845731,4410.3416165654
08_15_2007_13,368.3910309403777,0.0,4710.7378781988855,103.21110801290337,379.2834270484077,-98.88992260902684
08_22_2007_08,0.0,0.004599016032566093,3769.5110641595616,117.4014500093627,505.90212754030296,-371.88288710848803
08_22_2007_21,614.513337993947,1807.877928336713,3728.5254951457146,54.51813277116587,367.15914598604854,3861.088236612662
08_30_2007_03,31.412148736027515,0.0,10147.298464390535,65.50445154008936,317.27330202186624,-980.1449646828074
08_30_2007_21,1499.640956855946,769.8806303207657,9291.924808763733,93.6425983580658,497.050194788178,2115.1802385689857
09_26_2007_12,8964.469564131809,246.92759074398361,2576.431345812418,25.50854862911563,183.54702790259276,9202.51708131756
11_12_2007_20,0.0,18.865212200729413,8955.645379512924,59.264828395142814,306.36611425641973,-854.7704524072694
11_13_2007_14,3234.286099311532,471.66212895752585,3829.6352995106604,50.31907613368242,243.2120114413936,3797.0789473899317
11_16_2007_03,584.6469793788879,104.59632560699087,6482.803940154526,138.87173936530291,546.6316743690252,151.02555332110722
11_17_2007_20,392.5715466296042,327.0064129288523,12327.11303769737,121.26346516283112,579.9436751559803,-180.32749453086856
11_19_2007_15,0.0,0.0,11877.922449415613,144.57541631102686,492.2055921820056,-1182.8701890197415
12_11_2007_21,0.0,0.0,4922.765758966269,76.00918640968555,365.6281050429926,-488.62029484619694
12_13_2007_10,0.0,0.0,8923.330049636172,112.72464072684522,461.04820743098026,-887.7225228893074
12_17_2007_20,252.74751952835206,448.1542496607093,3857.9975717888074,33.23849072743689,245.05738514696628,765.7068355223596
12_24_2007_21,415.34753307942043,2.8054821775430643,6234.7601915369505,49.647336190526644,352.8191151624483,-198.98933056756408
12_27_2007_17,5584.460995460655,1232.0189533101063,7689.751195184412,113.56392061711276,615.408826069923,7285.677870823126
