,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,1001.4652567804233,22.625084232564912,14551.09521450403,258.70950087325707,1212.9216296520253,-396.26487990832976
02_04_2007_10,0.0,0.0,9271.10939044992,181.89931307846837,732.2647770339274,-919.7882912746527
02_08_2007_07,4752.299708344453,825.9632538497658,11536.276252038784,109.0954805371116,529.4686811712005,5255.893277651819
02_10_2007_02,304.9376657308541,0.005850169500218113,12218.373934040364,287.71583198610136,1009.1956987522512,-906.7960703466595
02_21_2007_13,0.0,0.0,12306.052606331634,254.69833821533368,872.5872339236822,-1221.8793882939267
02_24_2007_17,0.0,0.0,10608.793136365464,252.38910051979175,792.5096594196626,-1052.9542170423497
02_28_2007_12,1130.9239555257686,192.0397941076211,12934.953611189545,213.08256997594353,1021.9996064836937,231.72817868689316
03_19_2007_14,1337.749275494056,0.0,14205.086319898943,376.20214968167033,996.0549046736577,-72.79880744910177
04_04_2007_12,4992.203956341484,1908.1964523145514,5233.868384931493,106.88299533753914,477.916497063014,8289.989187448067
04_05_2007_09,61.63846891582799,0.0,10155.33605117833,215.4485669294619,906.0933115970088,-944.834203086035
04_10_2007_02,0.0,63.24435685611319,8161.745820233783,185.61827933432858,613.9315437776997,-683.5465528733749
04_27_2007_11,887.0291935309027,0.0,14808.789900085281,482.96091010996656,1388.1716792729912,-579.9680796848957
04_29_2007_02,38.00021331640615,0.0,10151.572336967582,288.66708085393725,1022.3785700836552,-966.9332346795155
05_10_2007_22,15.371451206491312,64.49244236956613,10619.307013221694,259.2277029454312,887.1169639612206,-908.7031957369336
05_22_2007_05,7110.552560167545,786.2894314702947,11296.566306107072,196.22289171281176,782.8744009366127,7561.3035365067935
06_12_2007_23,0.0,2.5894603501044644,5659.666860037489,122.81324325014273,463.3504991790919,-556.1542603117491
07_18_2007_12,6848.145033498256,1746.3608188709172,4638.603123452001,69.36249798007323,344.2229241883917,9880.448588136776
07_23_2007_19,552.5683709300478,0.0,11145.87655394272,181.59385131691107,828.858146535328,-553.730702998871
07_25_2007_01,5731.096522239544,867.3952919443783,9215.313239394081,91.79877961321247,497.2090009420099,6549.327872198312
07_27_2007_22,0.0,0.0,6130.945419441529,188.5635533624701,514.466525212911,-607.9498766920238
07_31_2007_00,5913.783717984631,849.2391703966448,17979.20546113143,286.92554396099183,1060.270403420013,5824.9442166989775
08_15_2007_13,376.90551821500736,0.0,4728.263220293456,113.56715279412418,409.43295045270236,-91.8264743098112
08_22_2007_08,0.0,0.0046059381773354635,3748.8404490863604,88.64947700372917,339.41566327513897,-371.48067639952995
08_22_2007_21,792.7289452814794,1840.7900890160995,3796.230597629061,65.49077889683699,442.24854315637504,4099.108548982336
08_30_2007_03,0.0,0.0,9530.093017799585,198.72884983353026,687.1113185905834,-946.1381885940527
08_30_2007_21,1731.946332192256,651.4290253446417,9707.961572686449,146.4245108304621,733.2148560451975,2071.3403741733464
09_26_2007_12,8813.715421478986,355.4027140941963,2605.6438859001605,35.465801833955,238.06147934589393,9266.337075870822
11_12_2007_20,0.0,0.0,7796.455873542993,145.19340480503826,585.3798458673734,-773.7917888956256
11_13_2007_14,3148.9310496521193,657.1789663943265,3880.8354748925663,55.54919081092964,332.5863152795001,4078.5312981043107
11_16_2007_03,586.6337588404584,0.0,6097.5140330537515,168.22075740604282,566.046543760113,-17.457179027315664
11_17_2007_20,1127.9363727642228,290.9434274832318,12001.567738404729,222.52018421376926,961.8572407722979,519.2850262979366
11_19_2007_15,0.0,0.0,9814.882508620094,251.41970085661347,773.5892481538317,-973.752358380471
12_11_2007_21,0.0,0.0,4483.801176334658,95.00464139185283,373.2093431385018,-444.64802420208076
12_13_2007_10,0.0,0.0,7797.504612159004,184.62717683984306,603.1738395136192,-773.7187228207642
12_17_2007_20,252.74190407602293,442.22874672505617,3749.6112534114354,64.72981302629569,347.30697394511634,765.7113419244429
12_24_2007_21,442.92202293636615,2.8054008857237958,6211.160015920834,93.7700941828785,464.2238675377417,-167.94093820889225
12_27_2007_17,5654.738045899692,1200.9197220284752,7907.5457700573925,107.40214286325937,581.4074758537029,7271.636987709439
