,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,597.41739752314,5.122474772593342,14919.594002930728,185.5640071934231,1145.8917744373548,-872.8381354803724
02_04_2007_10,0.0,0.0,10287.369056723956,181.83833994858088,925.259203515222,-1019.4843136372433
02_08_2007_07,4335.495901021709,567.2418846544989,11789.123719951454,105.10461128449414,706.7655803825521,4298.1349541393865
02_10_2007_02,354.90120419450255,0.005850169490633167,13284.972027427491,232.1525405799183,1012.6350279019026,-963.4579479302465
02_21_2007_13,0.0,0.0,14323.26358076605,255.88156867863097,1096.712608687446,-1421.3592319897307
02_24_2007_17,0.0,0.0,11236.688949446714,209.8382379975232,906.4831430788885,-1114.6040635138825
02_28_2007_12,868.3980019680394,0.0,13819.298607334305,181.15857336996555,1071.865324659149,-502.81320551879975
03_19_2007_14,0.0,0.0,16926.268942822735,337.95632052253677,1326.2266612482906,-1679.3646276697905
04_04_2007_12,4921.680325906011,2000.0853536989796,5294.535987921146,85.3091040209678,445.6505109418893,8396.853939621275
04_05_2007_09,0.0,0.0,10463.420999551461,169.81086260744377,929.7662048398084,-1037.044437906748
04_10_2007_02,0.0,0.0,8911.586507401711,174.07884306792667,805.2979363820084,-883.1056713763511
04_27_2007_11,0.0,0.0,17158.111123176855,410.4652844635806,1564.5308008870606,-1700.165804308815
04_29_2007_02,0.0,0.0,10376.842867399424,223.95941650619147,944.4092140111894,-1028.2401945998306
05_10_2007_22,9.828456684987238,0.0,10745.269051161833,206.44127761151609,826.948247837929,-1056.4289659528167
05_22_2007_05,6090.816200399633,1301.3902250160656,11323.308822765031,152.33807456239828,823.6916350364293,7569.502684505625
06_12_2007_23,0.0,0.0,6308.539077088351,120.94063733591399,517.8880733163192,-625.675026975672
07_18_2007_12,6161.430654927504,2309.0302672423873,4645.85818154447,62.03727973548156,421.81971657317945,10319.123568423563
07_23_2007_19,359.2106309511959,0.0,11328.268837982008,132.50172143907315,772.6458704830401,-765.8897941421745
07_25_2007_01,5279.944198774954,995.2600731470955,9298.330208097486,110.69515643649225,753.2276577835834,6348.1636008372325
07_27_2007_22,0.0,0.0,6390.013210752657,162.95018500725823,536.4958525641227,-633.6363625496246
07_31_2007_00,5629.803648505082,429.90760089018937,18223.959564166424,246.110275754599,1176.6873809424585,4678.989767678242
08_15_2007_13,315.2843104128551,0.0,4714.343983504868,74.15693850757951,345.206375220949,-152.69802418542224
08_22_2007_08,0.0,0.004600129187037761,3919.0907819351796,81.73064821632755,383.8383558936214,-388.06149437620775
08_22_2007_21,456.45384337383757,1760.3606131533877,3787.409884058204,42.49455666707264,284.01835640252614,3601.2742648388175
08_30_2007_03,0.0,0.0,10374.717366890509,156.90179134280442,764.5645513842235,-1029.8260911752086
08_30_2007_21,1453.9125978247107,483.6024066131118,9860.826630440024,110.56722522405397,661.2825189192811,1441.6475731961245
09_26_2007_12,8971.213846160193,246.9273622863251,2602.6222071926923,45.650637478932765,299.54412697958367,9207.80179128337
11_12_2007_20,0.0,0.0,8822.928348294117,147.13278512354862,706.7989945477289,-875.2248448839345
11_13_2007_14,3072.8300282379455,532.3372220859591,3908.378959868739,54.94902509777202,281.23193705482083,3749.4788957935375
11_16_2007_03,528.1134450591338,0.0,6322.13684263192,115.52990872282001,479.83863753248085,-99.3018528287335
11_17_2007_20,374.4721494886356,40.043908710642924,12764.606486708237,187.057691793682,959.3251471491665,-812.3074302894107
11_19_2007_15,0.0,0.0,11277.323744939411,227.14439876600798,848.6073360381384,-1119.2463011335597
12_11_2007_21,0.0,0.0,4984.957988442713,97.07732005557324,457.46163970836085,-493.92118244718773
12_13_2007_10,0.0,0.0,8495.395058549471,161.5005042841767,706.6437621104992,-842.4730682338421
12_17_2007_20,260.5652730231754,340.02297085848704,3907.315540216202,52.8050613036669,335.6195758588977,553.2358564771183
12_24_2007_21,318.58755792101226,2.8054606591841478,6711.2935631813925,84.62499992468594,549.3516959057645,-341.4373601197011
12_27_2007_17,5401.049822551025,1172.596851330485,7920.309134528071,102.9015085607904,671.0356848031405,6960.9229686072185
