,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,639.6034964442005,12.64309416357385,14812.550590554243,204.23386208657695,1255.456668692782,-803.8108075971485
02_04_2007_10,0.0,0.0,10340.883201341238,180.22065539441095,928.1571678266391,-1024.8067484558574
02_08_2007_07,4894.216524174058,13.95488876730885,11825.493092265788,110.3911341478618,732.7841692251709,3746.9048341743487
02_10_2007_02,304.9490321417552,0.005850169491123265,13132.770221940304,226.75310691777287,1022.4106028011338,-998.0921836852817
02_21_2007_13,0.0,0.0,14330.770210349596,253.16447701202884,1064.9332243157583,-1422.427688791802
02_24_2007_17,0.0,0.0,11140.529483598286,216.91630633003828,947.0767479703866,-1104.5821808801247
02_28_2007_12,860.3423216621118,0.0,13858.2530981791,188.84994714575527,1092.8957199555368,-514.5540309562431
03_19_2007_14,0.0,0.0,16838.645610767766,331.828250111554,1230.8256917541198,-1671.5563041592354
04_04_2007_12,4909.965652002915,1948.7448954301622,5310.149906082267,90.3739070577347,449.7635704003492,8280.938087959017
04_05_2007_09,0.3271998924313256,14.565792304150165,10409.308921110913,165.47908797445092,932.1410292637142,-1002.1506973177225
04_10_2007_02,0.0,0.0,8866.95561096904,169.8497929209505,778.2321653180916,-878.9132394437231
04_27_2007_11,0.0,0.0,17197.494498536416,409.6373520575495,1578.2083573496843,-1703.9673662801447
04_29_2007_02,0.0,0.0,10321.43851301282,216.9738465555789,970.169445396886,-1022.4421568473131
05_10_2007_22,15.685881658278966,0.0,10719.958797080755,197.4896513971845,788.8986343475103,-1048.4210117063215
05_22_2007_05,6611.471063303077,838.4748853823858,11332.020130923518,144.17989826099534,736.9166247956091,7162.587987223453
06_12_2007_23,0.0,0.0,6261.587830597838,131.4480725426642,586.5524147547895,-620.2932589122358
07_18_2007_12,6613.151825315586,1896.8732054765646,4645.00005079304,64.5739861334466,412.3224248486597,9946.521455437898
07_23_2007_19,333.0291770571644,8.016803946780259,11316.39171554248,136.18226685125018,853.4604824523487,-774.0417817789996
07_25_2007_01,5782.274074194777,450.351101969292,9293.509862157598,110.85174713767259,708.865354110834,5760.7139454587095
07_27_2007_22,0.0,0.0,6321.118225620981,151.66890208420608,540.1077647159876,-626.7107449149382
07_31_2007_00,6248.733074174335,210.80315288734116,18171.01665482689,251.16503170240512,1171.59392639105,4864.953653730239
08_15_2007_13,308.4489351972182,0.0,4720.515242938543,91.88473270862234,402.57101198818725,-159.5768789767543
08_22_2007_08,0.0,0.00459895080593989,3902.360709045961,80.14778261199527,400.902272962717,-386.21785027335704
08_22_2007_21,477.7313895619393,1762.9887341930894,3791.1230640934346,37.17519594898762,244.03174810346,3627.036869019809
08_30_2007_03,0.0,0.0,10350.226340308773,159.5306959634445,759.5590215893975,-1027.4270438149833
08_30_2007_21,1484.4466083748216,475.50895967476697,9865.250770077586,120.74761617029057,701.7644919967067,1455.9570956365637
09_26_2007_12,8981.355960719167,246.92724104096254,2595.7591099159145,41.756254976804556,278.60997935587307,9218.42063160306
11_12_2007_20,0.0,0.0,8800.926592352474,139.39341939340665,687.0381828054174,-873.2222774071934
11_13_2007_14,3084.702518339139,529.8414302288098,3905.7162477855436,56.339363388430655,317.0716388367331,3756.9844704065713
11_16_2007_03,552.3870955030993,0.0,6351.274745250895,114.15341609763128,478.20292418413516,-77.95834978014882
11_17_2007_20,391.6965495704343,80.7066943018489,12761.064664408319,170.7773854838833,886.9546169057303,-714.1269820976426
11_19_2007_15,0.0,0.0,11293.425342907138,212.68523205714885,783.1697597576534,-1121.5108366931372
12_11_2007_21,0.0,0.0,5004.143068487995,96.08514542800674,510.3370500227615,-495.3109363485719
12_13_2007_10,0.0,0.0,8569.265789070407,155.50635261510726,731.7644235549384,-849.6089346714913
12_17_2007_20,256.1631377694911,339.1752363839229,3885.102717908414,56.744488655173555,372.488619659683,549.7282249430922
12_24_2007_21,318.85097279365743,2.8054673016331506,6730.47029258757,81.70575471282191,544.4267700961277,-343.140854160872
12_27_2007_17,5517.95958471768,1112.4162712072946,7921.703705746215,107.52001769991594,660.2489585703006,6957.22424614335
