,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,246.71129251920348,0.0,15330.244360496472,104.66476105332374,745.6555961020974,-1278.8565875694228
02_04_2007_10,12.93981124349961,0.0,11328.680184647626,55.223715961766246,301.88715932536235,-1116.9093356280093
02_08_2007_07,4801.556740107861,27.89378509286232,11914.14694791145,65.11384078147411,381.21153977838594,3669.7417309002244
02_10_2007_02,455.73904092420804,0.005850169489772449,14395.0696811758,75.3155045669794,286.52830831405777,-980.890943771252
02_21_2007_13,7.359050693535425,0.0,15479.608075480535,57.5427106487751,243.5635689694635,-1538.1661211648236
02_24_2007_17,6.869305399519863,0.0,12191.307852328026,54.18815750091076,234.97400922080098,-1209.9117397410746
02_28_2007_12,1223.7545394817723,0.0,14342.824847188906,124.21719764351845,778.20916713002,-202.74585356581807
03_19_2007_14,0.0,0.0,18673.133680013456,50.44116259932518,142.19722016991122,-1865.8913957996465
04_04_2007_12,5090.841613680676,1966.7685176985278,5554.386098860037,44.62900814592838,303.864530914203,8471.97868450087
04_05_2007_09,83.15825443972867,0.0,10929.42204395033,85.72289813342094,510.9221388486262,-1004.6747285668181
04_10_2007_02,0.19097650015776327,0.0,9655.247506388961,48.00667455824613,209.9482911668452,-963.23429122707
04_27_2007_11,0.0,0.0,18958.082355048864,42.84366552710533,143.27978824630472,-1894.3754376224233
04_29_2007_02,19.188294789970872,0.0,11139.554545445097,93.62479942581653,447.4917350253403,-1090.2922424042854
05_10_2007_22,335.5203918479107,0.0,11346.548394930069,93.29413669552804,411.9822633079797,-795.0146250120164
05_22_2007_05,6886.193754103428,511.02419297629496,11644.613526380306,75.4320759752512,412.1579184322212,6747.9023666023095
06_12_2007_23,19.163270737676687,0.0,6736.209853160995,67.99390586755275,273.777577781702,-651.7199388006059
07_18_2007_12,6729.843971159943,1734.4922193107755,4722.672407086979,35.95321199476719,232.44925665409426,9728.885661639337
07_23_2007_19,537.4382571180572,1.719671909895469,11586.541999232242,59.0542486238718,369.5659334747502,-614.0809396506287
07_25_2007_01,5774.7147422055505,393.42531158856235,9385.228542940898,60.13508674046993,375.3798521073668,5626.796309609658
07_27_2007_22,0.0,0.0,7146.855876574615,33.1454123726368,95.56483915184177,-713.7299392659431
07_31_2007_00,5566.350205822856,165.43257961455473,18917.702728188542,126.59332645974159,573.0893427712294,4011.1759856608237
08_15_2007_13,446.48161109043417,0.0,4967.499140502352,35.301109375357626,162.99269300089617,-48.63837602979211
08_22_2007_08,84.35189436104604,61.62256837688844,4192.043707431376,31.28471597850323,196.2218129091783,-209.64512149922288
08_22_2007_21,715.7950352838695,1750.2613879104958,3826.198250502533,37.49078794536591,206.95976539522084,3835.76758370856
08_30_2007_03,99.17032036331203,0.0,11023.792298237095,93.01410198953153,444.4076321011021,-998.7648331393864
08_30_2007_21,1319.3238937221372,484.984499201996,10120.588996568,70.9550849717617,393.7867149589887,1281.1718596189191
09_26_2007_12,8784.256586259055,246.92717514344253,2606.0974490154763,30.251143110704422,165.46080760117968,9019.155799720405
11_12_2007_20,56.34523882083593,0.0,9649.69274676981,54.30160590257645,254.8930645755886,-906.0751052103893
11_13_2007_14,3096.115111975498,501.81995038301,3918.52703189649,51.08620878875256,235.3198646341612,3710.2555081982105
11_16_2007_03,690.0462113092161,0.0,6878.223690501909,38.424385456442835,192.17485740088182,4.145590833034037
11_17_2007_20,545.3403840876074,9.984762087506512,13308.404570612965,132.53013688211442,709.3254184024129,-758.437294614652
11_19_2007_15,50.569117689377094,0.0,12364.033373777102,52.63270626783371,172.78400731980062,-1184.1063796151352
12_11_2007_21,12.285618216581053,0.0,5265.568996235016,62.32771613416672,278.8081548009194,-511.4831998589114
12_13_2007_10,17.749925382098116,0.0,9432.391559810807,46.12292638499737,233.14742820096407,-923.1577563169731
12_17_2007_20,292.7314715498832,368.3052201461831,4002.9563293246447,48.93319275226593,320.95653859494394,632.2558442957343
12_24_2007_21,344.61255443952086,2.805430927259157,6827.542796899543,64.57170346916914,412.85483575635254,-328.40231503835156
12_27_2007_17,5452.7417799644745,1049.3882971108508,8005.253814087775,59.4217810949564,346.73368493538254,6754.460329626753
