,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,399.7946219693006,8.888829616561074,15359.264925233107,74.51954268039664,519.2338799558036,-1113.16187252133
02_04_2007_10,73.1640823363704,0.0,11505.188913322329,53.791719050856,264.44759820576303,-1074.7103330138048
02_08_2007_07,4734.3479616890845,232.90316512697208,11912.963821746955,56.40164719884831,375.9905231158607,4012.6178149994917
02_10_2007_02,363.3553339800794,0.0058501694898628375,14530.487819512451,58.075517243275485,230.93080199910736,-1087.3724396121952
02_21_2007_13,13.566644563128264,0.0,15542.809070884461,66.45428048610363,270.88185761399217,-1538.005443949178
02_24_2007_17,8.285992492558247,0.0,12223.535599664614,57.26373119427544,245.5594309394693,-1211.6119731645085
02_28_2007_12,1072.5952176233893,0.0,14378.812960270694,71.69421459096895,473.5168933450317,-360.5509094702299
03_19_2007_14,0.0,0.0,18735.538700443,40.47894461572672,143.61192731010408,-1872.1177507711993
04_04_2007_12,4962.691671887169,1908.225971748904,5548.832091528424,35.083186364075786,215.84896992451166,8226.41889593138
04_05_2007_09,56.05879683624921,0.0,10961.763970400925,52.233368341305635,324.66181638736623,-1036.8709820399697
04_10_2007_02,7.029861221088083,0.0,9737.150341621655,56.883250890925254,212.68442394029324,-964.5583287016744
04_27_2007_11,0.0,0.0,18992.060277639437,52.70317178896467,181.09058108124822,-1897.3951219531314
04_29_2007_02,56.019670757406175,0.0,11169.664745386506,65.93896968881296,329.09083358018006,-1057.6558954454426
05_10_2007_22,237.8011795783659,0.0,11369.632838480631,65.32511078350649,267.37425503383366,-896.4883617193589
05_22_2007_05,6742.348570691334,530.6823828414949,11681.723203809857,71.36969987464286,420.2429142820414,6639.743445136159
06_12_2007_23,16.185523471675566,0.0,6757.180110667185,51.61125313654213,222.45591938879244,-657.3079284011551
07_18_2007_12,6587.151905253209,1885.5122585826414,4712.668102133728,38.428800068676566,295.2716631808035,9889.862328836927
07_23_2007_19,495.5197328142207,0.0,11599.713550193474,54.13703861792712,378.73751342189576,-660.6642470709078
07_25_2007_01,5780.979050912899,402.268257964551,9370.451077734402,63.55404324076138,419.28319716572184,5652.663291040218
07_27_2007_22,1.0083497708654086,0.0,7177.340500463003,23.117813008960493,93.95575932566354,-715.7861426821784
07_31_2007_00,5495.9122577161,29.009276644668873,19018.733885371563,113.31333892769601,573.710996229897,3657.7945324305792
08_15_2007_13,457.91312199919304,0.0,4996.018940490564,26.554275674870098,140.23652588827687,-40.28640679098065
08_22_2007_08,98.72898431067551,0.004607775759642824,4212.600352597041,21.438982258635335,132.84558333989867,-321.19337956411033
08_22_2007_21,481.37327397323327,1761.785445819987,3787.798794221696,23.329371261683555,119.95484418799418,3627.3638346329176
08_30_2007_03,117.13510007601803,0.0,11085.293216039336,58.742392115991386,288.7321727251085,-988.5068998006644
08_30_2007_21,1556.0219473523548,356.85698067556046,10131.182885343907,54.02639940822873,309.7204677328808,1259.7148248464136
09_26_2007_12,8826.903742113664,246.92738435289073,2600.9971168619254,31.368058699949284,185.69088896894954,9062.515708022942
11_12_2007_20,34.744119507525646,0.0,9689.717868086478,42.51258281037319,213.4692206713104,-932.0929750944091
11_13_2007_14,3062.890055255837,550.6040980968696,3912.496714803542,41.791822448566556,204.66292788072508,3774.8952092480295
11_16_2007_03,683.1374534487654,0.0,6970.827274901586,37.48952347625708,163.39563189090478,-12.311317722484143
11_17_2007_20,605.2916776742179,0.0,13386.003327499348,92.71938104085795,446.52229179807534,-728.8434321577361
11_19_2007_15,18.837254674207053,0.0,12380.854128541469,53.69863661415337,189.3705809151723,-1217.354452370788
12_11_2007_21,25.890541441351544,0.0,5288.948617081498,48.25563040392515,210.74119493603808,-500.8969083174379
12_13_2007_10,31.979053810722554,0.0,9494.098355942226,43.81008755670605,206.06382472823245,-915.3701435362177
12_17_2007_20,300.8705349965947,319.89850529626295,3989.8031457540965,37.0638444200614,235.46129049130207,544.041843918624
12_24_2007_21,351.0457519760935,2.8054615056849252,6828.198763539427,53.17699196728513,312.3142806694668,-323.0400585597847
12_27_2007_17,5501.3068374958075,1022.3564088338375,8012.104555372482,47.52705006802289,332.57806056043245,6748.134980231839
