,river,creek,wwtp,setting,controlled
01_25_2007_13,780.9701449090185,5.675693297921056,15325.221042934398,104.55614787476779,671.9466941827604
02_04_2007_10,77.51718949832974,0.0,11460.336171682513,59.71176250965042,291.0929186016625
02_08_2007_07,4865.382192080258,8.812980445368504,11850.179114678504,90.11033014375563,609.0092796678186
02_10_2007_02,436.73230482319127,0.005850169489726922,14487.166841041733,80.7437917820708,275.59955852998706
02_21_2007_13,47.74666585766915,0.0,15535.809856686412,87.76935330557421,362.17283082562824
02_24_2007_17,0.0,0.0,12213.877264359593,54.7970530507956,218.32783059238903
02_28_2007_12,1159.76439604077,0.0,14343.829674722596,115.82009139754261,682.7256424357518
03_19_2007_14,0.0,0.0,18745.42576080614,40.345534611301424,126.93251774872249
04_04_2007_12,5069.236911491313,1864.458395321375,5548.913737941108,52.95832571232959,313.8925378841283
04_05_2007_09,207.7742090408111,0.0,10944.822106934767,93.00958604336905,487.871177214514
04_10_2007_02,18.348309064133904,0.0,9738.698781964784,54.652546405658185,219.37522955441324
04_27_2007_11,0.0,0.0,19007.55888906101,49.771636465954856,163.25435761773062
04_29_2007_02,64.91009030063829,0.0,11086.358768889013,87.49458440943074,379.13707323856755
05_10_2007_22,299.21058924835364,0.0,11337.654758846555,95.49192380701163,331.5988704906781
05_22_2007_05,6441.9613898285115,669.1477299437119,11639.61301347669,79.87737858382346,484.2360344804921
06_12_2007_23,11.64611450994458,0.0,6753.021428616368,62.582575644069976,226.107485491131
07_18_2007_12,6641.216421273272,1821.2102480935305,4697.47946253834,51.865266585615146,374.7430554215847
07_23_2007_19,497.9421901376302,0.0,11532.94652531647,97.64959318699908,576.93796812096
07_25_2007_01,5761.5683114605035,474.1678164045226,9324.789652875392,105.04455717842947,692.5956046897663
07_27_2007_22,0.0,0.0,7136.976410968979,28.290764197959156,103.34882189081168
07_31_2007_00,5358.633237561858,42.74914534942393,18992.786989361502,146.95821780799542,818.6721985064517
08_15_2007_13,419.3223929438898,0.0,4988.705640688826,29.620969990678805,179.2626988211831
08_22_2007_08,99.56560347079453,0.00460572361875889,4204.340729894075,29.7795531235041,161.60336028458875
08_22_2007_21,630.379056753168,1747.1657634806124,3818.9253034402345,39.3488035277434,222.1979655104659
08_30_2007_03,122.86732330935824,0.0,11081.814651126197,73.21490323797308,315.4128757852673
08_30_2007_21,1485.225828552213,459.7224528382669,10082.428392052554,92.66640894360425,612.4384195180832
09_26_2007_12,8833.327254069316,246.92743140743707,2606.793752976332,39.85881657487319,251.9188923802432
11_12_2007_20,29.014945962001065,0.0,9688.828612535344,45.20824828692567,203.83778208659425
11_13_2007_14,3095.2637340375495,509.5755218136009,3915.6545721000734,49.7486708488954,251.6773589284237
11_16_2007_03,719.3139987442298,0.0,6956.440472740945,45.655543559799284,198.89619830512243
11_17_2007_20,581.6176052280053,0.0,13357.250695439177,122.37583232188945,564.8516678968583
11_19_2007_15,6.991605287912,0.0,12260.507489793774,56.65946200841358,205.1680743194209
12_11_2007_21,39.89698914539736,0.0,5276.340637685659,57.74568565901027,268.93684668424225
12_13_2007_10,14.874224326983507,0.0,9510.799891924984,48.66796191466054,207.03773501802544
12_17_2007_20,298.14475636187694,317.5232617472288,3988.376847781995,36.16936334282038,202.93589068613304
12_24_2007_21,451.7129502764835,2.8054353432051258,6824.138271871121,63.52656288894376,400.04854898452936
12_27_2007_17,5472.047548794778,1086.3552122451454,7985.563372140021,82.4950474311434,567.7817678323282
