,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,410.0005124349733,0.0,15366.196158193094,91.51218491971493,658.324771527062,-1120.0358556690655
02_04_2007_10,58.029444996182974,0.0,11447.693335632852,64.21043364248276,294.50614776379217,-1083.7948270894644
02_08_2007_07,4372.921595837692,396.7248151563943,11908.881955805406,85.41545089366436,509.0035630004037,3980.5730661999437
02_10_2007_02,444.29146173929144,0.00585016948914077,14468.112438801712,93.53116919555664,318.6288683337792,-999.3217931185638
02_21_2007_13,10.48434105589563,0.0,15483.085926077127,81.77683094322681,347.70953498544566,-1534.347156201963
02_24_2007_17,5.062204129464767,0.0,12184.618650316468,61.48112346410751,279.2767198526862,-1210.606893703655
02_28_2007_12,1065.9774618475035,0.0,14369.373628545383,102.93902523994446,582.3747108432825,-365.13615389860206
03_19_2007_14,0.0,0.0,18662.602060084886,65.89922022106647,173.04349730034954,-1864.5297710354853
04_04_2007_12,4962.92351900934,1848.5846782819858,5550.924567409736,47.28497963688373,283.7021961077607,8107.837440793415
04_05_2007_09,48.95147241624933,0.0,10947.542337244,74.14508482358455,432.07370275246456,-1041.482024280626
04_10_2007_02,7.016740333362212,0.0,9678.028979500736,57.92588526217938,239.8721729319555,-958.3874358873919
04_27_2007_11,0.0,0.0,18940.190822169767,52.786795558333395,190.45866699550632,-1892.1144955470218
04_29_2007_02,19.886348749456374,0.0,11122.314997047608,83.83743917863369,381.6244365194839,-1088.5289065901097
05_10_2007_22,239.800437875174,0.0,11346.768842394518,91.19063129272462,385.68303353116124,-891.0196160289663
05_22_2007_05,6580.869178477738,552.2056984838913,11655.144610035826,81.44873297393322,471.56286612267104,6524.481743103165
06_12_2007_23,5.0244477454251335,0.0,6759.105349210589,70.46359416663647,305.7378499598894,-667.8287086760349
07_18_2007_12,6727.643055796745,1753.638397632044,4719.655561179951,46.66092890679836,313.5821864183206,9766.090116807021
07_23_2007_19,473.5610826604314,0.0,11577.381337733474,58.01248237669468,375.26436157524785,-680.4244074971637
07_25_2007_01,5739.058761348197,492.23509149658054,9358.307396781116,82.26946952226162,559.9235159627207,5793.297439822873
07_27_2007_22,0.0,0.0,7154.372445701405,28.163244910502435,86.03072875201588,-714.5769372826204
07_31_2007_00,5678.740582910295,7.578183529383837,18994.468521746476,161.59667941849233,769.2787470664657,3802.14288526508
08_15_2007_13,448.49776538712854,0.0,4988.018981760722,35.20723741791248,173.9232425856253,-48.56490036308747
08_22_2007_08,70.03197091048852,0.004608415340603224,4188.316808769531,28.60962244155407,165.93003529246135,-347.1311927828588
08_22_2007_21,564.9203536397358,1759.7282761086838,3813.8277402747744,30.936113850069045,153.4062401359426,3704.5281942309853
08_30_2007_03,99.1483573174054,0.0,11070.758488050531,81.19127890646458,366.1459153457731,-1004.26603233419
08_30_2007_21,1447.5817265090002,460.6511319249204,10104.303218149764,66.64945080227852,397.0507104743506,1362.424175648608
09_26_2007_12,8802.92019623526,246.92742271826108,2605.272083094982,35.09239853839874,215.2834784149039,9038.400668146433
11_12_2007_20,23.590092316570022,0.0,9649.415723303118,55.69007731232643,258.5693122819574,-938.7657868909223
11_13_2007_14,3090.7532563243903,521.2281808187525,3915.640949246392,49.955665685558316,265.20550834810314,3744.297578120738
11_16_2007_03,725.1677742054142,0.0,6966.8968257527,49.21664204480648,215.99863414896487,30.638077971633685
11_17_2007_20,589.7157712148387,0.0,13370.27580585111,117.24400446467399,579.7648298859187,-741.5141610714132
11_19_2007_15,6.85490962682122,0.0,12279.615615411032,73.11219267091751,231.78327968458274,-1218.7888191174363
12_11_2007_21,15.453643024134516,0.0,5278.184642618441,57.0806361035347,249.65656833412592,-509.8682555543684
12_13_2007_10,14.977229985887968,0.0,9491.600199143159,54.44340915522575,256.1867920748493,-931.6209220076794
12_17_2007_20,307.6608692811295,322.29132994827467,3996.977650008408,48.194048761177065,313.7877648551454,555.6836418253895
12_24_2007_21,392.1191214320046,2.8054606283167565,6829.3497765770235,69.34788259749413,406.23918812626664,-281.1425430878016
12_27_2007_17,5573.5812123684245,1042.5375493285187,7998.364901936851,68.73361840388775,422.5956575076689,6863.045777406854
