,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,460.6216705908145,62.62295866939066,15353.657181512477,77.78214901031407,528.2539711668667,-944.2155905099834
02_04_2007_10,92.7067590751833,0.0,11493.22301861633,48.60163194045745,237.44762040646745,-1054.2410665823852
02_08_2007_07,4709.85633051343,378.7577993277053,11899.201698019215,56.23519301308251,347.11034466070925,4280.922862813527
02_10_2007_02,414.5896503612069,0.005850169489092916,14505.229956761457,60.8096051549491,233.45999790571676,-1033.5870449969036
02_21_2007_13,63.578527553013586,0.0,15518.867886067412,60.63632862612445,268.660684232257,-1485.621654211405
02_24_2007_17,12.257111175971932,0.0,12186.59819719437,38.55730542107783,175.82141269777748,-1204.6444944164873
02_28_2007_12,1183.1663778127584,0.0,14365.942033680523,81.97253287122714,509.7646846448026,-248.330178708846
03_19_2007_14,0.0,0.0,18696.068733104847,38.07139493427769,131.394901331373,-1868.292924297171
04_04_2007_12,4918.849983924728,1961.6805043426061,5535.417741218545,32.11829650488835,208.53095624370044,8290.754528050522
04_05_2007_09,172.93365226576728,24.421865428182347,10952.620135956011,70.40901962822514,421.77132114216346,-869.2669172620475
04_10_2007_02,20.240116914332507,0.0,9704.516811441094,49.86044353932414,191.91584099378653,-948.2924058198391
04_27_2007_11,0.0,0.0,18973.06984473869,34.59650992267181,135.46064930959653,-1895.952377980773
04_29_2007_02,92.63548033330842,0.0,11150.089060623544,68.26694676822876,291.78423685727773,-1019.4555833604733
05_10_2007_22,293.2032005048824,0.0,11364.49072222452,60.90895569208889,254.65860253860916,-840.6992856921836
05_22_2007_05,6502.601609487967,629.3254679361451,11664.076196261462,64.15759498187003,409.34952150838626,6598.938420949195
06_12_2007_23,42.53373442658019,0.0,6754.1157731931235,54.51561875307728,216.86691472853883,-630.7091737454468
07_18_2007_12,6593.505903024108,1885.5748254479047,4713.65712517465,40.39978780757622,295.606055769036,9896.245901960143
07_23_2007_19,532.3019094075315,0.0,11585.214097337226,57.19277083017599,383.50159846816496,-622.3844843415096
07_25_2007_01,5790.617637753388,369.0123520427108,9371.540037075418,62.47346658120058,438.5503268440257,5595.873841399709
07_27_2007_22,1.2202830799724347,0.0,7161.12562809341,26.221919465457624,95.71310859356791,-713.935148643433
07_31_2007_00,5387.276316055742,14.886183176127316,19005.958106348793,106.86610661730906,593.5258924044819,3522.3881306971625
08_15_2007_13,463.31688111617433,0.0,4988.959454521581,24.378369014998988,131.33043988985003,-34.26575993708534
08_22_2007_08,126.55868457368364,0.004608126590908982,4205.64170988725,19.031826685011403,124.53168574284759,-292.75095330443105
08_22_2007_21,484.1352006110705,1758.7139193640064,3793.2035706364613,24.69696195269276,116.46530139668124,3623.4073352894043
08_30_2007_03,169.59741636810338,0.0,11075.638198354083,61.57384803077098,287.6118235432201,-935.0902852318728
08_30_2007_21,1653.1906048481542,363.5293845600915,10126.498771934623,53.69239611568427,339.0533102003108,1370.990029876878
09_26_2007_12,8842.045181843216,246.9274162536422,2601.8422198904277,29.60436311053125,166.472209604321,9077.380514457502
11_12_2007_20,43.36222331280102,0.0,9681.65728547426,39.93425189236917,191.19591221129554,-922.8915461125122
11_13_2007_14,3080.0495442529655,514.9590423818622,3915.415483393604,42.16030538117759,220.17498372590683,3720.627830514589
11_16_2007_03,685.5657022305616,0.0,6960.0950166405655,36.69804300443934,172.45356622287903,-8.719263771266297
11_17_2007_20,695.0750236940722,9.80269473555416,13374.53849369809,92.66140476437141,469.7082024653542,-618.076354179975
11_19_2007_15,25.77306079219831,0.0,12359.06379426233,49.777989386416095,175.74113893881088,-1208.3759072446467
12_11_2007_21,59.8032961042556,0.0,5288.321137655681,40.70750528558319,183.23007073182583,-467.19651695399426
12_13_2007_10,59.7546512807644,0.0,9497.040752290686,37.79820076137845,178.47872611062257,-888.164636687198
12_17_2007_20,326.03511801904017,322.83262946698216,3991.763598567756,30.780445904423544,195.96103989869104,574.4836274952157
12_24_2007_21,478.39285671584094,2.805466626103134,6826.475996775104,48.3952226976421,273.75653961793597,-195.9062443132839
12_27_2007_17,5485.896464476413,1052.4775591791604,8006.947673488872,49.129735437620525,345.2698403232772,6793.609513889079
