,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,905.7334999055739,0.0,15328.242174085273,59.04898232586682,344.1528225651618,-623.6491892773018
02_04_2007_10,51.887740344941115,0.0,11369.162434190463,47.38911230406761,234.12084123386995,-1082.6872946617664
02_08_2007_07,5354.032169996948,56.82692851564718,11905.067250638183,44.36094153589606,275.91171385520573,4279.938419102976
02_10_2007_02,450.5859274478038,0.005850169489358157,14404.954374747784,70.82003209918737,206.50975589647888,-987.8327121290313
02_21_2007_13,26.078230940411242,0.0,15370.51820809556,66.63600987002253,233.7328136954752,-1508.6362617321902
02_24_2007_17,5.60284490280656,0.0,12120.341479180986,42.91332853047848,168.87569768322732,-1204.7425460384597
02_28_2007_12,1190.6162239318965,0.0,14357.988259213551,63.62345924890637,375.22504183394415,-241.4303515711194
03_19_2007_14,0.0,0.0,18578.444803812796,67.76611187341213,189.7919158161257,-1855.9465612231184
04_04_2007_12,5026.529351756669,1888.5294668983495,5539.098139516206,34.674494119286535,180.2706748522627,8251.481178350268
04_05_2007_09,70.37410925693639,0.0,10919.569891524197,49.17331906440258,256.47151151572336,-1019.0181647803261
04_10_2007_02,25.30011070240453,0.0,9647.918467334457,40.230976147651674,133.29295232753077,-938.1588065077659
04_27_2007_11,0.0,0.0,18792.795423912452,77.25188385663033,226.27033745696946,-1877.0168390166757
04_29_2007_02,50.05853879688146,0.0,11079.297556245256,59.82682112934533,231.8259292608812,-1055.5529575350351
05_10_2007_22,256.7138015787216,0.0,11293.018686625004,68.22750346541405,252.92576341921097,-870.0588094495868
05_22_2007_05,7198.669529763681,421.27418975703097,11658.380636543585,69.70035157752692,335.0707672201064,6878.730553295584
06_12_2007_23,16.307833980427368,0.0,6753.453243091106,36.49135561466217,140.74731768390788,-657.6300171518442
07_18_2007_12,6875.903914622555,1743.5579300347742,4722.079199519503,42.939572552144526,262.6771864935526,9893.43862660509
07_23_2007_19,706.6537567001154,10.053650035246934,11570.761048594923,43.42612251753807,278.1817109754565,-427.53323097912835
07_25_2007_01,5872.451602303977,501.24595172947784,9372.424660567665,97.09381980627775,437.97023596855263,5942.080742065851
07_27_2007_22,0.0,0.0,7097.889017935577,40.41117261171341,102.93762311814082,-708.7595255623762
07_31_2007_00,6151.377471702906,105.93686906746296,18933.592541331436,106.27095287844539,436.8178908086035,4474.260134612774
08_15_2007_13,486.78824636458637,0.0,4969.681961976468,28.388003195738793,114.7604435346532,-9.032345397713973
08_22_2007_08,79.12510507608326,86.14287896501786,4165.978412130308,22.004312999868393,117.40454058221192,-164.01293280108976
08_22_2007_21,661.9144630703214,1748.9274254224342,3834.5098224672734,34.40695453972816,126.29941233031447,3777.5813257917657
08_30_2007_03,68.76116758828438,0.0,11047.764756114888,46.89052109241486,201.3694995268953,-1034.0016130279355
08_30_2007_21,1773.6445283089517,533.352865631038,10116.196432356908,57.1119245568037,274.025047330127,1831.4708668086382
09_26_2007_12,8781.639862910193,246.92733726778266,2609.966643877057,22.497544051045182,140.37772944204056,9015.901650352474
11_12_2007_20,20.251157996048978,0.0,9617.848892962102,37.154330300092695,154.83561986199578,-939.9853751015412
11_13_2007_14,3057.775335984533,503.9064498351865,3915.168730793695,52.73152564870715,199.76601894618335,3676.0690227649984
11_16_2007_03,738.0958774190987,0.0,6934.035972901085,33.882033148040065,129.6704876438642,45.98898500542873
11_17_2007_20,617.9800210527922,106.66941515917748,13376.825099012563,80.82403748903684,399.24381524728557,-502.3712203776366
11_19_2007_15,5.428541372709899,0.0,12213.107935312526,62.11594738180637,192.90256544938768,-1213.9532265040489
12_11_2007_21,21.28374649374876,0.0,5269.920883965254,35.58082343430519,152.14027770022832,-504.1869391257744
12_13_2007_10,15.600834656756064,0.0,9431.895193230404,42.43537591576576,158.1776970593877,-926.0069076956905
12_17_2007_20,333.4179170649703,386.726484561107,3987.86074248738,30.08203031964302,202.29080734055503,710.1077200118517
12_24_2007_21,415.7184363845155,2.8054674774143415,6844.702529493597,30.93355481119156,209.02818373643217,-261.05059977265125
12_27_2007_17,5607.248782771214,1115.139950567898,8009.80998686605,61.046911772552136,325.24445877836285,7039.800129808189
