,river,creek,wwtp,setting,controlled
01_25_2007_13,448.09257446086895,86.00687013298136,15187.090332046866,150.7219,995.6617105797088
02_04_2007_10,0.0,0.0,11078.796909646311,76.35189999999999,377.83562727099235
02_08_2007_07,4246.869843431514,683.3465617702741,11874.231632243745,129.8849,861.5339146209583
02_10_2007_02,337.5670441114758,0.005850169489998225,14015.214014345249,89.97189999999999,384.7703422596353
02_21_2007_13,0.0,0.0,15084.682272509615,100.58689999999999,424.4293617142681
02_24_2007_17,0.0,0.0,11937.92976710493,89.6685,381.1083157754092
02_28_2007_12,1195.8828412877247,101.25499928248733,14212.584069609367,115.56549999999999,764.8827334064263
03_19_2007_14,0.0,0.0,18138.150572425642,108.39789999999998,348.3227809778135
04_04_2007_12,4876.082336051848,2044.1449295772513,5428.611698748944,56.579499999999996,326.9731175635552
04_05_2007_09,0.05225189783002792,0.0,10792.687225712478,100.8715,587.1494155515729
04_10_2007_02,0.0,0.0,9511.701189658033,68.73049999999999,321.43226239242955
04_27_2007_11,0.0,0.0,18363.65920083559,169.16029999999998,462.6318044157345
04_29_2007_02,0.0,0.0,10925.53616959399,95.46589999999999,434.06029022383666
05_10_2007_22,225.57166193977167,34.560431620073075,11122.477477048335,111.3289,551.5681472928843
05_22_2007_05,6317.169906179809,908.8451192315856,11519.587846848151,120.1731,695.4919768080748
06_12_2007_23,0.0,0.0,6673.205495987328,55.23349999999999,256.2103190644123
07_18_2007_12,6365.742823976293,2087.187177104353,4686.411496102099,55.3759,392.9828307933298
07_23_2007_19,624.5054928362864,216.0527128170813,11483.55771587512,117.8437,752.5338070678754
07_25_2007_01,5455.399440042507,754.7135986848926,9341.403879361747,98.5435,728.2467359634529
07_27_2007_22,0.0,0.0,6876.184482410383,52.555899999999994,173.09571958214804
07_31_2007_00,5416.218450822002,392.08611162537875,18700.10955204939,202.1415,1008.1927603985489
08_15_2007_13,518.3202726854354,0.0,4862.967049166379,51.3469,271.4448431879357
08_22_2007_08,40.92743155345443,85.90126165142198,4079.0407839095196,41.622899999999994,235.34136804393967
08_22_2007_21,751.3779522963216,2121.087126079165,3808.2672352644686,42.7959,293.28703797645034
08_30_2007_03,0.09723003622642504,0.0,10881.464073073566,75.4233,350.9080232611635
08_30_2007_21,1396.3514782466946,737.8116685592836,10033.75370754408,107.6051,697.8460046258053
09_26_2007_12,8854.755140873809,246.9270302410925,2594.8122976681334,31.053299999999997,223.99114652916202
11_12_2007_20,0.0,0.0,9446.136258062003,59.80429999999999,282.93618608586246
11_13_2007_14,3159.6749298552545,735.7855989093191,3898.9422010766675,40.1205,252.88748694942296
11_16_2007_03,580.6781958865865,0.0,6694.4937586136,56.6807,287.8092371269274
11_17_2007_20,504.66563342610635,296.42240702651964,13241.881620540722,102.27309999999999,574.7145406390196
11_19_2007_15,0.0,0.0,12058.907393467483,83.19409999999999,273.26338595354196
12_11_2007_21,0.0,0.0,5213.645598261679,47.6335,266.49735691338134
12_13_2007_10,0.0,0.0,9219.478045279313,55.74849999999999,237.31070371434114
12_17_2007_20,252.73920062492127,518.1311536125223,3967.1600310307763,36.4785,248.48439511583672
12_24_2007_21,294.1265540416084,2.8054880821585613,6816.240691369739,58.831500000000005,386.66211613452856
12_27_2007_17,5207.073638199978,1357.642736184946,7960.89528169133,85.8719,622.4011254252353
