,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,165.6700614117139,4.781885175716523,15347.537096043747,92.61215314847314,692.792571613934,-1352.5919521250885
02_04_2007_10,9.803907460621444,0.0,11465.746665919476,40.86648935269308,237.4396386882969,-1134.396362744443
02_08_2007_07,4769.659891497422,3.82576545630979,11909.004586944002,76.97441692655735,520.0838353720113,3591.6118020693616
02_10_2007_02,390.3043758584911,0.005850169488997894,14485.223553487369,47.975748591995234,245.14616584068483,-1055.754817492861
02_21_2007_13,5.86586653784095,0.0,15445.03378294957,68.03089073616631,357.2133311838529,-1535.0653784452775
02_24_2007_17,7.830558596961863,0.0,12298.207083921963,61.28564184045975,316.9845653671775,-1218.8203041415627
02_28_2007_12,948.8471401378649,0.0,14375.764419707124,79.8030937855926,546.7477068535279,-483.2618247643123
03_19_2007_14,0.0,0.0,18790.818303018797,26.936431349359232,146.90539116192556,-1877.6127763902605
04_04_2007_12,4748.0883815268,1731.2922647128669,5566.356176931578,33.10243231764876,243.47508448287383,7656.4720441042045
04_05_2007_09,10.360008078064423,0.0,10953.998028591936,73.99329969697439,479.98220027754525,-1080.2399727783538
04_10_2007_02,5.282913699168176,0.0,9769.943890992841,48.49633274583738,260.60063379439435,-969.105469062172
04_27_2007_11,0.0,0.0,19044.691093229816,32.64085501533461,146.91080496509244,-1903.0000012733308
04_29_2007_02,24.502611301180384,0.0,11173.39288430434,70.81582178308521,377.91699921822874,-1089.0575071370713
05_10_2007_22,120.85989036297384,0.0,11345.703100091709,66.14691800709834,375.0982175737221,-1009.9594374704599
05_22_2007_05,6668.32068172697,378.0773581386481,11676.527515878928,64.98288153363107,444.155226030879,6261.264198676681
