,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,181.2649107943748,0.0,15349.53799421,97.56938344875991,724.8894280352945,-1346.4399943462724
02_04_2007_10,17.535826472647287,0.0,11464.406312849593,51.4963756854324,285.5497718446749,-1126.0493070938653
02_08_2007_07,4752.097338746803,79.6120692238113,11910.346614067661,82.42300313689094,595.7558868113133,3726.244374655773
02_10_2007_02,444.1704899194755,0.005850169488853294,14474.54641969241,47.48375181435363,254.90093961395368,-1000.7234423146483
02_21_2007_13,11.617988120063508,0.0,15506.309657986978,82.40978415535727,405.1705157046182,-1534.9612725215882
02_24_2007_17,11.785993395051158,0.0,12295.379326596274,58.24830486506682,279.2721757503964,-1214.9592175070723
02_28_2007_12,982.9916759383137,67.84828259630908,14337.567667434643,94.47295549789557,609.1497540138089,-308.97702807239443
03_19_2007_14,0.0,0.0,18829.247291711014,22.29362197009552,112.19591838078912,-1881.8027699872937
04_04_2007_12,4821.881364876579,1729.4772143034352,5567.993933965324,31.95942951473871,226.31220834244084,7726.299522170341
04_05_2007_09,34.17704021014571,0.0,10953.05746600323,81.91769406604973,489.66011048342546,-1056.2321052853433
04_10_2007_02,0.7351540901312406,0.0,9760.021998449844,59.370685543769945,312.6987042801625,-972.1400587120515
04_27_2007_11,0.0,0.0,19047.916864491865,33.144555646244555,144.34194979175447,-1903.348266951269
04_29_2007_02,19.46421167685353,0.0,11171.059846892393,73.65571416714943,416.10965965918047,-1093.480676415794
05_10_2007_22,115.84266398934994,10.141412553662004,11316.687583217707,72.20939551170031,405.5182811493892,-991.4880864136028
05_22_2007_05,6713.098146632134,317.9642771650991,11676.454075553278,65.22560910602698,444.4046153851381,6185.825339560856
06_12_2007_23,15.248297536957848,0.0,6770.6106138269715,48.12508261223641,241.7941727250218,-659.3948221184892
07_18_2007_12,6739.718523174131,1645.5476649004665,4695.589033819413,37.03054983790406,272.90239880518993,9563.983973581175
07_23_2007_19,424.2018463831587,6.563967985759209,11537.78550550986,81.41572480238942,571.9210080143955,-710.7295581161652
07_25_2007_01,5892.8283390592305,303.50194815263586,9343.808837695924,73.95030893609555,525.661386894525,5570.7079654638555
07_27_2007_22,4.862811377421195,0.0,7197.450437257292,22.479219723323414,115.81856737145517,-713.7240466745935
07_31_2007_00,5475.099804008603,197.46439370069083,19003.242994060292,136.9813990719533,795.9531795882435,3977.663823799838
08_15_2007_13,369.1060128267942,0.0,4975.838855308404,27.125238717805964,192.28522158007848,-126.55502048824548
08_22_2007_08,28.06568478313731,24.100021213130496,4198.948923185895,36.30219999886657,223.668628103015,-341.39247882816113
08_22_2007_21,411.2366414547938,1753.084152334667,3774.8024283621717,22.647580528968817,156.59015156194644,3541.4906048035295
08_30_2007_03,15.794598602656087,0.0,11038.672775259749,64.3211947203157,345.7234899734335,-1084.6154440235844
08_30_2007_21,1546.3583901647685,355.38365488167693,10107.156269713643,65.36938262270739,508.0819865614966,1251.4908928223729
09_26_2007_12,8764.36699238934,246.92716087056237,2613.2427947948127,20.495233406905044,143.8565803712727,8998.335600454697
11_12_2007_20,23.785641341354296,0.0,9637.42316563638,48.325249821301966,242.64760332060376,-937.5301991890777
11_13_2007_14,3027.4245416817816,526.1802445115343,3922.33990650138,27.043882562618776,140.7083276229901,3688.9581233309423
11_16_2007_03,657.0684636674417,13.448845174272517,6988.594995103837,24.34145772560182,145.60290202439353,-13.437316474153132
11_17_2007_20,515.3245363607707,94.39040812209947,13358.470816692241,83.64903072713733,485.6624606851738,-626.8851044574029
11_19_2007_15,5.590209540098914,0.0,12402.24373895409,51.031553747645596,227.3962782012987,-1232.3602015732972
12_11_2007_21,8.783801343552044,0.0,5295.071417264644,38.519513910736066,202.89456530854488,-518.694394729827
12_13_2007_10,19.1630524348753,0.0,9498.909326406263,37.05513600001664,192.3486192850719,-928.8043940129003
12_17_2007_20,312.85172200800037,299.9333501596337,4021.993130191701,32.29118716039157,234.59733887740737,512.8650826968717
12_24_2007_21,285.83121737002,2.8054825397658822,6799.886684849561,48.67724896959591,332.2194501261407,-385.22429153414305
12_27_2007_17,5589.683850319106,973.3040476375612,8000.991814068707,59.33296930195137,433.69663126226214,6740.529730499979
