,river,creek,wwtp,setting,controlled,obj
01_25_2007_13,156.83632178548902,1.36435245006204,15348.768778819172,101.95741436727785,756.3679113952262,-1367.748172082352
02_04_2007_10,20.895276218953068,0.0,11466.834442963394,50.23912430478043,279.6598857554458,-1122.991569219832
02_08_2007_07,4774.460371769591,15.002617360800548,11909.363540247728,86.55498614750255,514.2173219484521,3618.6714256859036
02_10_2007_02,404.43716114139625,0.005850169488853602,14470.911955803515,47.331981363433165,241.48559984116204,-1040.2274781015658
02_21_2007_13,4.047998630520758,0.0,15503.673853063485,83.0992881655778,413.10707650599636,-1542.1883159107676
02_24_2007_17,10.504762623102593,0.0,12298.595268216179,58.32979626843368,278.59669442070975,-1216.5687972543083
02_28_2007_12,949.4347885120571,0.0,14368.247169289303,89.56257911726266,591.0782631483839,-481.4791457853895
03_19_2007_14,0.0,0.0,18824.829535091445,23.31265479509661,115.8786007941222,-1881.3241675012034
04_04_2007_12,4802.495600677676,1729.0516754162281,5566.17307033549,30.465288633452165,214.8708018707151,7706.13035249529
04_05_2007_09,13.3001713546736,0.0,10955.387321751714,80.80149892241008,482.4471728028743,-1077.4140890924689
04_10_2007_02,11.683415644542933,0.0,9762.3112599511,59.34407714314957,310.5627191890257,-961.442083158677
04_27_2007_11,0.0,0.0,19045.094363232158,34.22045292724991,141.6663869878188,-1903.0927724533376
04_29_2007_02,24.082540594931082,0.0,11177.706619331382,74.24651243891594,406.4238619712219,-1089.623882718495
05_10_2007_22,125.55071572440454,0.0,11332.908652444823,72.67594745017657,405.4505412019688,-1003.6856441080581
05_22_2007_05,6698.629798860388,324.52406917888055,11679.283681504774,65.72902084563596,420.8881662829026,6183.958450730501
06_12_2007_23,16.259449134781974,0.0,6770.5281497927845,47.44124013577949,240.9779713127556,-658.3835861313689
07_18_2007_12,6731.9697979943485,1644.815896643411,4693.990532923831,36.25439418932109,272.4948870783463,9554.927486859571
07_23_2007_19,355.9507294469281,4.2750252000770805,11545.495583195141,80.56111296326078,556.0082984062986,-784.4886954883689
07_25_2007_01,5830.963324469622,340.0071011659525,9345.803061735125,74.5418122730828,563.2085611184642,5582.029306239199
07_27_2007_22,3.593617454101955,0.0,7195.463274348197,22.43405573944282,113.9464686703061,-714.8132452940148
07_31_2007_00,5593.816433930746,12.254110095286352,18993.439090358777,140.182462669259,735.4380959641431,3726.335126045082
08_15_2007_13,367.1319695027703,0.0,4979.3117093693545,27.476237484957977,196.15294929590348,-128.83767194120614
08_22_2007_08,37.61945924886355,0.004610854243254884,4200.4415280733165,36.19079798563617,224.6210209865585,-380.169261640116
08_22_2007_21,412.96216806685254,1750.3764901382572,3778.459276933614,22.73842752265903,153.65993293681606,3537.4058199793735
08_30_2007_03,37.43438424709341,0.0,11049.687844371987,65.22112146310444,346.48053055614514,-1064.069594884544
08_30_2007_21,1545.4380843466047,357.7691439003003,10108.928007185306,67.56535492592108,503.0519765353457,1255.114091194028
09_26_2007_12,8759.523483474662,248.33713647952032,2613.221011707464,20.787371351084666,144.10301861724264,8996.316685449128
11_12_2007_20,19.05662056723545,0.0,9640.227895071996,48.95593698673845,240.98744463482487,-942.556294493616
11_13_2007_14,3019.82878474192,525.7661138569064,3921.151691246011,26.424546424389888,142.3378676132453,3680.6692220072637
11_16_2007_03,655.9578775662484,2.389806373833504,6987.901822508376,24.31877356171935,153.83572219227779,-36.514334714999535
11_17_2007_20,492.84674159371286,109.78745329321109,13358.117253961538,85.04699132051309,493.07234916703896,-618.4593537243485
11_19_2007_15,8.347506932854055,0.0,12393.585979752375,50.67010944833828,226.93207911861276,-1228.7417702511975
12_11_2007_21,12.127508282989261,0.0,5294.819069130281,36.934825195759366,194.66057270422965,-515.4077929029964
12_13_2007_10,19.73553892902794,0.0,9496.286462272961,35.074391257149024,182.65032881060057,-928.0666040101622
12_17_2007_20,310.3976378588356,299.3888844131683,4021.5367936213206,31.390309052658807,227.72197061394644,509.2989470291796
12_24_2007_21,285.1872628878791,9.512898717459965,6819.10193041394,49.20172618182721,336.082967636176,-374.3363030422332
12_27_2007_17,5529.679369018744,973.2870088454648,8006.025128600189,58.75823753351091,440.4550813296433,6680.055424662951
