,rr time,fl time,perf,objective
astlingen_11_12_2007_20,9.5367431640625e-07,305.1405391552869,19.05662056723545,-942.556294493616
astlingen_11_13_2007_14,1.1920928955078125e-06,304.0484911895567,3545.61246188952,3680.6692220072637
astlingen_11_16_2007_03,1.6689300537109375e-06,304.7733268892862,658.3476839400818,-36.51433471499962
astlingen_11_17_2007_20,1.430511474609375e-06,306.1621300797073,602.634194886924,-618.4593537243485
astlingen_11_19_2007_15,1.6689300537109375e-06,306.9210845340382,8.347506932854055,-1228.7417702511975
astlingen_12_11_2007_21,3.337860107421875e-06,304.6402493862624,12.12750828298926,-515.4077929029966
astlingen_12_13_2007_10,1.9073486328125e-06,305.5370652111801,19.73553892902794,-928.0666040101622
astlingen_12_17_2007_20,1.9073486328125e-06,303.90835415083785,609.8202744087223,509.2989470291795
astlingen_12_24_2007_21,1.430511474609375e-06,304.58900320922936,294.71996150125597,-374.3363030422333
astlingen_12_27_2007_17,2.1457672119140625e-06,304.85643147268604,6503.021397265526,6680.055424662951
