,river,creek,wwtp,setting,controlled
01_25_2007_13,301.61880377369727,0.43849972586361846,14398.449996733805,169.4438,1102.453334394403
02_04_2007_10,0.0,0.0,10821.454533185079,125.98429999999999,602.890180999385
02_08_2007_07,3727.4248749093917,1069.2702844631328,11866.29482704534,135.1354,897.8269893327073
02_10_2007_02,38.06911666385405,0.005850169501206974,12305.167862647671,173.15970000000002,823.6994354091967
02_21_2007_13,0.0,0.0,14957.701687083703,115.6961,484.94940405273894
02_24_2007_17,0.0,0.0,11539.790355600591,184.0455,748.9914926587956
02_28_2007_12,674.8546477249249,0.0,12451.75943509237,120.26910000000001,868.8205636308514
03_19_2007_14,0.0,0.0,18135.511565459925,89.0282,295.6042687954465
04_04_2007_12,4581.529005453795,1926.25012650481,5019.442032408118,57.3057,293.6680308342127
04_05_2007_09,0.050652653201089234,0.0,10461.771938564663,157.0786,856.430091804203
04_10_2007_02,0.0,0.0,9450.194754766919,76.9915,333.5863959852237
04_27_2007_11,0.0,0.0,18362.84660544441,108.3072,345.6829261466743
04_29_2007_02,0.0,0.0,10502.041188806494,167.9279,699.9716015399397
05_10_2007_22,0.0,0.0,10418.332919461725,176.54090000000002,736.4621284613766
05_22_2007_05,6324.313656907552,1043.7737351674834,11279.777583846088,168.7038,830.3795052920369
06_12_2007_23,0.0,0.0,6623.360965161462,49.22769999999999,221.61264594046392
07_18_2007_12,6380.5295123717515,2003.6199603029372,4680.684498614741,54.3989,369.8247995150111
07_23_2007_19,189.09243602352734,85.97072371482703,10767.906700649472,107.04759999999999,698.9853498761286
07_25_2007_01,5291.536506875106,892.4987609764037,9285.899813920743,165.1156,1088.6872889989452
07_27_2007_22,0.0,0.0,6911.834272113501,43.1626,138.464358603496
07_31_2007_00,6138.721008490431,145.02487813821836,18347.07297203743,311.7965,1253.7467916530632
08_15_2007_13,135.0472750977713,0.0,4364.199463980918,43.6074,222.81777918764135
08_22_2007_08,0.0,0.004764703485352429,3966.8281419718123,49.6453,234.72403547894066
08_22_2007_21,379.8433212176153,1977.2672510225277,3677.623532281724,23.0052,192.8767517170512
08_30_2007_03,0.0,0.0,10331.25460366427,138.7097,681.5214671293634
08_30_2007_21,1077.7614658073387,716.5765788535053,9627.761240779202,111.56769999999999,721.669850910826
09_26_2007_12,8713.760336926018,246.92707751960367,2611.4527674664664,26.454099999999997,160.9537737989557
11_12_2007_20,0.0,0.0,9352.67696328037,73.4322,346.0638641756244
11_13_2007_14,3025.3840522660107,580.0091532151301,3871.558705628992,34.519499999999994,202.91331833074588
11_16_2007_03,145.82505592409336,0.0,5559.445359861073,80.1343,365.6897247026184
11_17_2007_20,310.3388986240435,114.33583211366485,12614.28569971478,135.7075,735.7765693669971
11_19_2007_15,0.0,0.0,12074.920701659858,58.12649999999999,192.1732003174132
12_11_2007_21,0.0,0.0,5157.3783086731355,64.4523,315.66739682334264
12_13_2007_10,0.0,0.0,9176.862266214861,62.14929999999998,255.8572506826851
12_17_2007_20,252.73793645733764,439.6402381471287,3964.7802936448684,37.2241,237.31588571725112
12_24_2007_21,276.32411917538644,2.8054883539671707,6761.782946484145,73.5683,506.94102590430026
12_27_2007_17,5262.965324511735,1263.7101309031495,7905.637214980817,93.3089,612.9682136098729
