,river,creek,wwtp,setting,controlled
01_25_2007_13,72.27952687211035,0.0,14984.610130950843,189.53182575758314,1174.9968643408235
02_04_2007_10,0.0,0.0,11381.184762425322,109.77801345909234,509.82832542575727
02_08_2007_07,4660.502136609022,54.33566617837259,11904.64986974817,131.94763203888647,793.1960461864169
02_10_2007_02,0.020782906800951902,0.005850169500576352,13845.664668616253,167.21649571408454,609.8967825255875
02_21_2007_13,0.0,0.0,15556.180142025438,147.76343396057234,549.1721753897853
02_24_2007_17,0.0,0.0,12280.506336964545,86.93366533661063,390.22294967596576
02_28_2007_12,663.7415433175096,0.0,13807.09421468144,161.3475709222899,1083.2049200575907
03_19_2007_14,0.0,0.0,18869.58358459537,1.1562566785787465,60.53907408810835
04_04_2007_12,4581.70509703367,1664.9751560309912,5146.562562052287,51.71965771056804,272.6989112737105
04_05_2007_09,0.0,0.0,10784.349682646382,143.48812154618355,782.7477243072325
04_10_2007_02,0.0,0.0,9725.295377114377,97.57029747286364,360.37702347306333
04_27_2007_11,0.0,0.0,19069.546377026025,16.94274578671177,73.9772334396848
04_29_2007_02,0.0,0.0,11117.85188021797,165.05456222744164,603.1810530206228
05_10_2007_22,0.08105994694896711,0.0,11010.169288914476,183.06647408449854,729.9661868379802
05_22_2007_05,7039.727835854082,20.018952441874582,11562.595892331577,162.84456996780295,745.320596456861
06_12_2007_23,0.0,0.0,6722.885978515324,89.492667097084,359.46406262375183
07_18_2007_12,6710.75712283321,1584.683455488549,4748.50053423738,35.2100115192966,287.89075032731637
07_23_2007_19,106.650301965415,0.0,11189.267630185157,117.2715200611944,755.834342540229
07_25_2007_01,6004.43845055422,50.67583578090856,9380.14187694993,106.40444904462102,660.8705614674473
07_27_2007_22,0.0,0.0,7218.383339275366,5.523258690025848,70.28605890750364
07_31_2007_00,5790.4624782699775,0.0,18604.247859856376,283.2994969512346,1186.750296236044
08_15_2007_13,126.89676784685612,0.0,4524.317835414612,32.06516586789141,182.63674041658203
08_22_2007_08,0.0,0.00460943097237194,4203.960592352477,34.4273443828049,169.78716681083418
08_22_2007_21,384.33395694765386,1735.1229938581496,3768.8440226823222,23.141364682927737,171.2221161918348
08_30_2007_03,0.0,0.0,10953.427100055367,123.14803629444438,516.3979183748295
08_30_2007_21,1165.009703743501,288.8571491727051,9931.421575175229,95.04329756924962,615.3692618558482
09_26_2007_12,8699.288863235155,246.92704419965492,2617.5949562595824,20.199187159927817,130.582961957982
11_12_2007_20,0.0,0.0,9639.413612996734,80.30087993369584,334.06393347631604
11_13_2007_14,3014.4900456420355,411.2948095102143,3917.7162270671042,25.145040003620657,165.35737106818837
11_16_2007_03,144.35100561108197,0.0,6113.457894665057,55.38108661655363,246.5797252079849
11_17_2007_20,12.41557000710496,0.0,12695.18464882874,153.45112631257928,741.4651209785742
11_19_2007_15,0.023063719474103985,0.0,12534.176136638665,84.66461085919198,214.51308305534974
12_11_2007_21,0.0,0.0,5273.875338618887,59.575418849496145,249.9852332048907
12_13_2007_10,0.0,0.0,9460.22565020842,77.01076455975345,281.4687067164638
12_17_2007_20,252.73596732293126,297.6279717940131,4003.7353833357693,41.23325872898775,257.76595262329715
12_24_2007_21,276.03233964491335,2.8054869629920414,6818.837707362527,62.67959756010117,441.6779152644981
12_27_2007_17,5446.56080445735,960.5155937570877,8007.9003004718825,93.85126494588596,572.8180203448728
