,rr time,fl time,perf,objective
central_09_07_2023_15,15.118280652997782,3.4497982817502515,0.0,27340.188235645273
central_08_18_2024_22,6.818758166002226,6.440297437919494,0.0,43154.29746974486
central_08_16_2024_18,8.323478240999975,5.116828801080264,0.0,44120.60267979842
central_06_13_2023_17,6.104006796995236,1.9046483518803143,0.0,24825.818548737847
central_07_30_2023_17,6.841994893002266,3.5364093456280603,0.0,27830.026410697308
central_06_06_2023_03,5.618695368997578,5.099613028245242,0.0,33821.85078915491
central_05_04_2024_02,7.4310890340057085,6.014465074311496,0.0,65765.63754907492
central_03_25_2023_07,5.419687948997307,4.681572241261892,0.0,32154.736369787788
central_06_16_2023_05,4.7644262879985035,3.067466762172036,0.0,14050.35529911103
central_06_18_2023_01,4.93479145099991,4.874628059920117,0.0,38199.779042027614
