,flood,cso,wwtp,tank,pump
testall_0,6841.740043846454,3462.2068546101227,-827.591694274292,4000.0,146.7538518980789
testall_1,11508.698797915642,3997.8081683143578,-888.7382886995382,2000.0,162.92417153786067
testall_2,18601.560410231323,5097.660435880213,-1052.7696739558344,8000.0,207.92579465632718
testall_3,20259.910855071575,6156.631652782467,-1168.404079055864,8000.0,247.10560940465516
testall_4,10627.480517170548,4071.655999967381,-933.6606128881178,6000.0,165.39940740715906
testall_5,33388.98097608615,5981.267171516418,-1214.7327537462734,27000.0,254.18866306254256
testall_6,4819.108942996029,2922.262376361901,-704.976778901697,8000.0,123.90040285385321
testall_7,2751.1641449172703,1877.557520964971,-713.6409877462829,6000.0,92.09743190644214
testall_8,5791.236032643708,3634.840240301029,-850.3150509790933,3000.0,148.43805361935586
testall_9,1910.8794362959961,1518.5774555981707,-620.3056469287849,5000.0,71.64821899661004
testall_10,20645.49531918144,5502.019447462763,-1120.2205252389676,7000.0,221.94516687767864
testall_11,3867.173110558813,2931.0828911733242,-733.3181239775263,6000.0,118.49179274236677
testall_12,7691.779860766679,3413.0711322201814,-836.6507220780961,5000.0,149.6727758221342
testall_13,33749.557374896,5945.691247401647,-1188.8238438170488,22000.0,237.32551228044753
testall_14,21309.588269451026,5024.72485064976,-1093.5513671725314,6000.0,214.93509477895014
testall_15,22016.28454881454,5548.250403244745,-1106.6105663713624,10000.0,225.4878590670117
testall_16,7083.268780638666,3443.8819244823835,-778.365851948823,6000.0,137.61376776194732
testall_17,1482.0141798541695,1336.2420190769203,-600.3100930573652,0.0,65.38625154210426
testall_18,4315.70343540858,2952.1526387039435,-686.7875788690419,4000.0,118.92980105747043
testall_19,24911.55095279659,5479.373527355545,-1165.096442102158,8000.0,236.76069608976894
testall_20,1297.007290796977,1313.62649419333,-598.6553067453028,1000.0,65.53275821680798
testall_21,27942.377475079298,6139.256066753791,-1170.1176289220507,9000.0,246.74838346852096
testall_22,1678.7156592829172,1308.925141690885,-621.1187297363803,4000.0,66.90251943613882
testall_23,354.73996020593194,459.0972800813963,-660.5855861956884,0.0,40.261826694553605
testall_24,37659.44166894944,6570.877524970558,-1273.7511009882755,48000.0,270.0074958112389
testall_25,2699.598284072942,2491.2952030111983,-620.5836977923321,3000.0,100.82041528188257
testall_26,42608.16615594321,6323.61280286617,-1282.3984477535446,41000.0,260.3121278665198
testall_27,8226.444032274127,3445.807261064281,-818.6006982853557,2000.0,145.82910628796822
testall_28,8614.194262852636,4693.414153614973,-989.9201736763985,3000.0,195.78770008114333
testall_29,2365.999776552624,1924.3428487421097,-712.1010820281663,0.0,90.00059472831784
testall_30,15181.82467079034,4720.671703241206,-1051.5933753104641,6000.0,199.60031937305007
testall_31,15749.5966819665,4841.348576536964,-968.6794832123387,7000.0,192.16100648483751
testall_32,7969.328004681246,3512.6613521794256,-854.4571619342821,3000.0,151.11959479284124
testall_33,25249.798435328918,5808.77662854196,-1137.071242611111,11000.0,237.78638991707678
testall_34,28108.936872485083,5759.541039113235,-1191.2093317975787,11000.0,245.252188011014
testall_35,45929.846270988455,6749.222020775203,-1314.0758296006543,50000.0,275.6253650419081
testall_36,22839.18074870127,6078.099929385282,-1179.0743313433813,8000.0,241.05512911021282
testall_37,31156.738626909922,5484.254417849092,-1155.6353680106572,8000.0,237.18824100604277
testall_38,22485.760795290054,4906.311125624554,-1052.9111501677999,7000.0,207.96919175281363
testall_39,1634.7773632766707,1632.9482371524887,-628.1081235897071,2000.0,70.83339652970314
testall_40,8615.671232953078,3805.4645958510946,-890.4313496190343,3000.0,163.5365488279562
testall_41,26479.850226871495,6027.610257309762,-1234.259229261352,23000.0,246.16941835304357
testall_42,21068.331215542006,5139.789155180309,-1046.1827896869208,10000.0,216.1200191277198
testall_43,6757.159031754052,3321.116223887057,-751.4649373744026,4000.0,134.92460645180364
testall_44,7646.897012895161,3552.078176081777,-874.0421680977873,2000.0,159.7745742170663
testall_45,14491.750140142005,4091.449227670745,-941.8357980492201,6000.0,166.51143790970525
testall_46,22245.897568940913,5484.237582667259,-1145.4040914897773,9000.0,235.36082234911265
testall_47,8469.590010404678,3455.380030125184,-790.8772784880083,6000.0,139.15734101116334
testall_48,14621.113835018197,4459.3241871885375,-930.8462655723482,7000.0,182.1161558513943
testall_49,23587.05034548702,6084.330607898853,-1186.2762566560286,11000.0,243.31018231322065
testall_50,27162.757325015085,5613.975485444965,-1133.5772677423286,7000.0,235.80701567849758
testall_51,2132.5260902339332,1771.8750501272398,-661.3501163649962,2000.0,78.33709307074724
testall_52,10208.87797924616,3960.52878543125,-880.2221769983914,7000.0,169.48493512009276
testall_53,17044.234035799476,4936.380239875689,-1054.484726577097,6000.0,199.60129836865963
testall_54,24636.00867594801,5820.8067935603995,-1179.8949755291446,9000.0,238.12424195113323
testall_55,24391.70261628732,5438.735629818575,-1138.8765441135415,9000.0,226.87885444816348
testall_56,33839.867778395346,6671.236067941578,-1268.893119433368,47000.0,269.06526282087566
testall_57,6975.910543851303,3995.009596533312,-875.6974232334817,0.0,158.92479108860726
testall_58,8870.451773002564,3953.653504705349,-886.151530616735,6000.0,172.20261182569342
testall_59,4033.563470847467,2837.347455620644,-661.1502322123152,0.0,112.02483679571556
testall_60,2221.915514602664,1878.2037274275726,-697.8566978956724,1000.0,86.67993913195335
testall_61,9012.746211127442,4110.9181149024425,-933.4124548308075,8000.0,166.9481946449637
testall_62,21552.352365869916,4787.148183163478,-1016.9152369101287,5000.0,207.8032871657852
testall_63,5779.431597926477,3499.1905759448855,-816.9445735565967,0.0,146.12140441835425
testall_64,45260.86432928235,6681.794144233494,-1303.7337765571972,43000.0,269.65109131834583
testall_65,13538.590450378095,4763.8680752638575,-996.3667936695163,2000.0,192.35607646916068
testall_66,6296.895994536569,3142.1105037893835,-766.2001814426616,6000.0,127.72869513522451
testall_67,23564.544645711907,5711.873429868845,-1173.648718440918,6000.0,234.36489179416265
testall_68,6210.748686061967,3303.2807850671793,-784.5598769464077,6000.0,133.83992028124624
testall_69,11729.504639518458,4424.530470929376,-952.8995084085395,2000.0,179.87430901307062
testall_70,11594.092677052933,4169.406887429966,-887.6295899519657,5000.0,168.73773483887754
testall_71,9169.941660629509,3541.186995443263,-808.2550165013577,5000.0,154.5859869583891
testall_72,10498.441583202983,3773.9289291703194,-874.2608889647136,7000.0,158.59032183135042
testall_73,15550.461978067373,5164.800382644661,-1044.5733283147677,10000.0,217.01630725922854
testall_74,4739.581056132375,3375.3320273608115,-782.0750318958748,4000.0,139.23974020469194
testall_75,55439.4797016984,6970.854963861633,-1365.580433530963,68000.0,286.56370648115757
testall_76,20431.465189231985,5447.0607975227895,-1131.7782988496515,9000.0,226.66085450501967
testall_77,13457.465597692715,4868.35453843044,-1040.6485247532564,9000.0,204.53921956437603
testall_78,28499.026896167852,6042.502170535645,-1173.8130507319452,11000.0,240.94394367609613
testall_79,6892.938362046163,3471.589330736666,-815.4019914984924,7000.0,141.75117131449292
testall_80,22210.322769243572,5451.4503506639885,-1145.2288264411384,8000.0,226.97603441391794
testall_81,6169.162148739068,3163.5480083613775,-723.239762249268,2000.0,135.37374912255214
testall_82,10955.102016008248,4052.7411965664437,-823.6876193984925,2000.0,163.36151640508703
testall_83,17559.528084433063,5614.727247183568,-1088.0231417537539,10000.0,227.9052167743388
testall_84,4349.6160653744255,2952.5362964236974,-792.1199256258681,0.0,127.74938688385822
testall_85,3486.2699829503176,2305.3138169718745,-728.2208000386264,0.0,113.07998348139438
testall_86,16443.226563570784,5499.486868163468,-1105.5032871912074,9000.0,226.9419026184786
testall_87,27726.743015966025,6069.832881300041,-1189.6626345772363,20000.0,243.45902601540507
testall_88,9763.347418642,3520.713250293827,-861.6957502975317,5000.0,149.92981273199746
testall_89,5894.206737089124,3278.0748052046783,-751.0818452896701,5000.0,131.35843449895987
testall_90,20398.338682325724,4789.898124942439,-1108.0975032964172,12000.0,207.02455657443056
testall_91,4144.098806037263,2938.0462036793706,-730.7526391823794,6000.0,125.9082218925989
testall_92,9897.682981532516,3846.7339662683803,-957.4064420406437,6000.0,167.21699905392484
testall_93,1525.3367338538023,302.2895329179498,-729.388575768685,0.0,48.397544266754586
testall_94,7084.982383737104,3660.439822217277,-868.1851966065915,3000.0,160.22505555119406
testall_95,17480.236913102326,5391.194519638694,-1091.6529832618583,8000.0,219.16328304495767
testall_96,34937.20752233076,6550.915715910409,-1241.8141428073216,33000.0,269.60587708873305
testall_97,1886.3360417490103,1571.5838634730126,-700.9155452215025,0.0,80.72288474951053
testall_98,3169.5589831029088,2703.1884894835466,-712.5262470868136,4000.0,109.09398032469312
testall_99,32602.302066004322,6117.7095608596555,-1259.0721679468124,29000.0,254.67361689347527
total,1505728.9549873355,423789.73597262637,-95072.26581835972,925000.0,17707.319999227937
