(storm) D:\Zhiyu\GNN-UDS\surrogate>python maxred.py --env chaohu --act rand --pop_size 64 --processes 8 --rain_num 100 --rain_suffix chaohu_testall --result_dir maxred_all100 --termination n_gen 100
MaxRed configs: Namespace(act='rand', crossover=[1.0, 3.0], directed=False, env='chaohu', length=0, mutation=[1.0, 3.0], order=1, pop_size=64, processes=8, rain_dir='./envs/config/', rain_num=100, rain_suffix='chaohu_testall', result_dir='./results/chaohu/maxred_all100', sampling=0.4, setting_duration=10, termination=['n_gen', 100])
Runoff time: 46.26052403450012 s
Minimizing
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min
=================================================
     1 |       64 |  2.454623E+04 |  9.227744E+03
     2 |      128 |  2.019919E+04 |  8.432942E+03
     3 |      192 |  1.785370E+04 |  8.415842E+03
     4 |      256 |  1.561789E+04 |  8.415842E+03
     5 |      320 |  1.438620E+04 |  8.415842E+03
     6 |      384 |  1.238707E+04 |  7.914681E+03
     7 |      448 |  1.101366E+04 |  7.540747E+03
     8 |      512 |  1.029383E+04 |  7.540747E+03
     9 |      576 |  9.535915E+03 |  7.540747E+03
    10 |      640 |  9.096051E+03 |  7.079942E+03
    11 |      704 |  8.792171E+03 |  7.079942E+03
    12 |      768 |  8.312178E+03 |  7.079942E+03
    13 |      832 |  7.836853E+03 |  7.079942E+03
    14 |      896 |  7.486674E+03 |  6.946233E+03
    15 |      960 |  7.290603E+03 |  6.851451E+03
    16 |     1024 |  7.176215E+03 |  6.851451E+03
    17 |     1088 |  7.109453E+03 |  6.808717E+03
    18 |     1152 |  7.035748E+03 |  6.808717E+03
    19 |     1216 |  6.979988E+03 |  6.804752E+03
    20 |     1280 |  6.917641E+03 |  6.693215E+03
    21 |     1344 |  6.849125E+03 |  6.684685E+03
    22 |     1408 |  6.802854E+03 |  6.648682E+03
    23 |     1472 |  6.749215E+03 |  6.540124E+03
    24 |     1536 |  6.690496E+03 |  6.540124E+03
    25 |     1600 |  6.634633E+03 |  6.494335E+03
    26 |     1664 |  6.577708E+03 |  6.473548E+03
    27 |     1728 |  6.543144E+03 |  6.457893E+03
    28 |     1792 |  6.516683E+03 |  6.449164E+03
    29 |     1856 |  6.502708E+03 |  6.449164E+03
    30 |     1920 |  6.491579E+03 |  6.389891E+03
    31 |     1984 |  6.477611E+03 |  6.346436E+03
    32 |     2048 |  6.454063E+03 |  6.346436E+03
    33 |     2112 |  6.436564E+03 |  6.346123E+03
    34 |     2176 |  6.405378E+03 |  6.346123E+03
    35 |     2240 |  6.384207E+03 |  6.337770E+03
    36 |     2304 |  6.366698E+03 |  6.336236E+03
    37 |     2368 |  6.360461E+03 |  6.329157E+03
    38 |     2432 |  6.355579E+03 |  6.329157E+03
    39 |     2496 |  6.351125E+03 |  6.329157E+03
    40 |     2560 |  6.346379E+03 |  6.325102E+03
    41 |     2624 |  6.342948E+03 |  6.325102E+03
    42 |     2688 |  6.337862E+03 |  6.232005E+03
    43 |     2752 |  6.335681E+03 |  6.232005E+03
    44 |     2816 |  6.333352E+03 |  6.232005E+03
    45 |     2880 |  6.328154E+03 |  6.208570E+03
    46 |     2944 |  6.324945E+03 |  6.208570E+03
    47 |     3008 |  6.318114E+03 |  6.208570E+03
    48 |     3072 |  6.310362E+03 |  6.205211E+03
    49 |     3136 |  6.295542E+03 |  6.204653E+03
    50 |     3200 |  6.277996E+03 |  6.202691E+03
    51 |     3264 |  6.257400E+03 |  6.202691E+03
    52 |     3328 |  6.234806E+03 |  6.193297E+03
    53 |     3392 |  6.216075E+03 |  6.193297E+03
    54 |     3456 |  6.212030E+03 |  6.185918E+03
