,flood,cso,wwtp,tank,pump
testall_0,5295.66655836935,2058.1238782310766,-851.2499700778187,4000.0,79.75461618361554
testall_1,9961.526397441436,2580.838078767636,-911.8719347496356,2000.0,102.76554530296193
testall_2,17852.063848196754,3878.8656467841333,-1009.5126344363524,6000.0,158.4873474578075
testall_3,19074.21245993487,4915.194242021654,-1137.2678288010957,16000.0,192.08999881699157
testall_4,9358.523796161106,2690.428831962909,-944.6238749220777,7000.0,110.41567584802982
testall_5,31294.860653775344,4866.495752255726,-1205.7602129476813,7000.0,196.0790340114073
testall_6,3282.084830807236,1017.4260053630652,-829.3265156065935,5000.0,49.596833771275755
testall_7,1278.278772657173,889.6905885717135,-805.8889913829854,1000.0,38.772012757207435
testall_8,4548.354155886043,1951.9227051572382,-921.5901863476802,0.0,84.8260221214824
testall_9,971.342219533452,600.1597523227503,-721.769496623796,0.0,36.47767195826213
testall_10,19385.995294338005,4113.625485734217,-1088.2892644280882,4000.0,169.01641894589036
testall_11,2275.6066643708446,1184.4579752584773,-868.6833561258567,0.0,45.96727468512036
testall_12,6480.130750764771,1669.5033483970194,-906.6891347700036,9000.0,81.97744848996531
testall_13,32173.1851492078,4630.373945998746,-1161.4461017406074,12000.0,189.47444983520538
testall_14,19698.195232033835,3749.459382080864,-1054.0724012156572,8000.0,148.8300042331904
testall_15,20684.00132800922,4173.102497116996,-1152.7971056976394,0.0,175.88431456519086
testall_16,5686.1289495711935,1629.5484653721765,-882.6507328534746,3000.0,67.35146928242102
testall_17,679.1990626211897,693.5216299642896,-700.232906144322,0.0,37.93880802388976
testall_18,2911.636235155376,1177.4055924366037,-836.0040804298251,0.0,55.674352950683854
testall_19,23027.078707068376,4601.057100115749,-1131.5482860301477,5000.0,184.93051095977938
testall_20,597.3830289755222,733.1891071104956,-686.8718257730802,0.0,36.88449131327495
testall_21,26388.694356452965,4664.507276897807,-1213.5113591012416,20000.0,202.25196559925516
testall_22,655.4649047910112,765.3500635178398,-740.7996125478144,0.0,38.740068063957246
testall_23,109.63841125610277,444.2040714759138,-668.2081343249977,0.0,34.67721778443294
testall_24,35890.25860174531,5149.941864688188,-1278.5867882845112,38000.0,212.48894768027006
testall_25,2015.4100329757782,841.2989524834833,-730.032874851551,7000.0,40.16924269059354
testall_26,40891.87278061505,5164.31814150952,-1257.3320559390695,36000.0,209.9333547026975
testall_27,7007.637807139245,1696.3601598744965,-891.5638695149603,5000.0,78.62323164726217
testall_28,7022.022280180323,3192.2836889024593,-1019.6849679752888,2000.0,129.78744636664854
testall_29,1084.16702635463,841.0158093474367,-725.6905255452051,0.0,32.10820530797548
testall_30,13586.532520413853,3305.5917012831524,-989.352080088456,6000.0,122.06321646141447
testall_31,14821.2458389696,3151.618508753585,-984.8964816105022,12000.0,131.36911359780157
testall_32,6251.315896906894,2139.104291852261,-907.545741686894,4000.0,87.07133911192486
testall_33,24116.379899016316,4576.064527864079,-1150.1846118924063,7000.0,179.5865784146859
testall_34,25970.61022445693,4604.309204618394,-1225.5907254709418,5000.0,194.25238150413543
testall_35,44462.16180010638,5395.428446882018,-1287.9949675372086,47000.0,219.27779834181794
testall_36,21360.304407601045,4550.287120839557,-1145.3602191921123,7000.0,185.52912834504195
testall_37,29633.010607433833,4511.120145517595,-1160.278296418195,27000.0,182.79931513488663
testall_38,21079.050355955766,3674.1007952368077,-1044.2708168927122,11000.0,148.35109368268624
testall_39,759.1932110488515,818.889837781282,-706.4102495645252,0.0,35.132448989083215
testall_40,6919.1085954248,2651.58369884651,-886.1953733449477,9000.0,107.03645238886492
testall_41,24539.91712360245,4916.635469267161,-1187.5860392056165,26000.0,186.86979338107753
testall_42,19257.561778052215,4174.919874481711,-983.3783325371835,5000.0,158.01760920606367
testall_43,5379.640248639304,1673.3529946235185,-791.5459554433178,0.0,68.4064384163285
testall_44,5689.951059814768,2224.62752441266,-915.7976520261651,2000.0,89.18263720456082
testall_45,13238.24908356481,3058.8666382757374,-900.7105768503457,5000.0,121.83920175530511
testall_46,19707.941822235258,4618.9410446013635,-1143.5913482037658,0.0,176.66313985320159
testall_47,7194.353744607748,2167.4296426470205,-778.5414016887567,5000.0,81.33544512575628
testall_48,12809.560680307179,3177.2043735504303,-963.5471013818567,0.0,118.8261321198873
testall_49,22036.60803868485,4505.217447610956,-1120.8914010209778,7000.0,179.43617312539243
testall_50,25897.61419143278,4282.1908369107405,-1088.9671211692848,4000.0,179.24352257818987
testall_51,1140.0660831068833,834.9977031465626,-616.6566186761935,0.0,25.789529205793848
testall_52,7906.510149481082,2891.851795701513,-858.3540645272799,0.0,110.2457797747548
testall_53,15191.710520580325,3694.354803716423,-994.3729266879142,4000.0,145.9674883454939
testall_54,23393.208722967312,4198.330947729555,-1129.2993362301443,5000.0,177.32961685978978
testall_55,22912.694655231688,4403.055740862825,-1054.0757107713591,2000.0,176.07502175567294
testall_56,32465.30574823059,5388.656849150141,-1226.744495453377,44000.0,218.9906902816544
testall_57,5638.085782415228,2334.236577780256,-795.8989282679382,0.0,80.69844256950856
testall_58,6825.966310456223,2902.0819613718736,-842.1201079452068,2000.0,108.12836125126381
testall_59,2874.0127092018847,996.712658162488,-736.104666708467,0.0,47.274662156866306
testall_60,1226.5573574414955,884.245909622897,-616.9296285260075,2000.0,30.512678401120333
testall_61,7254.138527908347,2902.84844083955,-875.4388578758346,2000.0,104.85462920820292
testall_62,19794.63621682284,3418.9221374928843,-1044.984428660102,8000.0,145.50590389322304
testall_63,4077.2637013895437,2063.3294459183267,-807.9440735607511,0.0,77.06283205535138
testall_64,43832.46698937167,5169.094709606325,-1252.4608778783522,40000.0,209.0404508091975
testall_65,12312.523876027553,3109.8703822361376,-977.8665809476337,4000.0,121.83124806022869
testall_66,5014.307521591972,1711.7116353851227,-736.3059832403533,2000.0,72.34944554812807
testall_67,21823.11425184509,4483.1728806183855,-1112.9052025190686,4000.0,179.37635102893822
testall_68,4918.542606392144,1658.2434163788866,-761.8188243915076,0.0,67.86053351384504
testall_69,10249.70759186706,3296.8387325730037,-848.8779339404739,3000.0,121.14178565114707
testall_70,10321.49889268509,2589.240462608418,-866.5873946426534,6000.0,104.87167024451867
testall_71,7263.871704377003,2106.5719978128636,-791.9250212049516,3000.0,84.27876734389073
testall_72,8683.252199933026,2610.4291553372227,-869.0032609170046,0.0,100.67766523463895
testall_73,14105.893845001594,3891.6729389699763,-954.2472980291427,4000.0,152.70050442350475
testall_74,3091.044969614144,1699.0202651927145,-823.7499237952771,2000.0,68.35359174160777
testall_75,53530.539714425315,6125.337239160803,-1344.2819972110383,47000.0,245.73229493525736
testall_76,18846.36966563938,4347.543512508493,-1131.3673353433542,4000.0,173.7058692540694
testall_77,11093.475327528793,3979.7965253368898,-1059.6305757605828,0.0,144.33398219355044
testall_78,26698.26343370624,4769.738617970878,-1219.4307762059934,0.0,191.1444957202031
testall_79,5449.663984585088,2087.335929689023,-866.227052919865,0.0,82.89301545722563
testall_80,20009.11122143376,4477.276843251671,-1197.7830635388752,1000.0,170.7530378910814
testall_81,4487.794145454147,1674.7595634611769,-751.1161962361994,0.0,57.6182830811768
testall_82,9300.815137014093,2640.1044364331674,-881.4214005654355,0.0,98.61608040825578
testall_83,15988.54416040039,4024.753182151003,-1137.5725784207857,0.0,158.535776260973
testall_84,3186.0989588364846,1527.8427413482277,-806.9620765171112,0.0,57.28288842683797
testall_85,1455.5364031206507,957.3733085477897,-823.3167736367932,0.0,30.29316997295792
testall_86,15083.637949989876,4053.33318133553,-1113.3021104699405,1000.0,166.48822818745612
