,flood,cso,wwtp,tank,pump
testall_0,5100.914992746529,1542.9819107842998,-832.2852156437564,0.0,57.33489814407886
testall_1,9186.144973860362,2285.4109098014574,-935.7086521656468,0.0,78.8630052282486
testall_2,16806.670765325933,3368.099500200912,-1063.3381603774153,2000.0,138.43171165814067
testall_3,18519.70515335601,4170.084985179276,-1172.9411176819672,32000.0,165.65601834144726
testall_4,8466.651412940102,2205.5480945341783,-960.5982731496554,0.0,76.25611263358242
testall_5,30892.899314295242,4167.768678727752,-1230.8500719134495,23000.0,169.0037880320312
testall_6,2752.7825887139957,907.3272335806415,-809.4708729605197,0.0,43.06434376467136
testall_7,979.3668963202788,838.9027214168686,-789.5518583631629,0.0,31.533178042695827
testall_8,3840.65664531415,1522.405878973451,-924.4236349388287,0.0,54.969315266489716
testall_9,757.1443750431392,681.7192499902798,-711.655113921323,0.0,30.88741343511184
testall_10,18039.880625955473,3667.847604943083,-1097.988453311752,8000.0,144.03269811712397
testall_11,2091.432247083074,1199.2180872552522,-855.3900288104115,0.0,38.25781882767275
testall_12,5547.526561280569,1445.0532674619371,-926.0329096659198,0.0,64.91048823080138
testall_13,30369.99887236584,4635.253792646834,-1180.0819097990097,7000.0,164.70010313296558
testall_14,18657.02741677356,3548.8507007153744,-1060.5292291196758,2000.0,125.89915996030291
testall_15,19849.69695093118,3669.4853901596734,-1163.3240128882308,9000.0,149.18355345148646
testall_16,5208.41056457726,1187.5970625615378,-865.136474994232,0.0,46.040555726180656
testall_17,660.7377383825456,601.8911158668294,-692.229205107906,0.0,29.148668351907197
testall_18,2842.3782496637964,840.1009649277564,-820.0506275987632,0.0,39.2641343610387
testall_19,21990.664324339232,4445.909390885424,-1136.6716139796952,5000.0,172.03269464150029
testall_20,581.6873331308268,603.9025977328777,-680.4194916542524,0.0,33.24489987029888
testall_21,25578.131108224385,4182.122752525224,-1221.2481227764858,23000.0,175.69908796346627
testall_22,518.7430220563367,659.9646053159037,-730.2008896850111,0.0,29.49654582214035
testall_23,75.56205276993981,427.0562722332628,-658.1106803011571,0.0,32.025761093195065
testall_24,35270.63919642699,4774.6221686278805,-1295.2865446763424,48000.0,179.37587902490145
testall_25,1667.2401808588543,968.4989124821575,-730.2108394220749,0.0,40.54683552428456
testall_26,40072.176878389306,4642.026359638046,-1308.8895273515095,31000.0,179.93917523470822
testall_27,6467.233182557904,1136.64881887525,-908.0627008545426,0.0,47.35028299334214
testall_28,6281.158205342847,2819.053537329528,-1043.1230351507384,0.0,99.63593215194186
testall_29,912.5687650894179,843.0816971730127,-725.6258623130902,0.0,36.268725292500505
testall_30,12286.957885831527,3059.604278293411,-1030.7829414930168,0.0,109.40974673604973
testall_31,13228.680224889504,3101.877338700763,-1009.2312457398732,0.0,104.81289579320203
testall_32,5587.5933189099915,1888.561334463407,-901.6389661593878,0.0,71.18939841310024
testall_33,22874.72723085219,4284.134689843524,-1159.6533869346479,2000.0,158.61089877291295
testall_34,24709.070506444343,4504.124170511558,-1244.2055654376259,0.0,184.191809976669
testall_35,43435.48556565508,5290.254240503759,-1294.1200474828515,46000.0,206.1193294221402
testall_36,20109.828915509337,4497.048220075665,-1171.7053949031542,10000.0,172.51146097137564
testall_37,28294.92325269456,4259.401465253795,-1162.7537028565212,21000.0,165.61194685622243
testall_38,19909.2644111295,3180.929537576574,-1101.94789199312,0.0,123.33118632707934
testall_39,744.2034909823326,692.9586192299954,-703.8725044391138,0.0,31.59347650898929
testall_40,5952.5560875293895,2252.188882016807,-917.3698550104955,0.0,73.97308698483485
testall_41,23160.58761222899,5104.841126993217,-1193.8029520081582,21000.0,187.42374432860285
testall_42,18282.217314443766,4035.827610201615,-1026.6435261909671,0.0,128.9814540130957
testall_43,5150.653824545432,1129.8520968660748,-775.8102189791596,0.0,34.76952020496665
testall_44,5286.297932932643,1820.5537368792272,-934.9638399249395,0.0,67.72175936036359
testall_45,12061.916538046482,2552.109317247,-923.9214909892255,0.0,93.7095967984722
testall_46,19153.00215744294,4296.004898764951,-1160.8421024986703,9000.0,160.85944714357544
testall_47,6607.0969167442245,1701.774844350034,-795.4976708567903,0.0,58.624584223985714
testall_48,12248.97080657016,2402.985813581691,-1012.893218227143,0.0,92.01380108597914
testall_49,21661.90096560606,4064.3375852569907,-1128.9266887685899,50000.0,153.94265797768685
testall_50,25238.06574772065,3829.070568175052,-1106.174691920771,26000.0,158.544380843252
testall_51,1062.293622391956,765.82811078176,-616.2441430557367,1000.0,25.911309053368825
testall_52,7489.801435938387,2358.060383457596,-865.3525692246787,3000.0,91.66474106044163
testall_53,14184.2951656946,3422.1100191267765,-1016.9502253867174,61000.0,125.33786070269738
testall_54,22671.118188599994,3799.4003622895334,-1134.2903466890357,48000.0,160.01166784269242
testall_55,22034.70361082702,3995.846647798024,-1106.157265282096,23000.0,150.19336103157863
testall_56,32775.71918753486,4539.469283449027,-1230.1175351698212,71000.0,171.6157203205867
testall_57,5299.149371485471,1970.312902369461,-791.4903886370371,9000.0,57.284825082667005
testall_58,6332.902128456898,2331.8116789334867,-854.5308128162217,14000.0,87.22097390545989
testall_59,2765.818952455719,695.2747902282831,-719.4770668613579,30000.0,32.225368978411325
testall_60,1144.4790031576808,731.6032995852468,-594.3614524199244,118000.0,22.44872543582394
testall_61,7081.894106320459,2466.5157859990195,-849.6863997191097,75000.0,83.83399619403764
testall_62,18895.61127577556,3262.5633530904106,-1048.2787057645112,12000.0,127.22355514926382
testall_63,3830.8211932556937,1627.479014502515,-790.4062701601249,44000.0,52.25311124149042
testall_64,44458.30054759721,4360.037849681521,-1250.4324252070282,112000.0,160.7166366538964
testall_65,11594.404629050483,2807.486993821778,-987.063212139486,57000.0,97.56610611814756
testall_66,4899.340159255149,1241.3205211836323,-717.2014179083315,67000.0,48.140737522083626
testall_67,21078.907466048768,4366.517083033494,-1104.1026299099485,25000.0,161.83520115720503
testall_68,4767.593097233222,1166.9851001854013,-747.6721564234058,27000.0,46.21765196812709
testall_69,9553.44173285599,2736.1510238238498,-885.0592171254839,24000.0,91.03716074803147
testall_70,9683.32733279698,2242.7762199153576,-876.1318355003486,25000.0,87.82427656689686
testall_71,7028.607294943544,1614.466862078747,-778.0643566511042,78000.0,61.95102699578597
testall_72,8253.460449091908,2114.85795640189,-909.4321880989188,10000.0,85.80240302218343
testall_73,13496.58025173982,3481.401591123844,-991.1316519643806,10000.0,136.3237500823975
testall_74,2824.5153135545333,1276.6587626908783,-806.7114529443511,47000.0,50.30625605751584
testall_75,53434.846752984835,6103.023776064391,-1344.5542086028208,45000.0,245.29960179796356
testall_76,18675.233588790798,4400.198969087463,-1107.6845304258782,0.0,171.38051440035028
testall_77,13426.683645467176,2358.6748949859825,-1041.611090965239,76000.0,86.6407438210978
testall_78,31280.03809050672,2002.1433349598863,-1186.1941848997276,121000.0,76.22017711824594
testall_79,6052.581881977279,1244.5118212177454,-834.2567889957636,114000.0,50.753170471863605
testall_80,22229.846565280535,2792.9937778930985,-1158.9650302162927,246000.0,112.54024101575727
testall_81,4772.893374409574,1247.2332478255896,-733.6241761867002,16000.0,46.67449182209907
testall_82,9538.566025175816,1924.0393721565224,-853.144774983717,33000.0,74.8260351700565
testall_83,19485.260699641203,1676.8584556038568,-1114.5703875613062,118000.0,69.13858883456248
testall_84,3561.739937725213,999.1916604512863,-769.9208216346353,35000.0,35.577834179913594
testall_85,1265.3871628665913,1011.7217206130689,-819.1284849260534,0.0,34.9416819969135
testall_86,17982.560789086674,1982.1842271427167,-1112.9535625722801,244000.0,89.07950314012004
testall_87,28962.851432397125,2813.8124586241042,-1152.079705574423,135000.0,109.9404218360504
testall_88,8830.268604756617,1610.5750304945334,-814.7549135253578,102000.0,59.39962767728953
testall_89,5524.0849260350515,549.8059473649223,-818.3953249271898,78000.0,31.30823141081259
testall_90,21052.983933543303,2387.088006180862,-1074.4071462079455,108000.0,88.68715456699567
testall_91,2944.097086284976,701.2920820053907,-774.8045408176303,222000.0,30.97863267509075
testall_92,8274.154657846395,2232.690302830987,-909.8817886099234,179000.0,75.41525428360195
testall_93,639.6205972973469,397.18665767425193,-685.298842930762,196000.0,28.44994198004843
testall_94,6563.6647180001655,1338.6984445750231,-884.6365149843614,231000.0,56.99741803921398
testall_95,17485.774004229672,2306.7211072163855,-1137.9276593130094,78000.0,90.41834404209288
testall_96,36152.52178898156,3014.2057314546846,-1228.3816953793926,114000.0,107.89098792761537
testall_97,1719.1066653236119,245.8404267165838,-685.4596846693212,205000.0,19.137582906471025
testall_98,2198.967638797623,647.8568421220791,-704.9776007638077,20000.0,25.618923162730752
testall_99,34570.00800556185,2672.1889959882974,-1190.4306259776408,103000.0,110.06435666036008
total,1345800.6593898537,243972.5475241323,-96094.58284410108,4185000.0,9353.324850888921
