,flood,cso,wwtp,tank,pump
testall_0,5363.012279927682,1140.5305900471913,-918.9001225460953,29000.0,67.13915056634573
testall_1,10142.782601535024,1425.4411614204903,-974.5036285897573,47000.0,72.5219697479678
testall_2,17128.542027479438,2864.753673961053,-1141.5016757339647,77000.0,105.4413036138761
testall_3,19319.49334778854,3498.1086319821966,-1359.5285946636438,103000.0,151.52607947424085
testall_4,8979.193863651188,1673.0438177870383,-985.0796339827855,37000.0,75.76154160444315
testall_5,32336.35563798478,3427.119440470914,-1354.9329606045792,130000.0,147.41101063026272
testall_6,3367.8514774119976,803.4371862494902,-819.0495681222237,17000.0,47.96559141952453
testall_7,1443.7476812074015,765.2615246796199,-722.5730852625856,15000.0,51.557842080639674
testall_8,4304.207094192107,1290.690191424716,-1002.1468564989336,33000.0,63.54054369472753
testall_9,1227.0495344134642,466.7279330860902,-532.5219991106029,2000.0,30.702266317249876
testall_10,19463.97196975844,2844.126694161144,-1229.2057574334171,91000.0,117.370658307973
testall_11,2532.0132441675787,1100.4291385277918,-835.9197525306954,16000.0,53.739106941806924
testall_12,5945.677560289958,1002.2504362766687,-977.7519301868203,24000.0,59.0837738239028
testall_13,33013.04594576958,3220.8610241520464,-1340.7270013155173,121000.0,132.47053370269833
testall_14,20100.534811551173,2343.669836464952,-1229.5737110814448,80000.0,109.32429956354466
testall_15,20989.69322340607,2872.56307420919,-1321.4875407069871,99000.0,121.85757601270608
testall_16,5469.814582320702,1327.8770559635716,-998.5112649104382,24000.0,69.98586595878743
testall_17,765.1448381380101,605.5024119651057,-936.9910257439196,3000.0,63.01354353443041
testall_18,3145.744599240675,873.1161552750862,-944.4286910616274,24000.0,65.54502729679243
testall_19,23788.121123107452,3146.2936396674145,-1359.3914168413394,112000.0,142.48059134423477
testall_20,618.2988984475824,669.8649092056786,-937.0506029758387,0.0,65.82665874551891
testall_21,27202.845192499368,3369.892175360541,-1383.1187612812719,119000.0,149.3143889838538
testall_22,812.3010307155997,522.9832902924703,-1010.930541374165,3000.0,63.60646923699282
testall_23,82.92044070522087,651.4105328898665,-765.2923193952861,0.0,52.49314635877282
testall_24,36873.807226392455,3870.991557483585,-1456.886258082097,162000.0,170.18188083560682
testall_25,2087.096421657017,778.2428500885965,-687.8081465107987,18000.0,50.098169229116436
testall_26,41280.130973159095,3899.3767704097017,-1353.3073009038417,136000.0,166.0495382836205
testall_27,7102.293565020296,924.0251015642743,-925.009766257427,29000.0,55.12347449100987
testall_28,7384.277444911448,1916.9997653029197,-1136.650132817418,66000.0,89.91332911761896
testall_29,1119.7876380233738,747.4541130312757,-674.7294775598814,0.0,42.06069736465277
testall_30,14062.036227768927,1960.37403422732,-1117.6576492618256,96000.0,88.45837313442729
testall_31,14456.1984902896,2289.700756982895,-1107.2797106392488,77000.0,101.49773086606487
testall_32,6749.517427725878,1223.2152179626328,-1007.5897324185204,34000.0,65.9694132380031
testall_33,24615.162883765926,2990.905509393578,-1326.2100249658151,101000.0,133.3316446343669
testall_34,27006.486301394143,3466.9821663980692,-1399.6481741748148,124000.0,151.35249107248643
testall_35,44438.24248152464,4493.610027921574,-1353.5262595181166,144000.0,186.6357838363004
testall_36,22031.12844648114,3227.9303432299885,-1374.8587207641365,108000.0,137.1603274212154
testall_37,30343.69286539193,2972.3400536529643,-1372.6339181446288,110000.0,135.48657217986582
testall_38,20985.10480971516,2382.036270302893,-1201.4794663489115,72000.0,109.86641429353388
testall_39,1027.1518910589364,683.3135993702195,-894.2391221142998,22000.0,64.33909069690112
testall_40,6727.294063487987,1593.9393142941071,-1143.4027246023402,33000.0,81.63606834701218
testall_41,24946.603484107385,3711.3828169537437,-1412.8791037772003,112000.0,158.14765915780748
testall_42,19973.032720633946,2881.9524928985047,-1285.0652732056217,98000.0,121.36369904577766
testall_43,5547.286447323817,1150.4623832759683,-920.8295168136453,27000.0,67.52438553401977
testall_44,5717.235003451803,1340.2341610856463,-1105.7462486688273,27000.0,64.78551146532823
testall_45,13153.211052488112,1566.072750274423,-1040.8785830919624,69000.0,77.73005240623111
testall_46,21252.581934360078,2960.4182996842706,-1380.891256894221,104000.0,132.70253893870557
testall_47,7070.894709288048,1023.4688264574999,-953.005633663367,27000.0,63.56591247182214
testall_48,13155.350491844893,1913.9755557389142,-1078.1059182125534,66000.0,82.60191148985717
testall_49,22730.227296243145,3381.72856288688,-1373.1005969087332,110000.0,142.65832209141104
testall_50,26162.160782501946,3257.2905692688287,-1234.4590172989533,97000.0,136.6051560751779
testall_51,1420.339833575944,502.65358050355,-721.5038794511756,15000.0,41.68728614803216
testall_52,8253.375893892382,1629.4051682485542,-1140.6696907876621,57000.0,82.45836561627202
testall_53,15903.080621021027,2304.8634036458207,-1257.2984581173605,71000.0,106.71285856183408
testall_54,23571.661459635096,3303.0231844993123,-1229.6945218401393,95000.0,127.32197396538875
testall_55,23541.50343010656,2838.5601504682218,-1344.5536292736037,97000.0,122.18011723250027
testall_56,32893.65895263595,4152.298670647742,-1306.2532573383455,138000.0,172.10609615616906
testall_57,5704.0257332170195,1247.4289429655373,-932.1369995453575,31000.0,61.980135706225
testall_58,7347.2933333459305,1453.9119308555946,-1106.5821346434948,52000.0,71.58819546774652
testall_59,3240.9801778614733,738.0778490960572,-817.7471868115825,20000.0,50.40717487288476
testall_60,1466.2705070169893,588.8393398628318,-721.9290305199936,19000.0,50.099536043974574
testall_61,7382.485162826759,1775.5822555626205,-1163.701504920098,42000.0,83.15088924111105
testall_62,20188.474035545583,2489.354280505546,-1127.7637328725098,85000.0,110.34025878319466
testall_63,4271.71997858554,1067.2694676753263,-1056.6392909732167,28000.0,64.83154230386462
testall_64,44271.27482885753,3981.878220323601,-1439.2602705381921,124000.0,172.38762290847708
testall_65,12383.855639399064,1984.178024224992,-1115.5036336847431,69000.0,94.84861505441549
testall_66,4900.58568518543,1070.617820217557,-960.6119922983652,25000.0,63.69207481115035
testall_67,22536.61278649299,2965.2935701246683,-1253.3928400151967,110000.0,128.22459055549527
testall_68,4814.160973438906,1092.6061750029107,-1011.3695658438915,26000.0,67.16059319755125
testall_69,10533.33353082604,1787.7254161970577,-1054.777365209194,62000.0,82.85014060740377
testall_70,10100.896664195596,1578.956664292944,-1071.7307380685538,55000.0,77.5736627325764
testall_71,7911.697321045624,972.0377153254411,-1040.271516143863,32000.0,71.60410677891167
testall_72,9089.27708377837,1308.2127033433994,-1046.501556311598,43000.0,74.53637906204068
testall_73,14222.291388125792,2761.2962428525493,-1209.9923807910484,75000.0,115.80399270166018
testall_74,3303.669809215451,833.7669443295932,-973.84627502867,21000.0,59.1082686126381
testall_75,54500.22185121067,4555.692953748767,-1381.3763939248834,159000.0,189.85506743672136
testall_76,19361.029113133765,2882.4652393406222,-1310.9460703956215,93000.0,124.55588069425204
testall_77,12478.42728570766,2329.400256557145,-1291.6190089532643,80000.0,114.64098193273996
testall_78,27582.890789310066,3481.242975659641,-1346.1184488142376,113000.0,148.3999175846664
testall_79,5257.864785127805,1093.3423413224793,-1037.2461812071629,28000.0,64.71835223529418
testall_80,20779.417652197066,3201.288946880638,-1288.9828729129597,108000.0,135.43710990375297
testall_81,4896.405616945741,892.791939482892,-864.7962945982952,24000.0,59.84721390775693
testall_82,9631.822179261062,1319.223973557092,-982.3237937521525,32000.0,67.75226823811084
testall_83,16322.670034112767,3079.2448737088507,-1327.9427600670278,92000.0,128.3305148458996
testall_84,3268.2308985519676,975.6092865338289,-836.7701537015496,22000.0,55.68757569843489
testall_85,1881.4899528179988,872.5781480348455,-794.1601695167293,0.0,43.00130016607286
testall_86,15415.240510364212,2769.4037569975508,-1224.8338203081257,102000.0,124.8021651895745
testall_87,27276.93634609502,3147.704521097153,-1300.6147404473359,118000.0,133.02425065650178
testall_88,8043.565297503481,1197.204986971047,-939.5502920390013,28000.0,61.13884839767129
