,flood,cso,wwtp,tank,pump
testall_0,5432.199777028342,1505.559459738056,-868.6722023888047,11000.0,77.49236611701286
testall_1,10289.652485682358,2293.6387983618633,-934.9235945524202,11000.0,101.78711629827754
testall_2,17189.129666789304,3632.5352832623294,-1122.4236881012948,16000.0,143.52244883783465
testall_3,18953.73595374549,4362.1285352108425,-1331.637212237953,47000.0,177.60661920584243
testall_4,9334.589376208925,2483.09210499173,-933.7652353422495,13000.0,104.26461180151836
testall_5,31386.92856130084,4848.259664192985,-1304.8922767891875,26000.0,203.21534956402925
testall_6,3249.2829042165426,1077.0773417566106,-814.6512200902027,6000.0,55.253455205712484
testall_7,1343.776997612152,840.8456409893876,-670.9395276091432,1000.0,44.734531479867364
testall_8,4226.993800240601,2006.3398921833352,-959.6181642980181,7000.0,85.712165298072
testall_9,1136.500442492333,431.36578433753607,-521.9289078819754,0.0,29.36106859930557
testall_10,18936.72421311073,3974.2497442534004,-1204.5812426110433,11000.0,163.58318623854203
testall_11,2583.875853824701,1046.3009400508201,-794.0310783413548,6000.0,51.85162539349334
testall_12,5984.440100033427,1784.9091790298794,-902.6967330070853,6000.0,82.75172781724511
testall_13,32614.110674377353,4203.1884950958265,-1301.3082582617212,43000.0,177.4737761408988
testall_14,20034.7845698201,3496.216517179397,-1151.5500056276999,17000.0,148.59044379075385
testall_15,20596.5431529037,3837.804378081052,-1287.5867682540456,18000.0,157.32205120618593
testall_16,5573.271823771417,1607.093051616635,-936.1819819772987,8000.0,76.9514624696271
testall_17,764.4066020332856,636.4503922359402,-849.7324138550098,4000.0,54.25774898050653
testall_18,2881.8776280327593,1291.651680991556,-909.722566287977,1000.0,74.38573754627603
testall_19,23040.423101604665,4252.389463758,-1310.6082607747537,23000.0,185.52102612182046
testall_20,778.9363997635019,646.558002554019,-854.4919843221869,0.0,54.35185903415457
testall_21,26483.168491751876,4355.762975085256,-1368.4299932252536,21000.0,194.00927375517642
testall_22,726.1607335272452,589.0961641419901,-945.2853478616457,0.0,58.34091452163728
testall_23,95.30797052190503,602.3711284442552,-692.5559756712466,0.0,44.673628133445
testall_24,36405.572986330226,4956.371462897616,-1410.8692566768414,68000.0,212.0844428571842
testall_25,2131.4022728777527,828.2836836188823,-595.5671246893206,8000.0,43.44832653178328
testall_26,40523.67136413886,4949.472503814715,-1317.80175950981,53000.0,202.22794749562559
testall_27,7157.093190014798,1615.770659678867,-877.9601719750771,16000.0,78.49548224004701
testall_28,7034.994863189007,2702.547209650371,-1097.319960471722,11000.0,119.72952328111197
testall_29,1214.459893047707,737.7606965577863,-655.4134674150823,0.0,37.680472279181046
testall_30,13579.665939648616,2996.5254953793956,-1092.4121673217007,11000.0,127.56281760188881
testall_31,14221.207480058667,3286.5003017861136,-1079.4849257054939,11000.0,137.62121364281236
testall_32,6558.378428057908,1917.9937782985764,-945.3254721698745,11000.0,85.09898338767752
testall_33,24362.295759561694,4142.826870126052,-1233.4506063944405,20000.0,177.46461220866655
testall_34,26378.649145217452,4340.789374390627,-1384.6280629728487,42000.0,186.32661239232266
testall_35,44273.56093868141,5126.764702564952,-1353.8801195785195,59000.0,218.98523673410182
testall_36,21836.86910961694,4243.974492963982,-1330.632391744628,43000.0,179.89408133779926
testall_37,29937.875100181875,3853.1601866483716,-1335.093914845154,42000.0,171.41677244556723
testall_38,20915.14936974068,3152.044327361662,-1164.0259498843134,13000.0,138.48506588571303
testall_39,1030.549093691137,695.3708112066802,-813.4104844782137,5000.0,55.19151589267458
testall_40,6859.212570835319,2166.38572658054,-1091.2958411197537,10000.0,97.98132020927758
testall_41,24439.897938956627,4585.755181052593,-1394.829172655257,36000.0,191.768071419793
testall_42,19352.24995970211,3752.1328629356867,-1251.934169827444,15000.0,159.70103088782744
testall_43,5498.3972530809615,1542.776846250393,-835.9845628293353,9000.0,71.2705757457769
testall_44,6231.254832968948,1875.0069518824555,-1056.9288595765993,7000.0,92.64452499683883
testall_45,13377.22196459462,2363.5233755316317,-978.3378551822943,15000.0,105.50736864766179
testall_46,20967.61702321215,3833.9609760290223,-1340.0198314411105,37000.0,172.22788028082118
testall_47,7300.53697597434,1680.2012531486243,-884.7467111888827,9000.0,81.58989028501415
testall_48,13199.12862129125,2567.3159267531582,-1046.3011418261433,9000.0,108.08115761829114
testall_49,22554.461205165906,4352.3076687657085,-1333.6172409524784,41000.0,179.72668468578192
testall_50,25802.845087321362,4325.960345239699,-1209.6248183772832,15000.0,175.84129010469402
testall_51,1369.1373689024606,599.8963402506862,-621.6883942960173,0.0,35.99680717565669
testall_52,8249.254106356397,2417.595970414074,-1104.2500253821001,10000.0,111.56182633747338
testall_53,15486.934278616563,3454.0963119493854,-1204.5139269023111,12000.0,143.6068606800241
testall_54,23509.24773278302,3900.2048747285426,-1240.2417186137368,31000.0,163.10507210577876
testall_55,22712.739484864716,3875.920739867004,-1324.0438649445246,14000.0,165.6386787279374
