,Node depth,Node inflow,Node outflow,Flooding,Edge depth,Edge volume,Edge flow,Accuracy,Precision,Recall,F1-score
r1_edgef_nncat_0_test,0.110371865,1.836663842,1.79332757,4.009407997,0.011441232,5.05379343,1.565299273,0.571385323,0.362049044,0.995090622,0.530927829
r1_edgef_nncat_1_test,0.103562705,1.410832047,1.438373446,4.133491516,0.009701715,4.177032948,1.238463283,0.639478172,0.403024968,0.995305514,0.573731286
r1_edgef_nncat_2_test,0.11325606,1.414734006,1.448917508,4.100137711,0.010326213,4.667398453,1.263060689,0.625409148,0.393854537,0.995703061,0.56444176
r1_edgef_nncat_3_test,0.105711319,1.337187052,1.403526902,4.298192024,0.010645613,4.578617573,1.188612342,0.714082175,0.45997883,0.993758785,0.628872774
r1_edgef_nncat_4_test,0.099283338,1.563242793,1.648609042,4.311431408,0.010103568,4.491744995,1.386671782,0.700522544,0.448546253,0.996201482,0.618575037
r1_edgef_flood_nncat_0_test,0.110371865,1.836663842,1.79332757,2.988502979,0.011441232,5.05379343,1.565299273,0.996259202,0.996896254,0.987729246,0.992291579
r1_edgef_flood_nncat_1_test,0.103562705,1.410832047,1.438373446,2.829874277,0.009701715,4.177032948,1.238463283,0.996206938,0.995121854,0.989289192,0.992196951
r1_edgef_flood_nncat_2_test,0.11325606,1.414734006,1.448917508,2.684527874,0.010326213,4.667398453,1.263060689,0.996116942,0.996930956,0.987109254,0.991995795
r1_edgef_flood_nncat_3_test,0.105711319,1.337187052,1.403526902,2.538548708,0.010645613,4.578617573,1.188612342,0.996323833,0.996999167,0.987892601,0.992424993
r1_edgef_flood_nncat_4_test,0.099283338,1.563242793,1.648609042,2.830203533,0.010103568,4.491744995,1.386671782,0.99623053,0.997672693,0.986838453,0.992225999
r1_flood_nncat_0_vali,0.099636406,1.702737451,1.668789029,2.960853338,0.011608939,4.677799702,1.168312311,0.996164724,0.996069391,0.986325257,0.991173376
r1_flood_nncat_1_vali,0.106529482,1.915614605,7.999073982,3.562314749,0.009611721,4.085044384,1.260463595,0.995243297,0.994818634,0.984630878,0.989698539
